area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Kansas,All Occupations,1392480,0.7,1000,1,22.37,46520,0.7
Kansas,Management Occupations,63400,1.3,45.528,0.83,50.66,105360,0.7
Kansas,Chief Executives,3620,3.3,2.598,1.85,79.21,164760,1.5
Kansas,General and Operations Managers,18340,2.1,13.17,0.81,47.34,98480,1
Kansas,Legislators,780,16.9,0.563,1.58,*,20240,2.8
Kansas,Advertising and Promotions Managers,90,19,0.066,0.39,56.02,116510,8.8
Kansas,Marketing Managers,1660,7.5,1.194,0.67,69.93,145440,3.3
Kansas,Sales Managers,3200,6.3,2.299,0.84,69.41,144370,3.2
Kansas,Public Relations and Fundraising Managers,590,10,0.421,0.78,52.4,109000,2.4
Kansas,Administrative Services and Facilities Managers,1910,3.6,1.374,0.66,46.46,96630,1.4
Kansas,Computer and Information Systems Managers,3150,4.6,2.263,0.77,59.79,124350,2.1
Kansas,Financial Managers,4440,3.9,3.19,0.72,65.25,135720,2.3
Kansas,Industrial Production Managers,1810,3.8,1.3,1.03,49.79,103560,1.6
Kansas,Purchasing Managers,580,7,0.415,0.84,51.95,108050,1.5
Kansas,"Transportation, Storage, and Distribution Managers",980,5.1,0.706,0.78,48.48,100840,1.4
Kansas,Compensation and Benefits Managers,90,7.9,0.067,0.58,58.55,121770,3
Kansas,Human Resources Managers,1080,3.2,0.779,0.74,53.87,112060,1.6
Kansas,Training and Development Managers,220,8.1,0.156,0.6,50.77,105600,2.9
Kansas,Construction Managers,2640,6.2,1.895,0.95,42.07,87510,2.6
Kansas,"Education and Childcare Administrators, Preschool and Daycare",510,8.6,0.368,1.03,21.53,44780,3.1
Kansas,"Education Administrators, Kindergarten through Secondary",2390,3.6,1.716,0.93,*,87140,1.8
Kansas,"Education Administrators, Postsecondary",1450,5.8,1.044,1.06,50.18,104360,3.7
Kansas,"Education Administrators, All Other",270,6.1,0.192,0.63,41.48,86270,5.5
Kansas,Architectural and Engineering Managers,1550,9.4,1.114,0.84,64.21,133560,1.6
Kansas,Food Service Managers,1000,15.2,0.719,0.45,27.38,56940,6.2
Kansas,Gambling Managers,30,23.4,0.025,0.81,40.9,85060,7.5
Kansas,Lodging Managers,190,25.3,0.134,0.51,27.98,58200,11.1
Kansas,Medical and Health Services Managers,4110,3.7,2.955,1.1,45.22,94060,1.9
Kansas,Natural Sciences Managers,230,6.4,0.168,0.36,63.42,131920,2.8
Kansas,Postmasters and Mail Superintendents,200,0,0.143,1.52,36.57,76060,0.6
Kansas,"Property, Real Estate, and Community Association Managers",2600,10.3,1.869,1.24,24.8,51590,6.1
Kansas,Social and Community Service Managers,1120,5,0.805,0.76,30.87,64220,2.2
Kansas,Emergency Management Directors,200,8.6,0.141,2.05,26.5,55110,2.8
Kansas,Funeral Home Managers,140,29.2,0.103,1.61,32.27,67130,10.9
Kansas,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2170,4,1.559,0.49,49.3,102550,1.7
