area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Kentucky,All Occupations,1896900,0.6,1000,1,21.16,44020,0.6
Kentucky,Management Occupations,88720,1.3,46.773,0.85,44.93,93440,0.8
Kentucky,Chief Executives,2980,3.9,1.573,1.12,71.32,148350,2.1
Kentucky,General and Operations Managers,31650,2.3,16.685,1.02,43.48,90430,1.1
Kentucky,Advertising and Promotions Managers,160,16,0.084,0.49,41.31,85930,8.5
Kentucky,Marketing Managers,1750,6.8,0.925,0.52,53.02,110290,3.2
Kentucky,Sales Managers,3240,5.8,1.71,0.62,54,112310,2.2
Kentucky,Public Relations and Fundraising Managers,570,13.4,0.298,0.55,44.87,93330,5.6
Kentucky,Administrative Services and Facilities Managers,3110,4.5,1.639,0.78,36.97,76910,1.3
Kentucky,Computer and Information Systems Managers,2920,6.1,1.539,0.52,57.88,120380,2.1
Kentucky,Financial Managers,6120,4.2,3.228,0.72,54.36,113070,1.7
Kentucky,Industrial Production Managers,3570,2.8,1.884,1.49,47.5,98790,1.4
Kentucky,Purchasing Managers,850,9.9,0.45,0.92,55.36,115140,2.3
Kentucky,"Transportation, Storage, and Distribution Managers",1740,5.4,0.917,1.02,42.97,89380,1.6
Kentucky,Compensation and Benefits Managers,110,10.9,0.06,0.53,45.52,94690,4.6
Kentucky,Human Resources Managers,1390,4.2,0.73,0.69,47.4,98580,1.4
Kentucky,Training and Development Managers,460,5,0.241,0.92,48.67,101230,3.6
Kentucky,"Farmers, Ranchers, and Other Agricultural Managers",80,29.5,0.043,1.25,*,*,*
Kentucky,Construction Managers,1770,7.3,0.931,0.47,40.18,83570,2.6
Kentucky,"Education and Childcare Administrators, Preschool and Daycare",510,15.5,0.268,0.75,19.15,39840,3.6
Kentucky,"Education Administrators, Kindergarten through Secondary",4300,0.8,2.269,1.23,*,83730,0.8
Kentucky,"Education Administrators, Postsecondary",2110,10.2,1.115,1.13,42.82,89060,3.1
Kentucky,"Education Administrators, All Other",710,10,0.373,1.23,42.66,88730,4.5
Kentucky,Architectural and Engineering Managers,1710,6.1,0.902,0.68,56.87,118280,1.9
Kentucky,Food Service Managers,2820,7.3,1.485,0.93,24.88,51750,2.2
Kentucky,Lodging Managers,240,19.4,0.128,0.49,25.4,52840,4.9
Kentucky,Medical and Health Services Managers,5340,4.1,2.813,1.05,43.41,90280,1.8
Kentucky,Natural Sciences Managers,240,12.2,0.127,0.28,52.32,108830,3.3
Kentucky,Postmasters and Mail Superintendents,240,0,0.127,1.34,38.5,80090,0.5
Kentucky,"Property, Real Estate, and Community Association Managers",2220,5.9,1.173,0.78,27.42,57040,4.7
Kentucky,Social and Community Service Managers,1930,4.4,1.02,0.96,29.72,61810,2.1
Kentucky,Emergency Management Directors,150,8.5,0.078,1.14,23.91,49740,5.8
Kentucky,Funeral Home Managers,280,20.3,0.15,2.34,36.12,75130,14.4
Kentucky,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",3410,5.3,1.796,0.56,45.55,94740,2.3
Kentucky,Business and Financial Operations Occupations,80210,2.7,42.287,0.76,31.2,64900,0.6
Kentucky,Buyers and Purchasing Agents,4900,7.2,2.586,0.9,29.45,61260,1.3
Kentucky,"Claims Adjusters, Examiners, and Investigators",2590,7.1,1.364,0.7,31.91,66370,1.4
Kentucky,Compliance Officers,2890,4.3,1.522,0.7,28.7,59690,2
Kentucky,Cost Estimators,2040,7.3,1.074,0.75,31.46,65430,1.9
Kentucky,Human Resources Specialists,7760,2.4,4.091,0.95,28.1,58440,1.9
Kentucky,Labor Relations Specialists,1440,8.7,0.76,1.48,25.7,53460,9.5
Kentucky,Logisticians,1840,14.7,0.968,0.78,35.38,73590,1.8
Kentucky,Management Analysts,5390,6.5,2.841,0.59,37.39,77780,2.7
Kentucky,"Meeting, Convention, and Event Planners",830,10.3,0.436,0.54,20.41,42440,3.5
Kentucky,Fundraisers,470,12.6,0.247,0.44,23.02,47880,2.6
Kentucky,"Compensation, Benefits, and Job Analysis Specialists",710,10.5,0.373,0.61,28.02,58290,2.5
Kentucky,Training and Development Specialists,3310,4.2,1.746,0.82,26.51,55140,1.6
Kentucky,Market Research Analysts and Marketing Specialists,5350,6.2,2.819,0.61,27.86,57950,2.1
Kentucky,"Project Management Specialists and Business Operations Specialists, All Other",11760,5.1,6.199,0.71,33.18,69010,1.5
Kentucky,Accountants and Auditors,12080,3.9,6.368,0.73,32.53,67660,1.7
Kentucky,Property Appraisers and Assessors,300,26.3,0.16,0.42,28.98,60290,14
Kentucky,Budget Analysts,820,4.2,0.431,1.23,28.65,59580,5
Kentucky,Credit Analysts,790,29,0.415,0.82,37.34,77660,3
Kentucky,Personal Financial Advisors,1800,14.3,0.951,0.66,47.26,98300,5.7
Kentucky,Insurance Underwriters,640,26.5,0.335,0.49,32.95,68530,4.1
Kentucky,Financial Examiners,500,12.9,0.264,0.6,32.23,67040,4.2
Kentucky,Credit Counselors,290,10.4,0.154,0.7,23.74,49380,2.5
Kentucky,Loan Officers,5640,6.9,2.974,1.42,32.21,67000,2.5
Kentucky,"Tax Examiners and Collectors, and Revenue Agents",1510,0.7,0.799,2.18,23.86,49630,1.8
Kentucky,Tax Preparers,1250,13.6,0.658,1.45,17.43,36260,8
Kentucky,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",3290,8.1,1.736,0.56,32.62,67850,1.8
Kentucky,Computer and Mathematical Occupations,34220,4.2,18.041,0.58,34.72,72220,1.5
Kentucky,Computer Systems Analysts,4600,10.7,2.427,0.61,35.36,73540,3
Kentucky,Information Security Analysts,900,12.1,0.473,0.55,40.09,83390,3.8
Kentucky,Computer Network Support Specialists,2040,7.8,1.076,0.85,27.67,57550,2
Kentucky,Computer User Support Specialists,6260,6.4,3.298,0.75,23.99,49890,1.8
Kentucky,Computer Network Architects,890,15.2,0.469,0.45,39.44,82040,2.4
Kentucky,Network and Computer Systems Administrators,3470,7.1,1.829,0.76,31.97,66500,1.3
Kentucky,Database Administrators and Architects,940,9.7,0.493,0.58,42,87370,2.4
Kentucky,Computer Programmers,1140,25.5,0.6,0.44,34.75,72290,2
Kentucky,Software Developers and Software Quality Assurance Analysts and Testers,8410,8.8,4.436,0.46,42.14,87650,2.2
Kentucky,Web Developers and Digital Interface Designers,1200,16.6,0.634,0.63,34.04,70810,4.2
Kentucky,"Computer Occupations, All Other",2610,15.1,1.377,0.51,37.12,77210,2.4
Kentucky,Actuaries,210,45.3,0.113,0.75,55.72,115890,2.5
Kentucky,Operations Research Analysts,1140,13.9,0.6,0.88,33.7,70100,5.1
Kentucky,Statisticians,80,21,0.044,0.17,39.84,82860,4.8
Kentucky,"Data Scientists and Mathematical Science Occupations, All Other",290,11.8,0.155,0.74,35.61,74070,4
Kentucky,Architecture and Engineering Occupations,28660,5.5,15.11,0.86,35.47,73770,1.2
Kentucky,"Architects, Except Landscape and Naval",880,13.2,0.464,0.64,35.27,73360,8.9
Kentucky,Landscape Architects,120,24,0.061,0.44,27.62,57440,7.2
Kentucky,Cartographers and Photogrammetrists,140,8,0.075,0.97,33.05,68750,6.6
Kentucky,Surveyors,570,8.4,0.302,0.98,27.58,57370,6.8
Kentucky,Aerospace Engineers,120,12.9,0.063,0.15,46.16,96020,2.1
Kentucky,Agricultural Engineers,80,18.9,0.041,3.9,32.2,66980,7.3
Kentucky,Bioengineers and Biomedical Engineers,40,19.9,0.023,0.17,31.46,65440,9.8
Kentucky,Chemical Engineers,310,9.3,0.162,0.79,51.03,106140,3.9
Kentucky,Civil Engineers,3230,6.2,1.701,0.8,39.66,82500,1.3
Kentucky,Computer Hardware Engineers,320,27.2,0.166,0.36,43.43,90330,9.3
Kentucky,Electrical Engineers,2090,15.4,1.099,0.87,43.74,90980,1.5
Kentucky,"Electronics Engineers, Except Computer",570,13.9,0.302,0.34,40.4,84040,2.9
Kentucky,Environmental Engineers,360,8.1,0.189,0.52,42.33,88040,3.3
Kentucky,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",260,20.1,0.139,0.79,42.28,87940,2.6
Kentucky,Industrial Engineers,5590,7.4,2.948,1.48,38.69,80480,1.2
Kentucky,Materials Engineers,260,13.2,0.138,0.76,38.36,79790,3.6
Kentucky,Mechanical Engineers,4180,22,2.206,1.06,39.57,82300,2.5
Kentucky,"Mining and Geological Engineers, Including Mining Safety Engineers",170,19.9,0.089,2.09,46.19,96080,6.2
Kentucky,Nuclear Engineers,150,26.4,0.081,0.75,*,*,*
Kentucky,Petroleum Engineers,**,**,**,**,60.97,126820,10
Kentucky,"Engineers, All Other",670,8.3,0.356,0.34,40.11,83430,2.6
Kentucky,Architectural and Civil Drafters,890,9.6,0.471,0.7,24.83,51640,4.2
Kentucky,Electrical and Electronics Drafters,190,39.2,0.1,0.61,33.83,70360,3.6
Kentucky,Mechanical Drafters,620,23.6,0.329,0.88,26.69,55510,2.9
Kentucky,"Drafters, All Other",210,21.5,0.109,1.1,25.01,52030,3.7
Kentucky,Civil Engineering Technologists and Technicians,1940,3.9,1.024,2.18,22.65,47110,0.8
Kentucky,Electrical and Electronic Engineering Technologists and Technicians,950,5.6,0.499,0.6,28.83,59970,2.9
Kentucky,Environmental Engineering Technologists and Technicians,130,8.8,0.067,0.55,23.16,48180,2.9
Kentucky,Industrial Engineering Technologists and Technicians,1210,10.1,0.636,1.39,27.17,56520,2.8
Kentucky,Mechanical Engineering Technologists and Technicians,710,13.2,0.372,1.28,24.66,51290,1.9
Kentucky,Surveying and Mapping Technicians,840,12,0.444,1.23,20.15,41910,3.4
Kentucky,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",790,23.8,0.419,0.7,25.8,53660,4.7
Kentucky,"Life, Physical, and Social Science Occupations",10990,4,5.793,0.66,29.44,61230,1.5
Kentucky,Food Scientists and Technologists,110,13.7,0.055,0.61,28.4,59060,10.9
Kentucky,Soil and Plant Scientists,50,23.1,0.028,0.29,33.2,69050,4.5
Kentucky,Biochemists and Biophysicists,40,36.2,0.018,0.09,*,*,*
Kentucky,Microbiologists,60,7.1,0.032,0.26,26.56,55250,7.7
Kentucky,Zoologists and Wildlife Biologists,200,9.5,0.103,0.79,27.98,58200,1.7
Kentucky,"Biological Scientists, All Other",230,1.8,0.119,0.44,30.75,63960,1.5
Kentucky,Conservation Scientists,120,1.2,0.065,0.43,32.41,67420,0.8
Kentucky,Foresters,200,27.6,0.108,1.67,21.85,45440,1.8
Kentucky,Epidemiologists,60,12.7,0.034,0.67,26.27,54650,2.7
Kentucky,"Medical Scientists, Except Epidemiologists",680,13.9,0.361,0.42,37.96,78960,4.4
Kentucky,"Life Scientists, All Other",90,2.8,0.047,1.06,29.01,60340,2.5
Kentucky,Atmospheric and Space Scientists,80,4.7,0.042,0.67,51.39,106890,9.9
Kentucky,Chemists,590,8.1,0.313,0.55,34.54,71850,2.9
Kentucky,"Environmental Scientists and Specialists, Including Health",1490,17,0.787,1.37,25.57,53190,1.9
Kentucky,"Geoscientists, Except Hydrologists and Geographers",220,14.1,0.116,0.58,35.43,73700,4.8
Kentucky,"Physical Scientists, All Other",40,9.5,0.02,0.17,46.32,96350,3.1
Kentucky,Economists,**,**,**,**,45.9,95470,6.7
Kentucky,Survey Researchers,40,49.9,0.019,0.28,24.03,49970,10.8
Kentucky,"Clinical, Counseling, and School Psychologists",1090,11.1,0.575,0.75,32.18,66940,4
Kentucky,"Psychologists, All Other",170,6.1,0.088,0.9,41.63,86580,2.3
Kentucky,Urban and Regional Planners,210,20.4,0.108,0.41,27.09,56350,7.9
Kentucky,Anthropologists and Archeologists,70,15.2,0.036,0.78,33.05,68750,7.2
Kentucky,"Social Scientists and Related Workers, All Other",330,2.9,0.172,0.75,34.38,71500,3.1
Kentucky,Agricultural and Food Science Technicians,270,15.4,0.141,0.95,21.09,43860,4
Kentucky,Biological Technicians,510,13,0.269,0.5,20.52,42680,4.2
Kentucky,Chemical Technicians,930,8.3,0.489,1.09,23.81,49530,3.4
Kentucky,"Environmental Science and Protection Technicians, Including Health",150,19.3,0.08,0.36,18.2,37850,2.1
Kentucky,Geological and Hydrologic Technicians,50,23.7,0.029,0.25,26.31,54730,5.9
Kentucky,Nuclear Technicians,40,20.4,0.019,0.44,44.67,92900,5.6
Kentucky,Social Science Research Assistants,40,35.3,0.02,0.08,22,45760,11.3
Kentucky,Forest and Conservation Technicians,190,2.6,0.099,0.77,17.7,36820,1.5
Kentucky,Forensic Science Technicians,70,13.2,0.039,0.34,23.58,49040,7.2
Kentucky,"Life, Physical, and Social Science Technicians, All Other",240,11.2,0.127,0.29,24.94,51880,2.7
Kentucky,Occupational Health and Safety Specialists,1700,4.6,0.899,1.42,32.17,66910,1.7
Kentucky,Occupational Health and Safety Technicians,360,11.6,0.189,1.35,21.79,45320,3
Kentucky,Community and Social Service Occupations,27850,2.3,14.683,0.96,20.47,42580,1.2
Kentucky,"Educational, Guidance, and Career Counselors and Advisors",3360,5.7,1.77,0.88,27.66,57520,1.7
Kentucky,Marriage and Family Therapists,450,16.5,0.239,0.6,20.58,42810,4.1
Kentucky,Rehabilitation Counselors,1130,17.8,0.594,0.8,16.9,35150,2.8
Kentucky,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",3040,6.4,1.601,0.83,20.16,41940,2.5
Kentucky,"Counselors, All Other",30,18.9,0.018,0.11,24.35,50650,7.2
Kentucky,"Child, Family, and School Social Workers",7520,1.8,3.963,1.78,20.46,42570,0.9
Kentucky,Healthcare Social Workers,1890,7,0.999,0.84,23.93,49770,1.6
Kentucky,Mental Health and Substance Abuse Social Workers,900,8.8,0.475,0.59,19,39520,2.9
Kentucky,"Social Workers, All Other",550,3.1,0.289,0.73,26.77,55690,2.4
Kentucky,Health Education Specialists,700,7.7,0.369,0.92,24.8,51590,3.2
Kentucky,Probation Officers and Correctional Treatment Specialists,990,12.2,0.521,0.87,18.19,37830,0.9
Kentucky,Social and Human Service Assistants,4920,7.2,2.595,0.94,15.02,31230,1.7
Kentucky,Community Health Workers,1190,15,0.629,1.57,17.61,36620,2.5
Kentucky,"Community and Social Service Specialists, All Other",680,9.7,0.359,0.54,19.6,40770,4.2
Kentucky,Clergy,410,12.2,0.216,0.6,24.89,51770,1.7
Kentucky,"Directors, Religious Activities and Education",90,15.5,0.045,0.3,24.26,50470,12.3
Kentucky,Legal Occupations,10500,4.1,5.537,0.71,39.23,81590,3.8
Kentucky,Lawyers,6030,4.1,3.18,0.71,49.51,102980,4.3
Kentucky,"Administrative Law Judges, Adjudicators, and Hearing Officers",330,0,0.176,1.79,30.29,62990,1.5
Kentucky,"Arbitrators, Mediators, and Conciliators",90,3.4,0.05,1.2,24.65,51270,3.8
Kentucky,"Judges, Magistrate Judges, and Magistrates",300,2.9,0.159,0.81,62.31,129610,1.3
Kentucky,Paralegals and Legal Assistants,3120,10.9,1.643,0.73,21.47,44650,3.6
Kentucky,"Title Examiners, Abstractors, and Searchers",320,38,0.166,0.46,19.42,40390,5.4
Kentucky,"Legal Support Workers, All Other",290,11.9,0.153,0.5,30.37,63180,4.1
Kentucky,Educational Instruction and Library Occupations,97710,1.2,51.511,0.85,23.81,49520,1.1
Kentucky,"Business Teachers, Postsecondary",610,15.8,0.323,0.57,*,85750,4.2
Kentucky,"Computer Science Teachers, Postsecondary",250,12.7,0.133,0.61,*,83300,4.4
Kentucky,"Mathematical Science Teachers, Postsecondary",440,5.8,0.231,0.66,*,67740,2.3
Kentucky,"Engineering Teachers, Postsecondary",160,14.4,0.085,0.35,*,82410,7.9
Kentucky,"Agricultural Sciences Teachers, Postsecondary",120,19.9,0.061,0.95,*,70300,7.3
Kentucky,"Biological Science Teachers, Postsecondary",630,49.6,0.329,0.91,*,69660,4.5
Kentucky,"Chemistry Teachers, Postsecondary",160,10,0.082,0.57,*,68130,3.3
Kentucky,"Physics Teachers, Postsecondary",90,7.3,0.048,0.51,*,80700,4.5
Kentucky,"Anthropology and Archeology Teachers, Postsecondary",50,14.4,0.025,0.64,*,78360,3.8
Kentucky,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",110,0,0.06,0.84,*,69790,6.4
Kentucky,"Economics Teachers, Postsecondary",200,7.9,0.108,1.19,*,83940,3.6
Kentucky,"Geography Teachers, Postsecondary",40,14.8,0.02,0.73,*,71610,4.4
Kentucky,"Political Science Teachers, Postsecondary",100,14.7,0.054,0.5,*,88110,8.2
Kentucky,"Psychology Teachers, Postsecondary",450,24.4,0.236,0.92,*,69620,2.8
Kentucky,"Sociology Teachers, Postsecondary",140,8.2,0.072,0.76,*,69830,3.3
Kentucky,"Social Sciences Teachers, Postsecondary, All Other",30,5,0.018,0.16,*,59920,2.1
Kentucky,"Health Specialties Teachers, Postsecondary",1890,19,0.997,0.73,*,64120,3.2
Kentucky,"Nursing Instructors and Teachers, Postsecondary",800,5.4,0.421,1.04,*,72240,2.8
Kentucky,"Education Teachers, Postsecondary",780,18.9,0.412,0.99,*,65610,4.7
Kentucky,"Library Science Teachers, Postsecondary",50,27.9,0.027,0.92,*,65010,2.5
Kentucky,"Criminal Justice and Law Enforcement Teachers, Postsecondary",110,14.4,0.056,0.59,*,87690,6.3
Kentucky,"Social Work Teachers, Postsecondary",**,**,**,**,*,64450,2.3
Kentucky,"Art, Drama, and Music Teachers, Postsecondary",750,14.9,0.395,0.62,*,77370,3.5
Kentucky,"Communications Teachers, Postsecondary",400,6.5,0.21,1.06,*,68940,3.1
Kentucky,"English Language and Literature Teachers, Postsecondary",760,6.4,0.402,0.87,*,67320,3.8
Kentucky,"Foreign Language and Literature Teachers, Postsecondary",200,13.7,0.104,0.61,*,67750,3.1
Kentucky,"History Teachers, Postsecondary",290,5.8,0.15,1.05,*,63730,3.2
Kentucky,"Philosophy and Religion Teachers, Postsecondary",280,29.3,0.15,0.93,*,72800,3.9
Kentucky,"Family and Consumer Sciences Teachers, Postsecondary",60,0,0.031,2.14,*,77750,5.4
Kentucky,"Recreation and Fitness Studies Teachers, Postsecondary",120,12.5,0.061,0.57,*,63690,4.8
Kentucky,"Career/Technical Education Teachers, Postsecondary",1930,9.1,1.017,1.33,24.69,51350,2.6
Kentucky,"Postsecondary Teachers, All Other",1090,9,0.576,0.42,*,51690,5.1
Kentucky,"Preschool Teachers, Except Special Education",3930,11.4,2.07,0.7,16.7,34730,3
Kentucky,"Kindergarten Teachers, Except Special Education",2390,0.5,1.262,1.49,*,53880,0.8
Kentucky,"Elementary School Teachers, Except Special Education",19270,0.7,10.159,1.04,*,52660,0.8
Kentucky,"Middle School Teachers, Except Special and Career/Technical Education",8160,0.5,4.303,1.02,*,53830,0.9
Kentucky,"Career/Technical Education Teachers, Middle School",270,2.5,0.144,1.79,*,55480,3
Kentucky,"Secondary School Teachers, Except Special and Career/Technical Education",12280,0.6,6.473,0.92,*,55100,0.7
Kentucky,"Career/Technical Education Teachers, Secondary School",200,0.9,0.106,0.21,*,58790,1.6
Kentucky,"Special Education Teachers, Preschool",80,27.4,0.044,0.29,*,55940,1.8
Kentucky,"Special Education Teachers, Kindergarten and Elementary School",4570,1.3,2.409,1.83,*,52660,0.9
Kentucky,"Special Education Teachers, Middle School",970,0.3,0.513,0.88,*,52720,0.7
Kentucky,"Special Education Teachers, Secondary School",1620,0.9,0.855,0.88,*,54300,0.7
Kentucky,"Special Education Teachers, All Other",310,27.4,0.165,0.68,*,56150,2
Kentucky,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",540,10.3,0.287,0.81,20.12,41860,3.2
Kentucky,Self-Enrichment Teachers,1540,13.3,0.813,0.47,16.73,34800,3.8
Kentucky,"Substitute Teachers, Short-Term",450,19.6,0.235,0.06,10.34,21510,4
Kentucky,"Tutors and Teachers and Instructors, All Other",2950,6.7,1.554,0.71,*,51200,8.5
Kentucky,Archivists,40,20,0.019,0.42,18.12,37690,6.2
