area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Louisiana,All Occupations,1921950,0.5,1000,1,21.24,44170,0.6
Louisiana,Management Occupations,90880,1.3,47.283,0.86,48.52,100920,0.8
Louisiana,Chief Executives,790,5.1,0.409,0.29,100.75,209560,3.1
Louisiana,General and Operations Managers,29260,1.9,15.223,0.93,56.36,117220,1.1
Louisiana,Legislators,590,14,0.309,0.87,*,27180,5.7
Louisiana,Advertising and Promotions Managers,130,16.6,0.07,0.41,40.4,84030,7.1
Louisiana,Marketing Managers,940,6.2,0.488,0.27,47.28,98330,2
Louisiana,Sales Managers,3170,5.3,1.649,0.6,49.93,103860,1.7
Louisiana,Public Relations and Fundraising Managers,290,10.9,0.152,0.28,44.42,92390,4.6
Louisiana,Administrative Services and Facilities Managers,2650,4.3,1.379,0.66,41.58,86480,3.2
Louisiana,Computer and Information Systems Managers,1980,4.8,1.029,0.35,53.48,111250,1.8
Louisiana,Financial Managers,5970,3,3.104,0.7,52.35,108890,1.6
Louisiana,Industrial Production Managers,2100,4.9,1.093,0.86,59.08,122890,3.4
Louisiana,Purchasing Managers,560,7.9,0.291,0.59,45.35,94330,2.2
Louisiana,"Transportation, Storage, and Distribution Managers",1560,6.7,0.813,0.9,43.64,90780,2.1
Louisiana,Compensation and Benefits Managers,200,13.2,0.105,0.91,41.53,86380,2.3
Louisiana,Human Resources Managers,1570,3.8,0.818,0.78,44.96,93510,1.4
Louisiana,Training and Development Managers,350,6.5,0.18,0.69,43.44,90350,2.9
Louisiana,"Farmers, Ranchers, and Other Agricultural Managers",70,17.7,0.034,1,36.78,76490,4.4
Louisiana,Construction Managers,3870,7.6,2.014,1.01,49.47,102900,3.8
Louisiana,"Education and Childcare Administrators, Preschool and Daycare",220,16.8,0.116,0.32,21.53,44790,5.6
Louisiana,"Education Administrators, Kindergarten through Secondary",5270,4.6,2.741,1.49,*,66670,1.2
Louisiana,"Education Administrators, Postsecondary",2180,6.6,1.133,1.15,47.05,97860,4.4
Louisiana,"Education Administrators, All Other",220,8,0.114,0.38,34.19,71120,3.5
Louisiana,Architectural and Engineering Managers,1390,6.7,0.722,0.55,73.11,152070,2
Louisiana,Food Service Managers,1810,14.1,0.944,0.59,31.64,65810,3.9
Louisiana,Gambling Managers,170,7.2,0.087,2.86,41.88,87110,8.9
Louisiana,Lodging Managers,340,15,0.175,0.67,36.14,75170,10.8
Louisiana,Medical and Health Services Managers,4990,2.8,2.594,0.96,49.14,102210,1.4
Louisiana,Natural Sciences Managers,330,10.2,0.174,0.38,50.19,104390,5.6
Louisiana,Postmasters and Mail Superintendents,250,0,0.132,1.4,38.12,79280,0.6
Louisiana,"Property, Real Estate, and Community Association Managers",3310,6.8,1.722,1.15,26.36,54820,9
Louisiana,Social and Community Service Managers,1540,3.3,0.803,0.75,34.88,72550,2.2
Louisiana,Emergency Management Directors,90,7.9,0.048,0.7,38,79030,4
Louisiana,Funeral Home Managers,180,19.9,0.095,1.49,37.92,78870,8.3
Louisiana,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",12530,3.5,6.521,2.03,42.59,88590,1.3
Louisiana,Business and Financial Operations Occupations,73590,2,38.29,0.69,30.38,63180,0.8
Louisiana,"Agents and Business Managers of Artists, Performers, and Athletes",70,18.9,0.035,0.3,20.65,42950,15.3
Louisiana,Buyers and Purchasing Agents,3010,5,1.564,0.55,26.53,55190,1.4
Louisiana,"Claims Adjusters, Examiners, and Investigators",2450,8.2,1.275,0.65,33.34,69340,3.1
Louisiana,"Insurance Appraisers, Auto Damage",190,31.2,0.1,1.06,29.88,62150,2.7
Louisiana,Compliance Officers,4440,3.7,2.311,1.07,29.97,62330,1
Louisiana,Cost Estimators,2220,8.5,1.156,0.81,32.9,68440,1.4
Louisiana,Human Resources Specialists,4030,3,2.096,0.49,26.7,55530,1
Louisiana,Labor Relations Specialists,140,31.7,0.075,0.14,24.4,50760,12.7
Louisiana,Logisticians,1230,9.5,0.641,0.52,38.06,79170,4
Louisiana,Management Analysts,3400,5.8,1.766,0.37,40.82,84900,2.9
Louisiana,"Meeting, Convention, and Event Planners",350,13.1,0.182,0.23,21.03,43730,2.7
Louisiana,Fundraisers,300,20.6,0.156,0.28,27.49,57170,18
Louisiana,"Compensation, Benefits, and Job Analysis Specialists",1320,9,0.689,1.13,24.03,49990,2.5
Louisiana,Training and Development Specialists,2520,11.6,1.31,0.62,27.37,56930,4.4
Louisiana,Market Research Analysts and Marketing Specialists,3200,7.6,1.666,0.36,24.37,50680,2.9
Louisiana,"Project Management Specialists and Business Operations Specialists, All Other",20300,4.4,10.562,1.21,29.84,62060,1.5
Louisiana,Accountants and Auditors,11980,3.9,6.231,0.71,31.84,66230,1.3
Louisiana,Property Appraisers and Assessors,550,19.8,0.284,0.74,27.9,58020,3.7
Louisiana,Budget Analysts,370,6.3,0.193,0.55,32.12,66820,1.7
Louisiana,Credit Analysts,290,18.3,0.149,0.3,29.7,61770,5.5
Louisiana,Personal Financial Advisors,1270,12.2,0.659,0.46,49.11,102150,8.8
Louisiana,Insurance Underwriters,1170,16.1,0.606,0.89,31.99,66540,7
Louisiana,Financial Examiners,120,7.3,0.06,0.14,46.1,95880,3.9
Louisiana,Credit Counselors,250,33.8,0.131,0.6,17.22,35810,3
Louisiana,Loan Officers,4000,6.8,2.08,0.99,27.23,56630,3.7
