area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Maine,All Occupations,611170,0.6,1000,1,23.3,48470,0.9
Maine,Management Occupations,35130,1.4,57.472,1.05,47.07,97900,0.8
Maine,Chief Executives,990,5.6,1.625,1.16,72,149760,2.6
Maine,General and Operations Managers,11960,2.9,19.565,1.2,47.57,98950,1.5
Maine,Advertising and Promotions Managers,100,16.8,0.16,0.94,43.96,91430,9.1
Maine,Marketing Managers,1160,8.4,1.894,1.06,49.66,103290,3.1
Maine,Sales Managers,1040,7.6,1.696,0.62,56.41,117320,3.4
Maine,Public Relations and Fundraising Managers,500,9.4,0.813,1.51,46.19,96080,2.7
Maine,Administrative Services and Facilities Managers,1600,2.9,2.619,1.25,38.98,81080,1.4
Maine,Computer and Information Systems Managers,1250,4.7,2.044,0.69,61.05,126970,2.1
Maine,Financial Managers,2400,4.1,3.928,0.88,56.9,118350,2
Maine,Industrial Production Managers,730,6.5,1.2,0.95,48.21,100270,2.5
Maine,Purchasing Managers,250,10.8,0.401,0.82,53.61,111500,2.8
Maine,"Transportation, Storage, and Distribution Managers",540,9.1,0.878,0.98,39.73,82640,2.8
Maine,Compensation and Benefits Managers,40,14.2,0.07,0.61,49.17,102280,8.3
Maine,Human Resources Managers,510,3.8,0.826,0.78,54.71,113790,2.3
Maine,Training and Development Managers,60,28.8,0.1,0.38,46.81,97360,1.7
Maine,"Farmers, Ranchers, and Other Agricultural Managers",30,31.2,0.05,1.45,29.63,61640,9.5
Maine,Construction Managers,1200,8.8,1.955,0.98,40.93,85140,2.7
Maine,"Education and Childcare Administrators, Preschool and Daycare",240,11.6,0.397,1.11,24.64,51250,3.8
Maine,"Education Administrators, Kindergarten through Secondary",1400,4.1,2.287,1.24,*,85050,1.3
Maine,"Education Administrators, Postsecondary",670,7.1,1.102,1.12,44.84,93280,3.3
Maine,"Education Administrators, All Other",240,12.8,0.394,1.3,35.96,74800,4.6
Maine,Architectural and Engineering Managers,740,5.4,1.21,0.92,60.68,126210,1.9
Maine,Food Service Managers,1240,9.5,2.03,1.27,28.77,59850,2.6
Maine,Lodging Managers,490,14.1,0.798,3.06,26.73,55600,4.9
Maine,Medical and Health Services Managers,2080,3.9,3.41,1.27,45.96,95600,1.5
Maine,Natural Sciences Managers,310,5.7,0.499,1.08,64.18,133490,3.7
Maine,Postmasters and Mail Superintendents,190,0,0.313,3.31,34.93,72660,0.5
Maine,"Property, Real Estate, and Community Association Managers",540,11.4,0.877,0.58,28.12,58500,5.3
Maine,Social and Community Service Managers,1000,7.8,1.641,1.54,30.1,62600,1.4
Maine,Emergency Management Directors,80,7.6,0.137,2,28.2,58650,3.2
Maine,Funeral Home Managers,70,40.7,0.112,1.75,34.86,72510,11.5
Maine,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1490,4,2.437,0.76,50.03,104050,3.3
Maine,Business and Financial Operations Occupations,25240,2.1,41.305,0.74,33.18,69010,1
Maine,Buyers and Purchasing Agents,1340,6.9,2.2,0.77,31.85,66250,1.8
Maine,"Claims Adjusters, Examiners, and Investigators",1940,7,3.168,1.62,29.8,61980,2.3
Maine,"Insurance Appraisers, Auto Damage",30,44.7,0.05,0.53,33.31,69290,11.9
Maine,Compliance Officers,1040,5.2,1.696,0.78,33.16,68960,2
Maine,Cost Estimators,680,9.2,1.12,0.78,31.87,66290,2.2
Maine,Human Resources Specialists,1630,3.8,2.665,0.62,30.12,62660,1.2
Maine,Labor Relations Specialists,250,17.4,0.411,0.8,38.67,80440,7.5
Maine,Logisticians,480,5.7,0.789,0.64,35.56,73960,1.5
Maine,Management Analysts,1140,6.6,1.871,0.39,38.28,79610,3.3
Maine,"Meeting, Convention, and Event Planners",370,11.1,0.597,0.75,23.19,48230,3.7
Maine,Fundraisers,540,11.2,0.878,1.58,26.04,54160,2.6
Maine,"Compensation, Benefits, and Job Analysis Specialists",220,4.1,0.356,0.58,29.71,61790,1.7
Maine,Training and Development Specialists,780,5.1,1.274,0.6,27.69,57590,1.8
Maine,Market Research Analysts and Marketing Specialists,810,8.8,1.318,0.29,31.65,65820,2.5
Maine,"Project Management Specialists and Business Operations Specialists, All Other",4570,3,7.472,0.86,33.75,70200,2.3
Maine,Accountants and Auditors,4390,6.2,7.178,0.82,33.7,70090,2
Maine,Property Appraisers and Assessors,340,22.9,0.552,1.44,29.72,61810,4.8
Maine,Budget Analysts,150,10.3,0.241,0.69,*,*,*
Maine,Credit Analysts,200,12.1,0.324,0.64,35.2,73220,6.1
Maine,Personal Financial Advisors,520,17.5,0.858,0.6,65.22,135660,8.5
Maine,Insurance Underwriters,530,26.1,0.861,1.26,33.89,70490,4.9
