area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Maryland,All Occupations,2701010,0.5,1000,1,28.95,60230,0.5
Maryland,Management Occupations,169170,1.2,62.631,1.14,62.69,130400,0.7
Maryland,Chief Executives,**,**,**,**,94.57,196700,2.7
Maryland,General and Operations Managers,47870,1.9,17.721,1.08,64.9,134980,0.9
Maryland,Legislators,650,3.5,0.239,0.67,*,51050,3.6
Maryland,Advertising and Promotions Managers,550,11.6,0.205,1.2,56.18,116850,3.6
Maryland,Marketing Managers,4580,5.2,1.695,0.94,73.34,152550,1.6
Maryland,Sales Managers,6780,4.1,2.51,0.92,69.16,143850,2
Maryland,Public Relations and Fundraising Managers,1810,6.3,0.67,1.24,56.65,117840,2.1
Maryland,Administrative Services and Facilities Managers,5720,2.7,2.117,1.01,56.41,117330,0.9
Maryland,Computer and Information Systems Managers,11730,3.3,4.344,1.47,75.58,157200,1.1
Maryland,Financial Managers,12840,3,4.755,1.07,72.08,149930,1.1
Maryland,Industrial Production Managers,1650,5.6,0.611,0.48,59.53,123810,2.7
Maryland,Purchasing Managers,1790,4,0.661,1.35,65,135200,1.1
Maryland,"Transportation, Storage, and Distribution Managers",2370,5.8,0.876,0.97,49.98,103960,2.5
Maryland,Compensation and Benefits Managers,400,9.2,0.149,1.3,72.88,151590,2.1
Maryland,Human Resources Managers,2740,3.6,1.014,0.96,67.76,140950,1.3
Maryland,Training and Development Managers,1340,5.8,0.496,1.89,65.43,136100,1.9
Maryland,"Farmers, Ranchers, and Other Agricultural Managers",40,21.3,0.016,0.46,40.75,84760,10.5
Maryland,Construction Managers,6610,5.3,2.446,1.22,50.74,105530,1.8
Maryland,"Education and Childcare Administrators, Preschool and Daycare",970,15.5,0.36,1.01,27.45,57090,6.1
Maryland,"Education Administrators, Kindergarten through Secondary",4680,3.4,1.733,0.94,*,118820,1.2
Maryland,"Education Administrators, Postsecondary",**,**,**,**,65.57,136380,3
Maryland,"Education Administrators, All Other",2550,7.6,0.943,3.11,51.07,106230,1.9
Maryland,Architectural and Engineering Managers,5100,4.1,1.89,1.43,70.19,145990,1.4
Maryland,Food Service Managers,2700,10.3,0.998,0.62,33.97,70660,3.9
Maryland,Gambling Managers,90,2.5,0.032,1.07,46.82,97390,2.9
Maryland,Lodging Managers,390,15,0.143,0.55,39.17,81480,9.9
Maryland,Medical and Health Services Managers,10890,3.3,4.031,1.5,60.74,126340,2.2
Maryland,Natural Sciences Managers,3620,6.7,1.34,2.91,71,147680,2.1
Maryland,Postmasters and Mail Superintendents,230,0,0.084,0.89,36.64,76210,0.9
Maryland,"Property, Real Estate, and Community Association Managers",5170,7.9,1.913,1.27,36.75,76430,3.1
Maryland,Social and Community Service Managers,3290,5.4,1.218,1.14,36.99,76930,1.8
Maryland,Emergency Management Directors,150,15.6,0.055,0.8,51.11,106310,2.7
Maryland,Funeral Home Managers,170,27.7,0.061,0.96,52.84,109900,11.4
Maryland,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",14510,1.9,5.372,1.67,58.67,122040,2
Maryland,Business and Financial Operations Occupations,176770,1.3,65.448,1.17,40.07,83330,1.6
Maryland,"Agents and Business Managers of Artists, Performers, and Athletes",180,21.1,0.068,0.58,30.64,63730,14.3
Maryland,Buyers and Purchasing Agents,9080,5.2,3.36,1.17,37.96,78960,2.2
Maryland,"Claims Adjusters, Examiners, and Investigators",5490,6.4,2.032,1.04,34.95,72690,3.8
Maryland,"Insurance Appraisers, Auto Damage",260,22,0.096,1.03,32.37,67320,2.8
