area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Massachusetts,All Occupations,3619640,0.6,1000,1,31.58,65680,0.6
Massachusetts,Management Occupations,306380,1,84.643,1.54,65.02,135250,0.7
Massachusetts,Chief Executives,7810,3.3,2.159,1.54,105.56,219550,1.3
Massachusetts,General and Operations Managers,82190,1.5,22.706,1.39,66.28,137870,1
Massachusetts,Legislators,730,5.4,0.201,0.56,*,*,*
Massachusetts,Advertising and Promotions Managers,880,10.6,0.244,1.43,59.79,124370,2.9
Massachusetts,Marketing Managers,16720,2.7,4.62,2.57,69.23,144000,1.1
Massachusetts,Sales Managers,17560,2.8,4.852,1.77,71.79,149320,1.1
Massachusetts,Public Relations and Fundraising Managers,5250,3.5,1.452,2.69,62.64,130280,2
Massachusetts,Administrative Services and Facilities Managers,11930,2.3,3.297,1.58,54.31,112970,1
Massachusetts,Computer and Information Systems Managers,19750,2.7,5.457,1.85,76.53,159180,0.9
Massachusetts,Financial Managers,33520,3.9,9.261,2.08,73.87,153650,1.5
Massachusetts,Industrial Production Managers,5590,2.8,1.543,1.22,62.01,128990,1.1
Massachusetts,Purchasing Managers,3020,3.7,0.834,1.7,63.18,131410,1.2
Massachusetts,"Transportation, Storage, and Distribution Managers",3270,4.2,0.903,1,52.38,108940,1.9
Massachusetts,Compensation and Benefits Managers,830,6.1,0.23,2,63.78,132670,1.8
Massachusetts,Human Resources Managers,6740,2.5,1.862,1.77,68.15,141740,1.2
Massachusetts,Training and Development Managers,1970,4.1,0.544,2.07,59.94,124670,2.1
Massachusetts,"Farmers, Ranchers, and Other Agricultural Managers",70,26.4,0.018,0.52,30.32,63060,6
Massachusetts,Construction Managers,7450,5.7,2.057,1.03,53.31,110890,1.2
Massachusetts,"Education and Childcare Administrators, Preschool and Daycare",2120,8.3,0.585,1.64,27.17,56520,5.1
Massachusetts,"Education Administrators, Kindergarten through Secondary",8290,1.8,2.29,1.24,*,107410,0.9
Massachusetts,"Education Administrators, Postsecondary",11490,3.7,3.175,3.22,52.56,109330,2.5
Massachusetts,"Education Administrators, All Other",**,**,**,**,44.51,92580,4.4
Massachusetts,Architectural and Engineering Managers,8190,3.7,2.261,1.71,76.97,160090,1.1
Massachusetts,Food Service Managers,7050,6.5,1.946,1.21,33.27,69200,2.5
Massachusetts,Lodging Managers,**,**,**,**,31.69,65910,9.8
Massachusetts,Medical and Health Services Managers,15810,3.5,4.368,1.62,63.92,132960,1.8
Massachusetts,Natural Sciences Managers,3870,6.1,1.069,2.32,87.37,181720,2.6
Massachusetts,Postmasters and Mail Superintendents,330,0,0.092,0.98,38.3,79660,0.4
Massachusetts,"Property, Real Estate, and Community Association Managers",5350,8.3,1.479,0.98,43.14,89740,3.3
Massachusetts,Social and Community Service Managers,7620,4.1,2.107,1.98,34.2,71140,1.1
Massachusetts,Emergency Management Directors,130,5.7,0.035,0.51,44.44,92430,3.3
Massachusetts,Funeral Home Managers,280,30.2,0.076,1.19,44.15,91830,8.5
