area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Michigan,All Occupations,4344230,0.5,1000,1,24.42,50780,0.5
Michigan,Management Occupations,211170,1.2,48.61,0.89,55.21,114840,0.5
Michigan,Chief Executives,2640,5.3,0.607,0.43,105.71,219870,1.9
Michigan,General and Operations Managers,65180,1.7,15.003,0.92,56.94,118440,0.8
Michigan,Legislators,2500,8,0.576,1.62,*,39690,4.7
Michigan,Advertising and Promotions Managers,500,7.3,0.116,0.68,63.04,131120,6.3
Michigan,Marketing Managers,4510,4.4,1.037,0.58,64.66,134500,1.4
Michigan,Sales Managers,9440,3.6,2.172,0.79,67.32,140030,1
Michigan,Public Relations and Fundraising Managers,1420,4.1,0.328,0.61,58.21,121070,2.2
Michigan,Administrative Services and Facilities Managers,8440,2.4,1.942,0.93,46.58,96900,1
Michigan,Computer and Information Systems Managers,10220,3.6,2.352,0.8,62.44,129880,0.9
Michigan,Financial Managers,15040,3.7,3.463,0.78,62.2,129380,1.1
Michigan,Industrial Production Managers,12820,9.5,2.951,2.33,56.86,118260,1.2
Michigan,Purchasing Managers,2060,4.3,0.473,0.96,58.92,122560,1.4
Michigan,"Transportation, Storage, and Distribution Managers",3860,7,0.889,0.99,50.5,105040,2
Michigan,Compensation and Benefits Managers,340,7.4,0.078,0.68,61.76,128460,2
Michigan,Human Resources Managers,3850,2.9,0.885,0.84,56.87,118290,1.1
Michigan,Training and Development Managers,570,10.7,0.132,0.5,49.16,102250,1.8
Michigan,"Farmers, Ranchers, and Other Agricultural Managers",90,23.9,0.021,0.6,31.68,65890,6.1
Michigan,Construction Managers,5090,5.2,1.171,0.59,50.4,104830,1.6
Michigan,"Education and Childcare Administrators, Preschool and Daycare",880,10,0.204,0.57,23.07,47980,2.8
Michigan,"Education Administrators, Kindergarten through Secondary",6650,3.2,1.53,0.83,*,94020,1
Michigan,"Education Administrators, Postsecondary",5180,4.4,1.193,1.21,57.38,119350,5.3
Michigan,"Education Administrators, All Other",750,7.9,0.173,0.57,39.36,81860,3.1
Michigan,Architectural and Engineering Managers,11410,5,2.627,1.99,65.13,135460,0.9
Michigan,Food Service Managers,5030,6.3,1.158,0.72,30.66,63770,2.4
Michigan,Gambling Managers,170,20.4,0.04,1.32,38.83,80760,2.8
Michigan,Lodging Managers,910,12.9,0.211,0.81,28.74,59780,6.4
Michigan,Medical and Health Services Managers,12310,2.7,2.833,1.05,52.28,108740,2.1
Michigan,Natural Sciences Managers,1630,10.2,0.374,0.81,57.02,118600,2.6
Michigan,Postmasters and Mail Superintendents,450,0,0.103,1.09,38.31,79690,0.6
Michigan,"Property, Real Estate, and Community Association Managers",5640,6.4,1.299,0.86,34.75,72280,7.5
Michigan,Social and Community Service Managers,4570,2.6,1.051,0.99,35.71,74280,1.2
Michigan,Emergency Management Directors,160,9.5,0.037,0.55,34.35,71450,2.1
