area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Minnesota,All Occupations,2880650,0.5,1000,1,26.87,55890,0.8
Minnesota,Management Occupations,170650,1.4,59.24,1.08,58.43,121540,1.1
Minnesota,Chief Executives,5630,3.2,1.956,1.4,94.19,195920,1.4
Minnesota,General and Operations Managers,44010,2.2,15.277,0.93,56.57,117660,1
Minnesota,Legislators,1450,15.7,0.504,1.42,*,35460,4.5
Minnesota,Advertising and Promotions Managers,390,10.1,0.135,0.79,63.13,131310,3.2
Minnesota,Marketing Managers,8350,4.3,2.9,1.62,69.81,145210,2.2
Minnesota,Sales Managers,10700,2.9,3.716,1.36,65.61,136470,2
Minnesota,Public Relations and Fundraising Managers,1900,4.5,0.661,1.23,59.07,122880,1.3
Minnesota,Administrative Services and Facilities Managers,6630,5.5,2.303,1.1,49.42,102780,1
Minnesota,Computer and Information Systems Managers,10300,5.8,3.574,1.21,71.52,148770,1.1
Minnesota,Financial Managers,15750,2.7,5.468,1.23,65.92,137100,1.1
Minnesota,Industrial Production Managers,5370,3,1.864,1.47,56.17,116830,5.8
Minnesota,Purchasing Managers,2050,4.9,0.711,1.45,59.35,123440,1.8
Minnesota,"Transportation, Storage, and Distribution Managers",2550,6.8,0.887,0.99,50.68,105410,2.3
Minnesota,Compensation and Benefits Managers,**,**,**,**,58.66,122010,5.6
Minnesota,Human Resources Managers,4560,3.3,1.585,1.5,61.04,126960,1.8
Minnesota,Training and Development Managers,1100,16.5,0.382,1.46,58.64,121970,2.4
Minnesota,"Farmers, Ranchers, and Other Agricultural Managers",40,21.7,0.015,0.43,49.86,103700,4.7
Minnesota,Construction Managers,5880,5.1,2.041,1.02,46.64,97020,1.4
Minnesota,"Education and Childcare Administrators, Preschool and Daycare",690,8.8,0.239,0.67,30.61,63660,5.6
Minnesota,"Education Administrators, Kindergarten through Secondary",3780,4,1.311,0.71,*,107720,1.2
Minnesota,"Education Administrators, Postsecondary",2380,4.1,0.826,0.84,54.22,112770,4.6
Minnesota,"Education Administrators, All Other",950,7.8,0.328,1.08,39.01,81150,3.2
Minnesota,Architectural and Engineering Managers,3960,3.9,1.376,1.04,72.17,150110,1.6
Minnesota,Food Service Managers,3870,9,1.342,0.84,28.7,59700,2.3
Minnesota,Gambling Managers,90,10.2,0.03,0.99,32.11,66790,5.7
Minnesota,Lodging Managers,540,10.7,0.188,0.72,28.5,59270,4.9
Minnesota,Medical and Health Services Managers,8330,3.2,2.891,1.08,54.22,112780,1.5
Minnesota,Natural Sciences Managers,1390,5.7,0.484,1.05,64.15,133420,2.3
Minnesota,Postmasters and Mail Superintendents,330,0,0.113,1.2,36.32,75550,0.6
Minnesota,"Property, Real Estate, and Community Association Managers",3960,10.8,1.374,0.91,34.38,71510,4.2
Minnesota,Social and Community Service Managers,4010,4.9,1.393,1.31,37.85,78720,1.8
Minnesota,Emergency Management Directors,230,3.7,0.078,1.14,41.05,85390,1.9
Minnesota,Funeral Home Managers,150,22,0.052,0.82,52.01,108190,10.8
Minnesota,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",8800,3.6,3.055,0.95,61.77,128480,2.8
Minnesota,Business and Financial Operations Occupations,171550,1.9,59.553,1.07,36.51,75940,0.8
Minnesota,"Agents and Business Managers of Artists, Performers, and Athletes",200,47.5,0.071,0.61,30.18,62780,9.4
Minnesota,Buyers and Purchasing Agents,10250,7.4,3.559,1.24,33.44,69550,2.5
Minnesota,"Claims Adjusters, Examiners, and Investigators",5930,9.2,2.059,1.05,33.06,68760,1.5
Minnesota,Compliance Officers,**,**,**,**,37.65,78310,1.3
Minnesota,Cost Estimators,4480,6.1,1.555,1.09,32.75,68130,1.6
Minnesota,Human Resources Specialists,13000,3.1,4.513,1.05,32.5,67600,1.2
Minnesota,Labor Relations Specialists,2530,3.8,0.879,1.71,37.72,78450,5.6
Minnesota,Logisticians,3280,12.1,1.14,0.92,36.62,76160,3.1
Minnesota,Management Analysts,14050,3.8,4.877,1.01,43.07,89580,1.8
Minnesota,"Meeting, Convention, and Event Planners",2750,14.1,0.954,1.19,25.11,52230,4.4
Minnesota,Fundraisers,1990,5.1,0.692,1.25,29.55,61470,4
Minnesota,"Compensation, Benefits, and Job Analysis Specialists",**,**,**,**,34.92,72630,1.6
Minnesota,Training and Development Specialists,6770,4.9,2.351,1.1,33.67,70030,2
Minnesota,Market Research Analysts and Marketing Specialists,15120,4.1,5.248,1.14,36.54,76010,2.4
Minnesota,"Project Management Specialists and Business Operations Specialists, All Other",27110,3.7,9.41,1.08,35.56,73960,1.4
Minnesota,Accountants and Auditors,23210,2.7,8.056,0.92,35.38,73590,1.3
Minnesota,Property Appraisers and Assessors,1560,18.1,0.541,1.41,34.88,72550,13.6
Minnesota,Budget Analysts,510,7.5,0.176,0.5,39.14,81410,1.7
Minnesota,Credit Analysts,2080,6.9,0.722,1.43,38.93,80980,2.4
Minnesota,Personal Financial Advisors,3900,9.5,1.355,0.95,52.91,110060,7.1
Minnesota,Insurance Underwriters,1750,13.3,0.607,0.89,38.75,80600,3.5
Minnesota,Financial Examiners,1660,8.2,0.577,1.31,44.44,92440,3.2
Minnesota,Credit Counselors,510,24.6,0.179,0.82,24.4,50750,4.1
Minnesota,Loan Officers,8550,3.5,2.968,1.41,38.89,80900,2.7
Minnesota,"Tax Examiners and Collectors, and Revenue Agents",1170,0.2,0.405,1.11,31.41,65340,1.6
Minnesota,Tax Preparers,1350,24.8,0.47,1.03,25.2,52420,6.7
Minnesota,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",9460,4.8,3.283,1.05,43.16,89770,1.5
Minnesota,Computer and Mathematical Occupations,97960,2.1,34.007,1.1,43.83,91160,0.9
Minnesota,Computer Systems Analysts,20240,4.9,7.026,1.75,46.2,96090,1.7
Minnesota,Information Security Analysts,2230,6.3,0.775,0.91,49.13,102190,1
Minnesota,Computer and Information Research Scientists,210,27.6,0.074,0.36,60.65,126150,4.5
Minnesota,Computer Network Support Specialists,4260,7,1.477,1.17,31.54,65600,1.4
Minnesota,Computer User Support Specialists,12270,3.7,4.258,0.97,27.28,56740,0.9
Minnesota,Computer Network Architects,2780,8.2,0.965,0.93,55.01,114420,1.1
Minnesota,Network and Computer Systems Administrators,6570,3.6,2.281,0.95,41.96,87280,0.9
