area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Mississippi,All Occupations,1128280,0.8,1000,1,19.27,40090,0.7
Mississippi,Management Occupations,52970,2.2,46.944,0.86,40.47,84180,1.1
Mississippi,Chief Executives,650,12.2,0.577,0.41,57.63,119870,4.9
Mississippi,General and Operations Managers,20530,2.7,18.192,1.11,40.12,83440,1.9
Mississippi,Legislators,150,20.8,0.137,0.38,*,36170,7
Mississippi,Advertising and Promotions Managers,80,13.8,0.074,0.44,38.95,81010,6.5
Mississippi,Marketing Managers,650,16.6,0.578,0.32,44.65,92880,2.9
Mississippi,Sales Managers,1200,11.3,1.066,0.39,50,104000,2.5
Mississippi,Public Relations and Fundraising Managers,210,12,0.182,0.34,50.61,105270,4.4
Mississippi,Administrative Services and Facilities Managers,2460,3.8,2.178,1.04,38.19,79420,2
Mississippi,Computer and Information Systems Managers,1090,5.6,0.969,0.33,50.17,104360,2.5
Mississippi,Financial Managers,4030,4,3.573,0.8,46.06,95800,1.9
Mississippi,Industrial Production Managers,1770,4.4,1.573,1.24,50.69,105430,1.6
Mississippi,Purchasing Managers,430,8.7,0.378,0.77,49.75,103480,3.1
Mississippi,"Transportation, Storage, and Distribution Managers",1040,8.5,0.918,1.02,41.57,86460,2.2
Mississippi,Compensation and Benefits Managers,60,14.1,0.055,0.47,51.47,107070,7.9
Mississippi,Human Resources Managers,620,6.5,0.551,0.52,45.39,94400,1.9
Mississippi,Training and Development Managers,130,10.8,0.119,0.45,42.9,89230,4.2
Mississippi,Construction Managers,1210,7.4,1.072,0.54,39.05,81220,3.3
Mississippi,"Education and Childcare Administrators, Preschool and Daycare",400,23.4,0.354,0.99,21.96,45670,7.7
Mississippi,"Education Administrators, Kindergarten through Secondary",2910,5.5,2.578,1.4,*,78330,1.5
Mississippi,"Education Administrators, Postsecondary",1460,13.4,1.296,1.31,46.87,97490,3.2
Mississippi,"Education Administrators, All Other",170,10.1,0.152,0.5,35.93,74730,9
Mississippi,Architectural and Engineering Managers,920,11.8,0.818,0.62,60.5,125840,1.6
Mississippi,Food Service Managers,2290,10.8,2.033,1.27,25.29,52600,4.8
Mississippi,Gambling Managers,280,10.7,0.247,8.15,37.44,77880,3.4
Mississippi,Lodging Managers,610,14,0.54,2.07,24.02,49970,6.2
Mississippi,Medical and Health Services Managers,3030,4.6,2.686,1,46.25,96210,2.3
Mississippi,Natural Sciences Managers,190,7.2,0.168,0.37,48.17,100200,2.8
Mississippi,Postmasters and Mail Superintendents,180,0,0.161,1.71,39.14,81410,0.6
Mississippi,"Property, Real Estate, and Community Association Managers",1810,10.4,1.606,1.07,19.5,40560,4.6
Mississippi,Social and Community Service Managers,760,6.4,0.671,0.63,26.98,56120,2.9
Mississippi,Emergency Management Directors,140,5.3,0.128,1.86,25.08,52170,8.3
Mississippi,Funeral Home Managers,130,15.8,0.119,1.86,37.77,78560,14.4
Mississippi,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1330,19.1,1.181,0.37,38.23,79520,3.5
Mississippi,Business and Financial Operations Occupations,34000,2.5,30.137,0.54,29.68,61740,1
Mississippi,Buyers and Purchasing Agents,2150,5.3,1.904,0.66,30.06,62530,2.7
Mississippi,"Claims Adjusters, Examiners, and Investigators",1170,13.3,1.033,0.53,33.06,68770,1.7
Mississippi,Compliance Officers,2030,3.6,1.802,0.83,26.18,54460,2.1
Mississippi,Cost Estimators,1240,10,1.1,0.77,30.69,63840,2.5
Mississippi,Human Resources Specialists,3060,3.6,2.708,0.63,25.6,53250,2.2
Mississippi,Labor Relations Specialists,290,15.1,0.258,0.5,33.98,70680,11.8
Mississippi,Logisticians,870,5.9,0.769,0.62,35.99,74850,2.9
Mississippi,Management Analysts,1730,5.9,1.533,0.32,35.07,72940,4.3
Mississippi,"Meeting, Convention, and Event Planners",270,13.2,0.236,0.3,21.43,44560,2.9
Mississippi,Fundraisers,200,10.6,0.173,0.31,30.03,62450,8.1
Mississippi,"Compensation, Benefits, and Job Analysis Specialists",370,22.8,0.33,0.54,25.09,52180,3.5
Mississippi,Training and Development Specialists,1480,6.3,1.316,0.62,26.58,55280,2.8
Mississippi,Market Research Analysts and Marketing Specialists,2580,6.1,2.287,0.5,22.3,46390,3.8
Mississippi,"Project Management Specialists and Business Operations Specialists, All Other",4000,4.5,3.542,0.41,31.6,65720,2.2
Mississippi,Accountants and Auditors,5780,3.9,5.119,0.59,31.45,65420,2.2
Mississippi,Property Appraisers and Assessors,320,18,0.288,0.75,26.19,54470,9.8
Mississippi,Budget Analysts,440,6.3,0.39,1.11,31.34,65190,1.5
Mississippi,Credit Analysts,290,15,0.256,0.51,28.74,59770,3.7
Mississippi,Personal Financial Advisors,700,11,0.625,0.44,42.24,87860,11.7
Mississippi,Insurance Underwriters,310,12.6,0.27,0.4,31.13,64750,7.4
Mississippi,Financial Examiners,140,11.4,0.12,0.27,39.44,82030,2.8
Mississippi,Credit Counselors,230,14.7,0.207,0.95,20.41,42460,5.5
Mississippi,Loan Officers,2560,9.1,2.272,1.08,31.42,65350,4.6
Mississippi,"Tax Examiners and Collectors, and Revenue Agents",470,12.4,0.42,1.15,22.96,47760,4.3
Mississippi,Tax Preparers,450,20.8,0.399,0.88,*,*,*
Mississippi,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",850,9.9,0.753,0.24,32.57,67750,2.4
Mississippi,Computer and Mathematical Occupations,13100,4.1,11.607,0.37,33.98,70670,1.8
Mississippi,Computer Systems Analysts,2060,7.7,1.824,0.45,33.49,69660,3.1
Mississippi,Information Security Analysts,400,15.3,0.357,0.42,36.53,75980,3.7
Mississippi,Computer and Information Research Scientists,290,9,0.261,1.24,46.41,96540,2.8
Mississippi,Computer Network Support Specialists,1110,9.9,0.986,0.78,31.57,65670,11.4
Mississippi,Computer User Support Specialists,2390,6.6,2.117,0.48,22.87,47560,1.9
Mississippi,Computer Network Architects,330,26.1,0.29,0.28,46.75,97240,5.7
Mississippi,Network and Computer Systems Administrators,1500,11.1,1.328,0.55,34.1,70930,3.2
Mississippi,Database Administrators and Architects,390,12.3,0.349,0.41,38.33,79720,4.1
Mississippi,Computer Programmers,780,13.6,0.694,0.51,36.9,76740,3
Mississippi,Software Developers and Software Quality Assurance Analysts and Testers,2200,9.6,1.95,0.2,41.84,87030,2.3
