area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Missouri,All Occupations,2820610,0.4,1000,1,22.99,47820,0.7
Missouri,Management Occupations,134220,1.5,47.584,0.87,51.32,106760,0.7
Missouri,Chief Executives,4540,4.6,1.611,1.15,82.9,172430,2.3
Missouri,General and Operations Managers,53110,1.9,18.828,1.15,48.61,101110,1.1
Missouri,Legislators,1250,10.7,0.443,1.25,*,27430,4.3
Missouri,Advertising and Promotions Managers,250,14.3,0.088,0.52,59.29,123330,8.1
Missouri,Marketing Managers,2620,10,0.93,0.52,60.37,125560,2.1
Missouri,Sales Managers,5100,5.4,1.808,0.66,65.08,135360,1.9
Missouri,Public Relations and Fundraising Managers,1140,11.8,0.403,0.75,50.84,105760,2.1
Missouri,Administrative Services and Facilities Managers,5610,3.4,1.988,0.95,44.54,92640,2.4
Missouri,Computer and Information Systems Managers,**,**,**,**,63.55,132180,1.1
Missouri,Financial Managers,8380,2.9,2.97,0.67,64.96,135120,1.1
Missouri,Industrial Production Managers,3430,3.8,1.216,0.96,50.48,104990,1.4
Missouri,Purchasing Managers,770,8.8,0.273,0.56,59.9,124590,3.1
Missouri,"Transportation, Storage, and Distribution Managers",2100,5.4,0.744,0.83,47.69,99200,1.5
Missouri,Compensation and Benefits Managers,130,27.3,0.046,0.4,65.83,136920,5.3
Missouri,Human Resources Managers,2030,5.5,0.718,0.68,54.49,113340,1.3
Missouri,Training and Development Managers,420,9.3,0.148,0.56,54.73,113840,2.4
Missouri,"Farmers, Ranchers, and Other Agricultural Managers",100,14.7,0.034,1,33.72,70130,6.6
Missouri,Construction Managers,3220,10,1.143,0.57,50.83,105720,5.1
Missouri,"Education and Childcare Administrators, Preschool and Daycare",540,16.1,0.192,0.54,24.77,51510,5.7
Missouri,"Education Administrators, Kindergarten through Secondary",5610,8,1.988,1.08,*,88040,1.6
Missouri,"Education Administrators, Postsecondary",2470,9.6,0.876,0.89,52.53,109260,3.4
Missouri,"Education Administrators, All Other",340,9.2,0.121,0.4,38.39,79840,3.5
Missouri,Architectural and Engineering Managers,2520,8.5,0.892,0.67,67.31,140000,3.8
Missouri,Food Service Managers,2370,9.5,0.841,0.52,26.77,55670,3.7
Missouri,Gambling Managers,50,21,0.018,0.61,36.37,75660,1.8
Missouri,Lodging Managers,560,17.5,0.198,0.76,25.96,54000,8.1
Missouri,Medical and Health Services Managers,7290,3.6,2.585,0.96,53.58,111450,2.5
Missouri,Natural Sciences Managers,620,8.4,0.221,0.48,47.47,98740,4.6
Missouri,Postmasters and Mail Superintendents,300,0,0.108,1.14,37.01,76990,0.5
Missouri,"Property, Real Estate, and Community Association Managers",3580,8.5,1.268,0.84,30.88,64230,5.4
Missouri,Social and Community Service Managers,2330,4.4,0.827,0.78,29.79,61950,1.2
Missouri,Emergency Management Directors,150,7.9,0.053,0.78,29.64,61650,4
