area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Montana,All Occupations,468000,0.8,1000,1,21.81,45370,0.9
Montana,Management Occupations,18080,1.8,38.636,0.7,44.68,92930,0.9
Montana,Chief Executives,340,6,0.735,0.52,68.43,142340,3.4
Montana,General and Operations Managers,6370,2.9,13.612,0.83,47.59,98980,1.5
Montana,Legislators,300,12,0.647,1.82,*,37840,5.4
Montana,Marketing Managers,160,9.9,0.334,0.19,51.53,107190,3.4
Montana,Sales Managers,310,14.9,0.665,0.24,64.63,134420,7.6
Montana,Public Relations and Fundraising Managers,90,10.4,0.2,0.37,46.81,97370,7
Montana,Administrative Services and Facilities Managers,260,5.8,0.555,0.27,44.08,91680,2.7
Montana,Computer and Information Systems Managers,700,11.8,1.503,0.51,50.29,104610,3
Montana,Financial Managers,850,6.3,1.806,0.41,52.92,110070,2.7
Montana,Industrial Production Managers,160,13.3,0.342,0.27,60.71,126280,4.9
Montana,Purchasing Managers,60,8.6,0.128,0.26,50.47,104970,3.1
Montana,"Transportation, Storage, and Distribution Managers",170,22.4,0.359,0.4,44.87,93330,2
Montana,Human Resources Managers,330,6.3,0.71,0.67,47.89,99610,1.9
Montana,Training and Development Managers,60,33,0.127,0.48,*,*,*
Montana,Construction Managers,730,10.6,1.569,0.79,47.2,98170,3.3
Montana,"Education and Childcare Administrators, Preschool and Daycare",150,18.3,0.324,0.91,22.44,46680,5.1
Montana,"Education Administrators, Kindergarten through Secondary",790,4.4,1.681,0.91,*,88060,2.1
Montana,"Education Administrators, Postsecondary",400,4.9,0.852,0.86,45.12,93850,2.6
Montana,"Education Administrators, All Other",50,5.6,0.1,0.33,37.77,78570,3.7
Montana,Architectural and Engineering Managers,270,10.5,0.585,0.44,56.41,117340,1.8
Montana,Food Service Managers,430,10.4,0.914,0.57,29.29,60930,3.1
Montana,Lodging Managers,320,14.2,0.685,2.62,30.28,62990,8.5
Montana,Medical and Health Services Managers,1540,7.5,3.287,1.22,46.74,97230,1.6
Montana,Natural Sciences Managers,300,1,0.634,1.38,49.58,103130,1.7
Montana,Postmasters and Mail Superintendents,180,0,0.374,3.97,30.99,64470,0.7
Montana,"Property, Real Estate, and Community Association Managers",900,10.5,1.923,1.28,22.23,46240,5.2
Montana,Social and Community Service Managers,540,5.3,1.164,1.09,29.04,60410,2
Montana,Emergency Management Directors,40,12.2,0.08,1.17,28.8,59900,4.1
Montana,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1190,6.3,2.544,0.79,41.41,86140,3.7
Montana,Business and Financial Operations Occupations,22250,2.7,47.55,0.85,30.16,62730,1.2
Montana,Buyers and Purchasing Agents,1350,6.4,2.882,1,25.31,52650,2.5
Montana,"Claims Adjusters, Examiners, and Investigators",1160,19.5,2.485,1.27,27.2,56580,7.7
Montana,Compliance Officers,1080,4.1,2.309,1.07,31.26,65020,2.4
Montana,Cost Estimators,1040,8.6,2.223,1.55,28.4,59070,2.5
Montana,Human Resources Specialists,1690,3.7,3.61,0.84,27.25,56690,1.3
Montana,Labor Relations Specialists,160,14.2,0.334,0.65,25.34,52710,8.6
Montana,Logisticians,170,16.8,0.358,0.29,38.59,80260,5
Montana,Management Analysts,**,**,**,**,38.36,79790,2.9
Montana,"Meeting, Convention, and Event Planners",550,17.1,1.184,1.48,22.4,46590,3.9
Montana,Fundraisers,670,9.2,1.435,2.58,26.08,54250,2.2
Montana,"Compensation, Benefits, and Job Analysis Specialists",130,5.7,0.279,0.46,26.73,55590,2.3
Montana,Training and Development Specialists,680,8.7,1.444,0.68,28.38,59040,2.5
Montana,Market Research Analysts and Marketing Specialists,1470,6.5,3.145,0.68,27.46,57130,1.9
Montana,"Project Management Specialists and Business Operations Specialists, All Other",3930,3.6,8.401,0.96,29.41,61180,1.7
Montana,Accountants and Auditors,3380,4.1,7.231,0.83,31.81,66170,1.9
Montana,Property Appraisers and Assessors,260,14.4,0.561,1.46,23.11,48060,3.4
Montana,Budget Analysts,220,2.9,0.46,1.31,29.87,62130,1.5
Montana,Credit Analysts,150,14.9,0.33,0.66,39.12,81380,4.3
Montana,Personal Financial Advisors,410,22.4,0.885,0.62,*,*,*
Montana,Insurance Underwriters,150,19.3,0.321,0.47,34.27,71290,11.1
Montana,Financial Examiners,140,12,0.302,0.69,33.46,69600,3.7
Montana,Credit Counselors,40,20.4,0.095,0.44,18.53,38540,3.7
Montana,Loan Officers,1240,8,2.653,1.26,32.23,67030,2.4
Montana,"Tax Examiners and Collectors, and Revenue Agents",110,1.8,0.226,0.62,28.62,59530,2.5
Montana,Tax Preparers,330,23.2,0.709,1.56,18.88,39260,8.8
Montana,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",500,7.4,1.065,0.34,36.19,75270,5.2
Montana,Computer and Mathematical Occupations,8560,5.5,18.298,0.59,32.34,67260,1.9
Montana,Computer Systems Analysts,610,7.3,1.302,0.32,35.51,73850,2.4
Montana,Information Security Analysts,110,15.7,0.225,0.26,35.7,74250,3.7
