area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Nebraska,All Occupations,982040,0.8,1000,1,23.2,48250,0.9
Nebraska,Management Occupations,52180,1.5,53.132,0.97,48.46,100800,0.9
Nebraska,Chief Executives,1380,6.1,1.407,1,97.99,203810,3.2
Nebraska,General and Operations Managers,15200,2.7,15.483,0.95,47.84,99520,1.2
Nebraska,Legislators,1340,13.7,1.369,3.85,*,37100,13.2
Nebraska,Advertising and Promotions Managers,130,14.7,0.136,0.8,53.29,110850,9.1
Nebraska,Marketing Managers,1440,5,1.467,0.82,49.58,103120,1.9
Nebraska,Sales Managers,2240,4.8,2.277,0.83,52.72,109660,2.5
Nebraska,Public Relations and Fundraising Managers,640,10.1,0.652,1.21,44.73,93040,4.7
Nebraska,Administrative Services and Facilities Managers,2170,3.6,2.212,1.06,43.57,90630,1.6
Nebraska,Computer and Information Systems Managers,2680,4.9,2.728,0.92,59.03,122790,1.4
Nebraska,Financial Managers,3940,4.6,4.016,0.9,55.99,116450,1.8
Nebraska,Industrial Production Managers,1210,5.1,1.232,0.97,48.77,101440,1.6
Nebraska,Purchasing Managers,370,5.1,0.373,0.76,49.94,103870,1.9
Nebraska,"Transportation, Storage, and Distribution Managers",1450,5.9,1.471,1.64,48.46,100800,5.8
Nebraska,Compensation and Benefits Managers,160,9.3,0.165,1.44,53.4,111070,3.5
Nebraska,Human Resources Managers,1090,5.6,1.109,1.05,51.05,106190,1.7
Nebraska,Training and Development Managers,450,5.6,0.463,1.76,47.12,98010,2.5
Nebraska,"Farmers, Ranchers, and Other Agricultural Managers",190,32.8,0.191,5.54,31.34,65180,9
Nebraska,Construction Managers,2820,6.8,2.868,1.44,44.03,91580,2.6
Nebraska,"Education and Childcare Administrators, Preschool and Daycare",360,19,0.371,1.04,25.24,52510,5.3
Nebraska,"Education Administrators, Kindergarten through Secondary",1890,3.9,1.922,1.04,*,106380,1.1
Nebraska,"Education Administrators, Postsecondary",940,6.7,0.96,0.97,54.01,112340,6.4
Nebraska,"Education Administrators, All Other",110,14.1,0.111,0.36,46.72,97170,3.5
Nebraska,Architectural and Engineering Managers,720,5.5,0.738,0.56,59.62,124010,1.4
Nebraska,Food Service Managers,2050,7.8,2.083,1.3,23.78,49460,3.5
Nebraska,Gambling Managers,30,40.6,0.033,1.08,29.14,60600,15.5
Nebraska,Lodging Managers,230,16.6,0.231,0.88,26.78,55710,8.3
Nebraska,Medical and Health Services Managers,2640,4,2.691,1,57,118560,2.3
Nebraska,Natural Sciences Managers,260,34.8,0.261,0.57,44.81,93200,3
Nebraska,Postmasters and Mail Superintendents,160,0,0.158,1.67,36.47,75860,0.7
Nebraska,"Property, Real Estate, and Community Association Managers",950,11.4,0.968,0.64,34.26,71270,8.9
Nebraska,Social and Community Service Managers,800,7.9,0.812,0.76,29.64,61660,2.5
Nebraska,Emergency Management Directors,130,9.1,0.131,1.92,29.58,61520,3.9
Nebraska,Funeral Home Managers,60,37.9,0.065,1.01,56.29,117080,24.2
Nebraska,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1940,6,1.979,0.62,45.49,94620,3.1
Nebraska,Business and Financial Operations Occupations,49230,2,50.134,0.9,32.44,67480,1
Nebraska,Buyers and Purchasing Agents,2370,6,2.415,0.84,30.87,64210,1.7
Nebraska,"Claims Adjusters, Examiners, and Investigators",2660,11,2.712,1.38,31.01,64500,1.6
Nebraska,"Insurance Appraisers, Auto Damage",40,39,0.036,0.39,29.3,60950,6.9
Nebraska,Compliance Officers,3470,8.6,3.536,1.64,32.43,67450,1.8
Nebraska,Cost Estimators,1570,7.7,1.597,1.12,28.6,59480,2.5
Nebraska,Human Resources Specialists,4800,3.9,4.883,1.13,27.38,56960,1.1
Nebraska,Labor Relations Specialists,450,11,0.463,0.9,29.56,61490,13.4
Nebraska,Logisticians,980,16.7,0.995,0.8,27.8,57820,4.5
Nebraska,Management Analysts,2560,6.3,2.609,0.54,37.17,77320,2.3
Nebraska,"Meeting, Convention, and Event Planners",460,10,0.47,0.59,22.11,45980,2.4
