area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Nevada,All Occupations,1392680,0.5,1000,1,22.7,47210,0.7
Nevada,Management Occupations,69500,1.9,49.902,0.91,54.23,112810,1
Nevada,Chief Executives,1170,11.4,0.838,0.6,104.32,216980,4.1
Nevada,General and Operations Managers,20030,4.1,14.385,0.88,60.39,125610,1.9
Nevada,Legislators,150,8.1,0.107,0.3,*,83350,11.3
Nevada,Advertising and Promotions Managers,220,16.5,0.16,0.94,54.3,112950,5.7
Nevada,Marketing Managers,1830,10.1,1.317,0.73,68.11,141660,5.6
Nevada,Sales Managers,3740,7,2.684,0.98,*,*,*
Nevada,Public Relations and Fundraising Managers,470,14.5,0.34,0.63,57.45,119500,5.9
Nevada,Administrative Services and Facilities Managers,1600,4.7,1.147,0.55,45.57,94790,1.3
Nevada,Computer and Information Systems Managers,2140,9.4,1.536,0.52,64.89,134970,2.6
Nevada,Financial Managers,6060,4.3,4.348,0.98,58.42,121520,2
Nevada,Industrial Production Managers,840,7.1,0.602,0.48,50.53,105090,2.2
Nevada,Purchasing Managers,480,10.1,0.343,0.7,55.02,114440,1.6
Nevada,"Transportation, Storage, and Distribution Managers",1120,6.4,0.802,0.89,44.58,92720,2.4
Nevada,Compensation and Benefits Managers,120,10.5,0.087,0.76,58.8,122300,4.5
Nevada,Human Resources Managers,1030,4.6,0.738,0.7,56.53,117580,1.7
Nevada,Training and Development Managers,280,10.8,0.2,0.76,45.64,94920,3.5
Nevada,"Farmers, Ranchers, and Other Agricultural Managers",60,33.8,0.042,1.23,41.1,85490,7.5
Nevada,Construction Managers,4080,6.5,2.932,1.47,45.25,94130,2.3
Nevada,"Education and Childcare Administrators, Preschool and Daycare",160,23.9,0.114,0.32,31.14,64760,6.6
Nevada,"Education Administrators, Kindergarten through Secondary",1650,1.9,1.185,0.64,*,92430,2.3
Nevada,"Education Administrators, Postsecondary",700,6.3,0.503,0.51,56.61,117760,4.8
Nevada,"Education Administrators, All Other",230,20,0.162,0.53,37.78,78590,5.6
Nevada,Architectural and Engineering Managers,990,9.3,0.713,0.54,65.6,136450,2
Nevada,Food Service Managers,3230,7.8,2.316,1.44,32.48,67560,3.1
Nevada,Gambling Managers,580,5.8,0.418,13.8,48.65,101190,2.5
Nevada,Lodging Managers,600,15.6,0.43,1.65,43.2,89860,3.1
Nevada,Medical and Health Services Managers,2600,6.3,1.868,0.69,57.23,119030,3.1
Nevada,Natural Sciences Managers,250,15.1,0.183,0.4,55.25,114930,2.8
Nevada,Postmasters and Mail Superintendents,70,0,0.048,0.51,33.07,68790,1.1
Nevada,"Property, Real Estate, and Community Association Managers",3150,13,2.265,1.51,25.62,53290,3.4
Nevada,Social and Community Service Managers,780,6.6,0.559,0.52,37.33,77640,2.7
Nevada,Emergency Management Directors,30,13.2,0.024,0.34,42.07,87500,4.3
Nevada,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",9040,3.8,6.488,2.02,49.04,102000,1.9
Nevada,Business and Financial Operations Occupations,53780,2,38.613,0.69,33.22,69100,1.2
Nevada,"Agents and Business Managers of Artists, Performers, and Athletes",220,38.1,0.156,1.34,29.23,60800,11.6
Nevada,Buyers and Purchasing Agents,3110,10.4,2.235,0.78,29.27,60890,1.5
Nevada,"Claims Adjusters, Examiners, and Investigators",1640,15.7,1.18,0.6,33.32,69300,2.1
Nevada,"Insurance Appraisers, Auto Damage",580,14.2,0.415,4.43,30.87,64210,2
Nevada,Compliance Officers,2340,3.7,1.68,0.78,33.56,69800,2
Nevada,Cost Estimators,1970,7.5,1.414,0.99,32.1,66770,2.3
Nevada,Human Resources Specialists,3950,4.2,2.838,0.66,28.93,60180,1
Nevada,Labor Relations Specialists,900,9.4,0.647,1.26,30.71,63890,11.2
Nevada,Logisticians,530,15.8,0.38,0.31,32.53,67660,3.3
Nevada,Management Analysts,4680,5.4,3.363,0.7,44.92,93440,6.4
Nevada,"Meeting, Convention, and Event Planners",1060,8,0.762,0.95,22.91,47650,2.5
Nevada,Fundraisers,280,17.9,0.201,0.36,29.46,61270,3.7
Nevada,"Compensation, Benefits, and Job Analysis Specialists",530,19.9,0.378,0.62,29.26,60860,2.5
Nevada,Training and Development Specialists,2480,6.7,1.783,0.84,29.39,61140,4.3
Nevada,Market Research Analysts and Marketing Specialists,3360,9.2,2.41,0.52,29.06,60440,2.6
Nevada,"Project Management Specialists and Business Operations Specialists, All Other",9500,3.4,6.818,0.78,32.7,68010,1.4
Nevada,Accountants and Auditors,8140,4.4,5.842,0.67,32.7,68030,1.4
Nevada,Property Appraisers and Assessors,370,27.4,0.266,0.69,*,*,*
Nevada,Budget Analysts,270,3.5,0.194,0.55,34.81,72400,1.4
Nevada,Credit Analysts,420,26.8,0.304,0.6,34.57,71900,4.5
Nevada,Personal Financial Advisors,990,12.5,0.711,0.5,42.6,88600,6.9
Nevada,Insurance Underwriters,260,42.2,0.189,0.28,40.33,83890,13.4
Nevada,Financial Examiners,**,**,**,**,32.67,67960,4.7
Nevada,Credit Counselors,100,27.8,0.074,0.34,25.8,53670,9.3
Nevada,Loan Officers,3240,14.1,2.328,1.11,37.35,77680,8.1
Nevada,Tax Preparers,870,25,0.624,1.38,24.68,51320,6.8
Nevada,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",1630,9.8,1.17,0.37,36.64,76220,2.8
Nevada,Computer and Mathematical Occupations,21770,3.9,15.635,0.5,37.65,78310,1.8
Nevada,Computer Systems Analysts,1740,6.7,1.25,0.31,39.73,82640,1.7
Nevada,Information Security Analysts,500,12.3,0.36,0.42,49.41,102770,7.5
Nevada,Computer and Information Research Scientists,40,22.3,0.03,0.14,53.8,111900,5.8
Nevada,Computer Network Support Specialists,1450,19.5,1.041,0.82,29.96,62320,3.4
Nevada,Computer User Support Specialists,5120,6.8,3.676,0.83,25.02,52030,1.9
Nevada,Computer Network Architects,740,9.2,0.529,0.51,53.88,112060,4.2
Nevada,Network and Computer Systems Administrators,1500,11.6,1.079,0.45,41.7,86740,2.1
Nevada,Database Administrators and Architects,700,20.6,0.503,0.59,43.64,90780,1.7
Nevada,Computer Programmers,1030,9.1,0.736,0.54,39.39,81920,3.4
Nevada,Software Developers and Software Quality Assurance Analysts and Testers,5390,8.3,3.872,0.4,47.17,98120,3.6
Nevada,Web Developers and Digital Interface Designers,810,14.5,0.585,0.58,30.18,62760,4.1
Nevada,"Computer Occupations, All Other",2360,10.5,1.694,0.63,35.55,73940,2.2
Nevada,Mathematicians,40,20.4,0.032,1.78,40.68,84610,12.1
Nevada,Operations Research Analysts,170,17.4,0.121,0.18,36.73,76400,5.7
Nevada,Statisticians,90,17.1,0.065,0.24,*,*,*
Nevada,"Data Scientists and Mathematical Science Occupations, All Other",**,**,**,**,51.87,107880,5.1
Nevada,Architecture and Engineering Occupations,14550,5.3,10.446,0.59,38.88,80860,1.6
Nevada,"Architects, Except Landscape and Naval",360,14.8,0.258,0.36,37.65,78320,7.8
Nevada,Landscape Architects,50,31.1,0.036,0.26,31.16,64810,5.5
Nevada,Cartographers and Photogrammetrists,210,7.2,0.148,1.93,37.15,77280,2.3
Nevada,Surveyors,450,16.7,0.322,1.05,40.01,83220,3.4
Nevada,Aerospace Engineers,**,**,**,**,46.62,96960,2.5
Nevada,Bioengineers and Biomedical Engineers,50,22.3,0.036,0.27,48.35,100570,4.7
Nevada,Chemical Engineers,60,18.1,0.045,0.22,51.66,107460,15.7
Nevada,Civil Engineers,2690,6.8,1.932,0.91,47.57,98960,3.9
Nevada,Computer Hardware Engineers,80,13.3,0.056,0.12,40.07,83340,5.2
Nevada,Electrical Engineers,640,16.2,0.463,0.37,42.05,87470,2.5
Nevada,"Electronics Engineers, Except Computer",560,12,0.401,0.46,48.07,99980,2.5
Nevada,Environmental Engineers,550,14.7,0.395,1.09,46.04,95750,3.1
Nevada,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170,28.7,0.119,0.68,41.4,86110,6.4
Nevada,Industrial Engineers,910,29.1,0.651,0.33,43.86,91220,2
Nevada,Materials Engineers,140,31.6,0.099,0.54,45.32,94260,3
Nevada,Mechanical Engineers,1210,28.3,0.868,0.42,43.78,91070,2.4
Nevada,"Mining and Geological Engineers, Including Mining Safety Engineers",390,18.7,0.282,6.6,45.09,93790,2.7
Nevada,"Engineers, All Other",660,13.6,0.475,0.46,38.65,80400,5.8
Nevada,Architectural and Civil Drafters,1110,11.8,0.796,1.18,24.68,51340,2.4
Nevada,Electrical and Electronics Drafters,260,24,0.19,1.16,28.73,59750,5.4
Nevada,Mechanical Drafters,260,15.2,0.188,0.5,25.61,53260,3.7
Nevada,"Drafters, All Other",200,21.2,0.141,1.42,26.06,54210,2.4
Nevada,Civil Engineering Technologists and Technicians,810,10.3,0.579,1.23,27.88,58000,2.2
Nevada,Electrical and Electronic Engineering Technologists and Technicians,930,12,0.67,0.8,33.24,69130,3.3
Nevada,Electro-Mechanical and Mechatronics Technologists and Technicians,60,34.6,0.044,0.46,27.55,57310,3.7
Nevada,Environmental Engineering Technologists and Technicians,210,19.9,0.147,1.2,28.52,59320,3.5
Nevada,Industrial Engineering Technologists and Technicians,200,10.8,0.143,0.31,23.41,48700,4.5
Nevada,Mechanical Engineering Technologists and Technicians,410,23.2,0.293,1,30.78,64010,6.2
Nevada,Surveying and Mapping Technicians,430,9.9,0.309,0.86,25.22,52450,3.3
Nevada,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",310,14.9,0.22,0.37,35.27,73370,2.1
Nevada,"Life, Physical, and Social Science Occupations",9330,6.9,6.7,0.76,32.1,66780,1.9
Nevada,Soil and Plant Scientists,40,48.2,0.026,0.27,35.34,73500,3.7
Nevada,Microbiologists,40,21.5,0.031,0.25,34.54,71840,4.6
Nevada,Zoologists and Wildlife Biologists,170,7.4,0.124,0.95,31.78,66100,3.7
Nevada,"Biological Scientists, All Other",220,4.5,0.158,0.58,35.49,73830,1.4
Nevada,Conservation Scientists,200,15.5,0.145,0.96,29.48,61310,4.7
Nevada,"Medical Scientists, Except Epidemiologists",230,16.9,0.162,0.19,50.08,104180,7.2
Nevada,"Life Scientists, All Other",90,1,0.068,1.54,28.54,59370,2.1
Nevada,Atmospheric and Space Scientists,80,5.9,0.059,0.93,43.99,91500,1.9
Nevada,Chemists,250,10.6,0.181,0.32,35.65,74160,5
Nevada,Materials Scientists,40,18.3,0.029,0.63,60.93,126720,11.9
Nevada,"Environmental Scientists and Specialists, Including Health",480,12.1,0.344,0.6,30.98,64440,3.8
Nevada,"Geoscientists, Except Hydrologists and Geographers",540,22.1,0.388,1.95,43.18,89820,5.5
Nevada,Hydrologists,140,11.2,0.102,2.34,44.12,91760,2.2
Nevada,Economists,60,11.2,0.046,0.35,39.85,82890,2.9
Nevada,"Clinical, Counseling, and School Psychologists",430,11.1,0.307,0.4,40.04,83280,3.1
Nevada,"Psychologists, All Other",90,5.4,0.063,0.65,41.95,87250,2.5
Nevada,Urban and Regional Planners,210,3.9,0.148,0.56,40.08,83370,1.5
Nevada,Anthropologists and Archeologists,320,25.8,0.227,4.96,31.16,64820,6.7
Nevada,"Social Scientists and Related Workers, All Other",130,2.2,0.091,0.4,38.62,80330,1.9
Nevada,Agricultural and Food Science Technicians,40,17.7,0.03,0.2,18.59,38660,3.9
Nevada,Biological Technicians,330,5.3,0.24,0.44,21.29,44290,4.4
Nevada,Chemical Technicians,1150,12.3,0.828,1.85,26.33,54770,3.5
Nevada,"Environmental Science and Protection Technicians, Including Health",**,**,**,**,28.23,58730,12
Nevada,Geological and Hydrologic Technicians,150,10.2,0.108,0.92,27.11,56390,4.7
Nevada,Social Science Research Assistants,80,9.2,0.058,0.24,*,*,*
Nevada,Forest and Conservation Technicians,280,4.2,0.203,1.56,22.46,46720,2.1
Nevada,Forensic Science Technicians,380,0.3,0.273,2.43,30.8,64070,1.9
Nevada,"Life, Physical, and Social Science Technicians, All Other",820,5.9,0.588,1.34,22.69,47200,4.3
Nevada,Occupational Health and Safety Specialists,1050,11.5,0.751,1.19,35.11,73030,2
Nevada,Occupational Health and Safety Technicians,290,34.6,0.211,1.51,22.84,47510,4.1
Nevada,Community and Social Service Occupations,13270,2,9.525,0.62,26.09,54270,2
Nevada,"Educational, Guidance, and Career Counselors and Advisors",1720,3,1.237,0.61,27.84,57900,5.4
Nevada,Marriage and Family Therapists,400,18.3,0.284,0.71,27.41,57020,4.5
Nevada,Rehabilitation Counselors,560,21.6,0.401,0.54,20.17,41960,8.1
