area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
New Hampshire,All Occupations,660480,0.7,1000,1,25.94,53950,0.8
New Hampshire,Management Occupations,40990,1.7,62.063,1.13,59.58,123930,0.8
New Hampshire,Chief Executives,680,8.5,1.034,0.74,81.49,169490,3.1
New Hampshire,General and Operations Managers,13380,1.9,20.254,1.24,62.11,129190,1.4
New Hampshire,Legislators,210,9,0.324,0.91,*,19900,2.9
New Hampshire,Advertising and Promotions Managers,50,26.2,0.07,0.41,43.84,91200,3.3
New Hampshire,Marketing Managers,1220,5.3,1.848,1.03,69.48,144510,1.7
New Hampshire,Sales Managers,1660,4.4,2.512,0.92,74.92,155830,2.1
New Hampshire,Public Relations and Fundraising Managers,670,12.3,1.013,1.88,57.45,119500,2.1
New Hampshire,Administrative Services and Facilities Managers,1050,4,1.595,0.76,51.91,107960,1.4
New Hampshire,Computer and Information Systems Managers,2730,3.1,4.135,1.4,71.63,149000,1.5
New Hampshire,Financial Managers,3890,2.5,5.89,1.32,62.23,129440,1.2
New Hampshire,Industrial Production Managers,1190,3.1,1.797,1.42,66.01,137300,2.2
New Hampshire,Purchasing Managers,520,5.5,0.791,1.61,62.36,129710,1.5
New Hampshire,"Transportation, Storage, and Distribution Managers",590,7.7,0.89,0.99,54.85,114080,2.4
New Hampshire,Compensation and Benefits Managers,90,6.1,0.14,1.22,59.76,124300,2.4
New Hampshire,Human Resources Managers,700,4.4,1.062,1.01,63.69,132480,1.9
New Hampshire,Training and Development Managers,240,9.8,0.359,1.37,61.01,126900,1.8
New Hampshire,Construction Managers,1260,7.7,1.914,0.96,46.8,97340,2.4
New Hampshire,"Education and Childcare Administrators, Preschool and Daycare",430,14,0.652,1.83,23.57,49030,4.4
New Hampshire,"Education Administrators, Kindergarten through Secondary",1380,2.8,2.089,1.13,*,92230,1.2
New Hampshire,"Education Administrators, Postsecondary",**,**,**,**,50.25,104520,2.5
New Hampshire,"Education Administrators, All Other",70,14.9,0.111,0.37,31.52,65570,5
New Hampshire,Architectural and Engineering Managers,1550,3.6,2.341,1.77,76.05,158180,1.9
New Hampshire,Food Service Managers,1130,6.7,1.711,1.07,31.71,65950,2.2
New Hampshire,Lodging Managers,210,14.5,0.317,1.21,31.79,66120,4.8
New Hampshire,Medical and Health Services Managers,2170,8.2,3.287,1.22,57.59,119780,2.8
New Hampshire,Natural Sciences Managers,230,25.3,0.347,0.75,*,*,*
New Hampshire,Postmasters and Mail Superintendents,170,0,0.251,2.67,35.62,74080,0.6
New Hampshire,"Property, Real Estate, and Community Association Managers",670,8.3,1.011,0.67,32.11,66790,3
New Hampshire,Social and Community Service Managers,830,5.9,1.255,1.18,33.69,70070,2
New Hampshire,Emergency Management Directors,70,12.5,0.1,1.46,34.93,72660,4.9
New Hampshire,Funeral Home Managers,30,31.6,0.051,0.79,44.46,92490,22.9
New Hampshire,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",860,7.4,1.297,0.4,64.72,134620,1.9
New Hampshire,Business and Financial Operations Occupations,31700,1.6,47.992,0.86,35.75,74350,0.9
New Hampshire,Buyers and Purchasing Agents,2430,4,3.678,1.28,32.8,68230,1.7
New Hampshire,"Claims Adjusters, Examiners, and Investigators",1190,6.7,1.797,0.92,33.89,70490,2.1
New Hampshire,"Insurance Appraisers, Auto Damage",40,28.2,0.054,0.57,38.15,79360,2.6
New Hampshire,Compliance Officers,1420,6.3,2.15,0.99,36.26,75410,2.6
New Hampshire,Cost Estimators,840,7.9,1.275,0.89,32.1,66770,1.7
New Hampshire,Human Resources Specialists,2520,3.9,3.811,0.88,30.69,63830,1.4
New Hampshire,Labor Relations Specialists,120,14.3,0.175,0.34,33.94,70590,7.8
New Hampshire,Logisticians,850,6.4,1.29,1.04,34.65,72060,1.5
New Hampshire,Management Analysts,2920,4.8,4.425,0.92,46.15,95980,2.4
New Hampshire,"Meeting, Convention, and Event Planners",430,11.3,0.657,0.82,24.32,50580,3.6
New Hampshire,Fundraisers,610,8,0.928,1.67,28.01,58260,2.6
New Hampshire,"Compensation, Benefits, and Job Analysis Specialists",360,5.7,0.55,0.91,33.41,69480,1.8
New Hampshire,Training and Development Specialists,1360,5.1,2.06,0.97,32.98,68590,1.9
New Hampshire,Market Research Analysts and Marketing Specialists,2420,3.7,3.658,0.79,32.82,68260,2
New Hampshire,"Project Management Specialists and Business Operations Specialists, All Other",3360,3.7,5.088,0.58,36.53,75990,2.5
New Hampshire,Accountants and Auditors,5670,1.9,8.587,0.98,34.98,72750,1
New Hampshire,Property Appraisers and Assessors,320,19.5,0.492,1.28,36.18,75260,11.5
New Hampshire,Budget Analysts,60,12.6,0.088,0.25,36.07,75030,2.3
New Hampshire,Credit Analysts,140,16.5,0.218,0.43,40.3,83830,3
New Hampshire,Personal Financial Advisors,1060,6.4,1.6,1.12,49.8,103580,8.5
New Hampshire,Insurance Underwriters,150,13.6,0.228,0.33,38.81,80720,1.9
New Hampshire,Financial Examiners,130,3.5,0.201,0.46,43.1,89660,8.1
New Hampshire,Credit Counselors,430,6.6,0.655,2.99,21.84,45430,1.9
New Hampshire,Loan Officers,1300,7.7,1.973,0.94,41.31,85910,4.4
New Hampshire,"Tax Examiners and Collectors, and Revenue Agents",320,3.2,0.482,1.32,26.5,55110,1.4
New Hampshire,Tax Preparers,250,12.7,0.38,0.84,26.27,54640,8.5
New Hampshire,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",990,5.3,1.494,0.48,41.06,85410,2.9
New Hampshire,Computer and Mathematical Occupations,22920,3.3,34.697,1.12,45.36,94350,1.5
New Hampshire,Computer Systems Analysts,2800,4.9,4.247,1.06,46.32,96340,1.2
New Hampshire,Information Security Analysts,520,6.8,0.795,0.93,49.41,102770,3.1
New Hampshire,Computer and Information Research Scientists,50,17.2,0.081,0.39,61.23,127360,3.4
New Hampshire,Computer Network Support Specialists,470,13.2,0.707,0.56,35.5,73840,3.8
New Hampshire,Computer User Support Specialists,3080,4.2,4.669,1.06,25.93,53940,1.5
New Hampshire,Computer Network Architects,410,13.5,0.627,0.6,61.18,127250,2.8
New Hampshire,Network and Computer Systems Administrators,2270,3,3.438,1.42,43.25,89970,1.5
New Hampshire,Database Administrators and Architects,420,6.7,0.639,0.75,46.26,96220,1.8
New Hampshire,Computer Programmers,1370,7.3,2.069,1.52,39.35,81850,4.5
New Hampshire,Software Developers and Software Quality Assurance Analysts and Testers,8990,5.8,13.613,1.42,52.84,109900,1.7
New Hampshire,Web Developers and Digital Interface Designers,590,7.9,0.893,0.88,33.76,70220,2
New Hampshire,"Computer Occupations, All Other",1170,6.9,1.779,0.66,48.11,100070,4.5
New Hampshire,Operations Research Analysts,550,8.2,0.839,1.24,46.93,97620,2.4
New Hampshire,Statisticians,80,9.1,0.117,0.44,36.88,76700,2.4
New Hampshire,"Data Scientists and Mathematical Science Occupations, All Other",50,21.6,0.075,0.36,55.67,115790,7.3
New Hampshire,Architecture and Engineering Occupations,14150,3,21.424,1.21,41.71,86760,1.4
New Hampshire,"Architects, Except Landscape and Naval",220,10.1,0.334,0.46,42.42,88230,2.6
New Hampshire,Cartographers and Photogrammetrists,90,10.4,0.13,1.69,28.22,58700,3
New Hampshire,Surveyors,220,16.2,0.339,1.1,30.34,63110,2.3
New Hampshire,Chemical Engineers,60,17.8,0.089,0.43,43.55,90590,5.3
New Hampshire,Civil Engineers,1350,6.4,2.051,0.97,41.39,86100,2
New Hampshire,Computer Hardware Engineers,200,11.7,0.308,0.67,58.33,121320,1.9
New Hampshire,Electrical Engineers,1890,4.1,2.863,2.27,53.21,110670,1.3
New Hampshire,"Electronics Engineers, Except Computer",500,12.8,0.758,0.86,53.77,111840,1.7
New Hampshire,Environmental Engineers,250,13.7,0.378,1.04,48.29,100440,3
New Hampshire,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",60,7.9,0.088,0.5,42.9,89230,3
New Hampshire,Industrial Engineers,1910,3.4,2.887,1.45,44.19,91920,1.1
New Hampshire,Materials Engineers,80,7.7,0.122,0.67,46.89,97520,2.2
New Hampshire,Mechanical Engineers,2660,8.5,4.021,1.92,46.9,97560,2.7
New Hampshire,"Engineers, All Other",350,7.6,0.525,0.51,50.46,104960,4.2
New Hampshire,Architectural and Civil Drafters,600,8.6,0.903,1.34,26.8,55740,1.9
New Hampshire,Electrical and Electronics Drafters,140,11.4,0.208,1.26,31.85,66240,5.6
New Hampshire,Mechanical Drafters,340,11.8,0.51,1.36,28.56,59410,2
New Hampshire,Civil Engineering Technologists and Technicians,110,17.1,0.162,0.35,27.32,56820,2.6
New Hampshire,Electrical and Electronic Engineering Technologists and Technicians,770,5.6,1.17,1.4,28,58240,1.7
New Hampshire,Electro-Mechanical and Mechatronics Technologists and Technicians,130,9.7,0.201,2.06,30.75,63960,2.6
New Hampshire,Environmental Engineering Technologists and Technicians,60,30.6,0.089,0.72,27.47,57140,3
New Hampshire,Industrial Engineering Technologists and Technicians,620,3.4,0.933,2.04,28.3,58860,1.1
New Hampshire,Mechanical Engineering Technologists and Technicians,700,10.8,1.055,3.62,26.64,55420,1.4
New Hampshire,Surveying and Mapping Technicians,260,10.2,0.388,1.08,23.13,48120,1.9
New Hampshire,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",310,10,0.468,0.78,27.61,57440,2.7
New Hampshire,"Life, Physical, and Social Science Occupations",4850,6.2,7.336,0.84,35.87,74610,2.4
New Hampshire,Biochemists and Biophysicists,90,7.8,0.14,0.65,46.86,97470,3
New Hampshire,Microbiologists,150,12.1,0.231,1.86,34.3,71350,3.4
New Hampshire,Zoologists and Wildlife Biologists,80,4.5,0.124,0.94,30.61,63660,2
New Hampshire,"Biological Scientists, All Other",100,13.4,0.159,0.58,40.15,83510,1.8
New Hampshire,Conservation Scientists,70,15.2,0.111,0.74,33.67,70030,2.1
New Hampshire,Foresters,100,20.5,0.156,2.4,36.07,75020,3.4
New Hampshire,"Medical Scientists, Except Epidemiologists",330,18.2,0.495,0.57,48.68,101250,14.1
New Hampshire,Physicists,90,9.8,0.134,1.18,50.94,105950,2.8
New Hampshire,Atmospheric and Space Scientists,40,26.7,0.056,0.89,32.86,68350,12.2
New Hampshire,Chemists,220,13.5,0.329,0.58,35.95,74780,2.6
New Hampshire,Materials Scientists,40,11.5,0.06,1.3,70.45,146540,7.9
New Hampshire,"Environmental Scientists and Specialists, Including Health",360,7,0.541,0.94,35.48,73800,2.8
New Hampshire,"Geoscientists, Except Hydrologists and Geographers",100,14.3,0.153,0.77,44.37,92290,6.3
New Hampshire,Hydrologists,100,23.8,0.153,3.5,44.53,92620,4.5
New Hampshire,"Physical Scientists, All Other",100,11.2,0.153,1.28,42.75,88930,2.2
New Hampshire,Economists,30,21,0.046,0.36,33.18,69010,3.4
New Hampshire,"Clinical, Counseling, and School Psychologists",490,11.2,0.737,0.96,42.79,89000,7.4
New Hampshire,"Psychologists, All Other",30,13.2,0.046,0.48,45.58,94800,3.6
New Hampshire,Urban and Regional Planners,230,13.6,0.343,1.31,31.93,66420,1.4
New Hampshire,Anthropologists and Archeologists,40,17.5,0.064,1.41,30.48,63400,4.5
New Hampshire,"Social Scientists and Related Workers, All Other",120,18.8,0.178,0.77,36.31,75520,4.6
New Hampshire,Biological Technicians,580,18.7,0.883,1.63,26.1,54290,3
New Hampshire,Chemical Technicians,150,10,0.232,0.52,22.62,47050,3.2
New Hampshire,"Environmental Science and Protection Technicians, Including Health",170,13.7,0.26,1.17,22.98,47790,1.6
New Hampshire,Social Science Research Assistants,60,23.2,0.094,0.39,22.36,46510,10.6
New Hampshire,Forest and Conservation Technicians,40,4.7,0.055,0.42,22.02,45810,1.8
New Hampshire,Forensic Science Technicians,50,0,0.074,0.66,32.95,68530,2.6
New Hampshire,"Life, Physical, and Social Science Technicians, All Other",90,18.4,0.144,0.33,29.27,60870,5.2
New Hampshire,Occupational Health and Safety Specialists,540,15.5,0.822,1.3,37.3,77590,1.6
New Hampshire,Occupational Health and Safety Technicians,40,9.6,0.053,0.38,24.04,50010,2.5
New Hampshire,Community and Social Service Occupations,9520,2.6,14.411,0.94,23.28,48420,1.3
New Hampshire,"Educational, Guidance, and Career Counselors and Advisors",2080,5.8,3.147,1.56,26.76,55660,3.4
New Hampshire,Marriage and Family Therapists,40,30.3,0.064,0.16,22.33,46450,2.8
New Hampshire,Rehabilitation Counselors,330,14.8,0.496,0.67,23.5,48870,6.5
New Hampshire,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1790,5.6,2.717,1.41,21.57,44870,2.1
New Hampshire,"Child, Family, and School Social Workers",720,7.2,1.09,0.49,26.12,54340,3
New Hampshire,Healthcare Social Workers,570,4.4,0.862,0.72,31.09,64680,1.5
New Hampshire,Mental Health and Substance Abuse Social Workers,470,11.9,0.705,0.88,28.24,58750,4.9
New Hampshire,"Social Workers, All Other",**,**,**,**,35.65,74160,2.3
New Hampshire,Health Education Specialists,240,13.8,0.369,0.92,29.43,61220,4
New Hampshire,Probation Officers and Correctional Treatment Specialists,190,1.6,0.286,0.48,30.6,63660,1.4
New Hampshire,Social and Human Service Assistants,2100,5.5,3.179,1.15,15.86,32990,1.4
New Hampshire,Community Health Workers,210,13.2,0.323,0.81,21.81,45360,7.9
New Hampshire,"Community and Social Service Specialists, All Other",530,12.6,0.802,1.21,20.28,42170,3.7
New Hampshire,Clergy,120,7.8,0.174,0.48,29.02,60360,1.9
New Hampshire,Legal Occupations,3360,3.9,5.083,0.65,47.58,98960,4.2
New Hampshire,Lawyers,2000,5.7,3.024,0.68,60.68,126220,4.7
New Hampshire,"Administrative Law Judges, Adjudicators, and Hearing Officers",110,0,0.162,1.65,38.22,79500,1.8
New Hampshire,Paralegals and Legal Assistants,1120,7.6,1.691,0.75,26.89,55930,2.2
New Hampshire,"Legal Support Workers, All Other",80,8.5,0.124,0.4,35.81,74480,2.1
New Hampshire,Educational Instruction and Library Occupations,42960,2.8,65.038,1.07,25.21,52440,3.1
New Hampshire,"Business Teachers, Postsecondary",550,11.6,0.839,1.47,*,121920,15
New Hampshire,"Computer Science Teachers, Postsecondary",130,15.3,0.201,0.93,*,109890,10.8
New Hampshire,"Mathematical Science Teachers, Postsecondary",130,13.6,0.202,0.58,*,82780,6
New Hampshire,"Engineering Teachers, Postsecondary",140,28.2,0.218,0.89,*,135840,4.7
New Hampshire,"Biological Science Teachers, Postsecondary",310,24.9,0.477,1.32,*,119750,14.4
New Hampshire,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",50,16.1,0.078,1.03,*,85190,5.1
New Hampshire,"Chemistry Teachers, Postsecondary",70,20.1,0.101,0.69,*,102790,11.7
New Hampshire,"Environmental Science Teachers, Postsecondary",140,35.5,0.206,4.99,*,84070,11
New Hampshire,"Physics Teachers, Postsecondary",80,23.9,0.121,1.29,*,102030,9.9
New Hampshire,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",50,30.9,0.073,1.02,*,116200,14.4
New Hampshire,"Economics Teachers, Postsecondary",80,29.3,0.123,1.37,*,168130,19.6
New Hampshire,"Political Science Teachers, Postsecondary",100,23.9,0.149,1.39,*,109200,9.7
New Hampshire,"Psychology Teachers, Postsecondary",230,27.5,0.345,1.35,*,76540,7.1
New Hampshire,"Sociology Teachers, Postsecondary",50,22.1,0.079,0.84,*,84100,7
New Hampshire,"Social Sciences Teachers, Postsecondary, All Other",60,2.5,0.09,0.79,*,66900,13.7
