area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
New Jersey,All Occupations,4087950,0.5,1000,1,28.84,59980,0.6
New Jersey,Management Occupations,218260,1.1,53.391,0.97,73.63,153160,0.6
New Jersey,Chief Executives,770,7.2,0.188,0.13,121.79,253320,4
New Jersey,General and Operations Managers,46400,2.9,11.349,0.69,78.89,164090,1
New Jersey,Legislators,2780,9.2,0.679,1.91,*,*,*
New Jersey,Advertising and Promotions Managers,360,9.4,0.089,0.52,81.75,170040,3.2
New Jersey,Marketing Managers,11220,4,2.743,1.53,85.72,178300,2
New Jersey,Sales Managers,14770,3.1,3.613,1.32,85.07,176950,1.3
New Jersey,Public Relations and Fundraising Managers,2100,5.2,0.515,0.95,79.55,165470,2.8
New Jersey,Administrative Services and Facilities Managers,12840,2.4,3.14,1.5,62.91,130850,1.3
New Jersey,Computer and Information Systems Managers,15570,3.5,3.81,1.29,87.32,181620,1.5
New Jersey,Financial Managers,22000,2.3,5.383,1.21,85.29,177410,1.1
New Jersey,Industrial Production Managers,5290,3.8,1.295,1.02,65.78,136830,1.7
New Jersey,Purchasing Managers,2010,4.6,0.491,1,80.26,166940,1.7
New Jersey,"Transportation, Storage, and Distribution Managers",5680,3.8,1.389,1.54,60.05,124890,1.2
New Jersey,Compensation and Benefits Managers,430,7.8,0.105,0.91,90.73,188710,2.2
New Jersey,Human Resources Managers,4220,5.4,1.031,0.98,82.72,172060,3.4
New Jersey,Training and Development Managers,960,5.6,0.234,0.89,81.7,169940,1.9
New Jersey,Construction Managers,6920,5.4,1.693,0.85,70.87,147410,2.3
New Jersey,"Education and Childcare Administrators, Preschool and Daycare",1760,8.7,0.431,1.21,35.98,74840,9.8
New Jersey,"Education Administrators, Kindergarten through Secondary",9370,4.1,2.291,1.24,*,129990,1
New Jersey,"Education Administrators, Postsecondary",2110,11.2,0.517,0.52,74.25,154430,3.3
New Jersey,"Education Administrators, All Other",530,12.7,0.129,0.42,49.69,103350,3.6
New Jersey,Architectural and Engineering Managers,4160,5.2,1.018,0.77,80.81,168080,1.2
New Jersey,Food Service Managers,3170,8.7,0.776,0.48,40.07,83350,2.6
New Jersey,Gambling Managers,180,12.9,0.044,1.46,*,*,*
New Jersey,Lodging Managers,340,42.2,0.084,0.32,40.61,84470,9.3
New Jersey,Medical and Health Services Managers,12620,3.3,3.086,1.15,58.01,120650,1.1
New Jersey,Natural Sciences Managers,**,**,**,**,91.46,190240,2.4
New Jersey,Postmasters and Mail Superintendents,440,0,0.107,1.13,39.67,82500,0.9
New Jersey,"Property, Real Estate, and Community Association Managers",4550,10.6,1.112,0.74,43.85,91200,9.2
New Jersey,Social and Community Service Managers,3470,4.4,0.85,0.8,42.44,88270,1.5
New Jersey,Emergency Management Directors,310,13.9,0.077,1.12,44.14,91820,3.2
New Jersey,Funeral Home Managers,320,32.4,0.078,1.22,*,*,*
New Jersey,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",15360,2.8,3.758,1.17,68.95,143410,1
