area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
New Mexico,All Occupations,823570,0.6,1000,1,22.61,47040,2
New Mexico,Management Occupations,37460,1.6,45.484,0.83,48.35,100580,1.9
New Mexico,General and Operations Managers,14730,2.6,17.887,1.09,50.21,104430,1.5
New Mexico,Legislators,500,6.4,0.606,1.7,*,23520,1.9
New Mexico,Advertising and Promotions Managers,50,29.6,0.055,0.32,64,133130,9.9
New Mexico,Marketing Managers,340,10.7,0.415,0.23,47.27,98330,2.6
New Mexico,Sales Managers,1130,6.4,1.368,0.5,53.64,111570,4.6
New Mexico,Public Relations and Fundraising Managers,200,7.5,0.238,0.44,56.34,117180,4.9
New Mexico,Administrative Services and Facilities Managers,1670,5.4,2.033,0.97,46.59,96910,1.5
New Mexico,Computer and Information Systems Managers,1070,3.7,1.293,0.44,56.74,118020,3.5
New Mexico,Financial Managers,2090,3.6,2.533,0.57,51.57,107260,1.9
New Mexico,Industrial Production Managers,380,6.3,0.464,0.37,55.59,115620,2
New Mexico,Purchasing Managers,210,6.4,0.26,0.53,49.29,102510,2.3
New Mexico,"Transportation, Storage, and Distribution Managers",380,11,0.462,0.51,40.18,83570,2.6
New Mexico,Compensation and Benefits Managers,40,12.1,0.053,0.46,45.95,95570,4
New Mexico,Human Resources Managers,440,4.7,0.534,0.51,49.95,103890,2.1
New Mexico,Training and Development Managers,100,8.5,0.12,0.46,48.44,100760,3.5
New Mexico,Construction Managers,1530,9.1,1.859,0.93,44.93,93440,2.2
New Mexico,"Education and Childcare Administrators, Preschool and Daycare",250,23.4,0.306,0.86,24.49,50940,6.4
New Mexico,"Education Administrators, Kindergarten through Secondary",1600,5.4,1.942,1.05,*,84220,2.3
New Mexico,"Education Administrators, Postsecondary",620,5,0.755,0.77,44.41,92370,3
New Mexico,"Education Administrators, All Other",250,5.5,0.3,0.99,33.66,70020,2.4
New Mexico,Architectural and Engineering Managers,1530,5.5,1.861,1.41,79.39,165130,5.6
New Mexico,Food Service Managers,1130,13.2,1.374,0.86,28.53,59350,2.2
New Mexico,Gambling Managers,70,10.3,0.084,2.77,39.43,82020,3.9
New Mexico,Lodging Managers,290,11.6,0.354,1.36,32.49,67580,4.6
New Mexico,Medical and Health Services Managers,1710,3.6,2.077,0.77,60.97,126820,5.3
New Mexico,Natural Sciences Managers,350,7,0.419,0.91,49.05,102030,4.3
New Mexico,Postmasters and Mail Superintendents,150,0,0.182,1.93,33.35,69380,0.8
New Mexico,"Property, Real Estate, and Community Association Managers",1010,12.7,1.22,0.81,25.8,53670,9.2
New Mexico,Social and Community Service Managers,650,5.7,0.785,0.74,31.93,66400,2.1
New Mexico,Emergency Management Directors,110,2.5,0.128,1.87,44.92,93440,5.4
New Mexico,Funeral Home Managers,50,18.5,0.056,0.87,28.32,58910,5.5
New Mexico,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2790,6.5,3.389,1.05,46.18,96060,1.3
