area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
New York,All Occupations,9522980,0.3,1000,1,30.76,63970,0.5
New York,Management Occupations,502060,0.8,52.72,0.96,75.69,157440,0.6
New York,Chief Executives,8990,3.2,0.945,0.67,103.6,215490,2.2
New York,General and Operations Managers,168730,1.4,17.719,1.08,74.83,155640,0.7
New York,Legislators,6310,2.1,0.663,1.86,*,90230,0.6
New York,Advertising and Promotions Managers,7840,5.8,0.824,4.82,88.9,184920,1.9
New York,Marketing Managers,21550,3,2.263,1.26,89.59,186350,1.2
New York,Sales Managers,24730,2.4,2.597,0.95,93.31,194090,1
New York,Public Relations and Fundraising Managers,6550,4.8,0.688,1.28,83.77,174240,2.5
New York,Administrative Services and Facilities Managers,19460,1.9,2.043,0.98,66.44,138190,1
New York,Computer and Information Systems Managers,28960,2.5,3.041,1.03,91.53,190390,1.4
New York,Financial Managers,46100,2.3,4.84,1.09,101.08,210240,1.1
New York,Industrial Production Managers,5530,2.9,0.581,0.46,62.99,131010,0.9
New York,Purchasing Managers,4310,3.9,0.452,0.92,76.23,158560,3.2
New York,"Transportation, Storage, and Distribution Managers",4510,3.5,0.473,0.53,58.03,120700,2.1
New York,Compensation and Benefits Managers,1550,4.1,0.163,1.42,84.65,176070,3
New York,Human Resources Managers,10980,1.7,1.153,1.09,76.36,158830,1.9
New York,Training and Development Managers,3050,3.6,0.32,1.22,75.44,156910,1.2
New York,"Farmers, Ranchers, and Other Agricultural Managers",110,21.8,0.012,0.35,48.44,100750,6.2
New York,Construction Managers,11380,4.3,1.195,0.6,65.06,135320,2.9
New York,"Education and Childcare Administrators, Preschool and Daycare",3070,6.1,0.322,0.9,36.44,75790,3.1
New York,"Education Administrators, Kindergarten through Secondary",20670,2.9,2.171,1.18,*,130600,1.7
New York,"Education Administrators, Postsecondary",**,**,**,**,67.73,140870,1.9
New York,"Education Administrators, All Other",2120,8.8,0.223,0.73,53.8,111910,3.2
New York,Architectural and Engineering Managers,7060,3.2,0.742,0.56,79.01,164340,1.2
New York,Food Service Managers,10470,5.6,1.099,0.69,36.43,75760,1.8
