area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
North Carolina,All Occupations,4462800,0.3,1000,1,23.34,48550,0.4
North Carolina,Management Occupations,205900,0.9,46.137,0.84,58.91,122540,0.5
North Carolina,Chief Executives,3490,4.2,0.783,0.56,99.23,206390,1.8
North Carolina,General and Operations Managers,57480,1.6,12.88,0.79,61.73,128390,0.8
North Carolina,Advertising and Promotions Managers,230,14.5,0.053,0.31,60.01,124830,5.6
North Carolina,Marketing Managers,7130,3.6,1.598,0.89,69.59,144750,1
North Carolina,Sales Managers,7640,3.9,1.713,0.62,68.93,143380,1.7
North Carolina,Public Relations and Fundraising Managers,1450,4.4,0.326,0.6,59.72,124210,2.2
North Carolina,Administrative Services and Facilities Managers,5180,2.4,1.161,0.56,51.71,107560,0.9
North Carolina,Computer and Information Systems Managers,14010,2.3,3.138,1.06,68.23,141910,0.9
North Carolina,Financial Managers,16680,1.9,3.738,0.84,72.18,150140,1.6
North Carolina,Industrial Production Managers,5900,2.4,1.323,1.05,54.24,112820,1
North Carolina,Purchasing Managers,2360,3.2,0.53,1.08,57.43,119450,0.9
North Carolina,"Transportation, Storage, and Distribution Managers",2720,3.1,0.609,0.68,51.86,107860,1.3
North Carolina,Compensation and Benefits Managers,530,4.2,0.119,1.03,59.79,124360,3.3
North Carolina,Human Resources Managers,3840,2.4,0.861,0.82,60.74,126350,1
North Carolina,Training and Development Managers,1080,7.5,0.242,0.92,58.7,122100,1.6
North Carolina,"Farmers, Ranchers, and Other Agricultural Managers",50,20.8,0.01,0.3,42.42,88230,4.9
North Carolina,Construction Managers,13500,3.7,3.025,1.51,53.48,111250,1.4
North Carolina,"Education and Childcare Administrators, Preschool and Daycare",1690,8.5,0.378,1.06,21.79,45330,2.2
North Carolina,"Education Administrators, Kindergarten through Secondary",8390,3.4,1.881,1.02,*,74410,1.1
North Carolina,"Education Administrators, Postsecondary",4870,3.2,1.092,1.11,53.07,110380,2.2
North Carolina,"Education Administrators, All Other",1310,4.9,0.294,0.97,39.47,82100,2.8
North Carolina,Architectural and Engineering Managers,4620,3.9,1.035,0.78,68.51,142490,0.9
North Carolina,Food Service Managers,5730,6.4,1.284,0.8,29.55,61450,2
North Carolina,Gambling Managers,40,44.7,0.01,0.32,43.83,91170,3.6
North Carolina,Lodging Managers,410,16.6,0.091,0.35,42.39,88170,4.5
North Carolina,Medical and Health Services Managers,10000,1.9,2.241,0.83,56.74,118020,1.6
North Carolina,Natural Sciences Managers,3390,8.7,0.759,1.65,75.6,157250,2.4
North Carolina,Postmasters and Mail Superintendents,480,0,0.108,1.14,38.53,80150,0.5
North Carolina,"Property, Real Estate, and Community Association Managers",6410,6.4,1.436,0.96,33.27,69200,5.6
North Carolina,Social and Community Service Managers,2660,4.7,0.596,0.56,33.79,70280,1.5
North Carolina,Emergency Management Directors,210,6.9,0.048,0.7,34.59,71950,1.6
North Carolina,Funeral Home Managers,230,15.6,0.051,0.8,46.19,96080,9.5
North Carolina,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",12160,2.4,2.724,0.85,59.11,122940,1
North Carolina,Business and Financial Operations Occupations,232620,0.9,52.124,0.94,36.62,76170,0.7
North Carolina,"Agents and Business Managers of Artists, Performers, and Athletes",380,19.9,0.084,0.72,43.81,91120,21.3
North Carolina,Buyers and Purchasing Agents,12700,3.1,2.846,0.99,30.47,63380,1.5
North Carolina,"Claims Adjusters, Examiners, and Investigators",8720,4,1.955,1,30.54,63530,1.1
