area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
North Dakota,All Occupations,422520,1.3,1000,1,24.25,50430,0.6
North Dakota,Management Occupations,21160,2.3,50.073,0.91,48.58,101050,1.1
North Dakota,Chief Executives,280,11.7,0.655,0.47,78.75,163790,5.3
North Dakota,General and Operations Managers,8090,3.5,19.157,1.17,49.45,102850,1.9
North Dakota,Legislators,650,14.8,1.533,4.31,*,44670,5.4
North Dakota,Marketing Managers,190,11.5,0.453,0.25,59.99,124780,3.1
North Dakota,Sales Managers,490,8.4,1.163,0.42,60.85,126560,3.7
North Dakota,Public Relations and Fundraising Managers,110,12.5,0.255,0.47,49.67,103320,2.5
North Dakota,Administrative Services and Facilities Managers,430,10.4,1.011,0.48,43.2,89860,2.6
North Dakota,Computer and Information Systems Managers,480,9.2,1.14,0.39,58.1,120860,2.4
North Dakota,Financial Managers,1450,4,3.43,0.77,64.41,133980,2
North Dakota,Industrial Production Managers,470,10.8,1.107,0.88,49.88,103740,3.1
North Dakota,Purchasing Managers,90,16.5,0.203,0.41,64.1,133330,5.5
North Dakota,"Transportation, Storage, and Distribution Managers",490,13.5,1.149,1.28,46.88,97510,3.7
North Dakota,Human Resources Managers,240,8.7,0.559,0.53,55.77,116000,2.9
North Dakota,Training and Development Managers,70,31.4,0.174,0.67,42.54,88470,5.1
North Dakota,"Farmers, Ranchers, and Other Agricultural Managers",60,25.1,0.133,3.87,*,*,*
North Dakota,Construction Managers,1270,11.8,3.017,1.51,51,106090,5
North Dakota,"Education and Childcare Administrators, Preschool and Daycare",210,30,0.499,1.4,22.36,46510,4.3
North Dakota,"Education Administrators, Kindergarten through Secondary",780,5.2,1.853,1,*,101020,3
North Dakota,"Education Administrators, Postsecondary",350,4.8,0.839,0.85,60.57,125980,5.5
North Dakota,"Education Administrators, All Other",170,7.5,0.398,1.31,34.74,72250,2.4
North Dakota,Architectural and Engineering Managers,270,9.1,0.637,0.48,62.99,131030,2.9
North Dakota,Food Service Managers,750,10,1.778,1.11,26.46,55040,2.1
North Dakota,Lodging Managers,400,25.9,0.95,3.64,24.3,50540,3
North Dakota,Medical and Health Services Managers,800,12.4,1.885,0.7,59.84,124470,2.8
North Dakota,Natural Sciences Managers,130,10.5,0.304,0.66,57.32,119230,3.9
North Dakota,Postmasters and Mail Superintendents,90,0,0.215,2.28,33.26,69190,0.9
North Dakota,"Property, Real Estate, and Community Association Managers",790,10.9,1.861,1.24,24.45,50850,4
North Dakota,Social and Community Service Managers,450,8.8,1.068,1,34.75,72270,2.9
North Dakota,Emergency Management Directors,40,8.6,0.1,1.46,32.89,68400,5.2
North Dakota,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",980,4.5,2.33,0.72,56.34,117190,3.1
North Dakota,Business and Financial Operations Occupations,17790,2.2,42.107,0.76,32.51,67610,0.8
North Dakota,Buyers and Purchasing Agents,970,6.2,2.29,0.8,29.59,61540,2
North Dakota,"Claims Adjusters, Examiners, and Investigators",760,5,1.789,0.91,28.6,59490,3
North Dakota,Compliance Officers,900,5.1,2.14,0.99,33.86,70430,2.5
North Dakota,Cost Estimators,730,7.5,1.723,1.21,33.52,69730,2.1
North Dakota,Human Resources Specialists,1400,4.5,3.307,0.77,30.01,62420,1
North Dakota,Labor Relations Specialists,130,24.1,0.31,0.6,36.17,75230,12.3
North Dakota,Logisticians,250,13.1,0.592,0.48,32.01,66580,2.6
North Dakota,Management Analysts,610,16.7,1.444,0.3,37.55,78110,6.5
North Dakota,"Meeting, Convention, and Event Planners",180,14.9,0.429,0.54,21.09,43860,4.3
North Dakota,Fundraisers,290,9.6,0.686,1.23,29.68,61730,2.4
North Dakota,"Compensation, Benefits, and Job Analysis Specialists",100,14.2,0.245,0.4,30.86,64180,2.9
North Dakota,Training and Development Specialists,740,7.4,1.746,0.82,28.86,60030,1.9
North Dakota,Market Research Analysts and Marketing Specialists,1250,7.2,2.958,0.64,26.16,54410,2
North Dakota,"Project Management Specialists and Business Operations Specialists, All Other",2370,4.4,5.613,0.64,35.96,74790,1.6
North Dakota,Accountants and Auditors,3780,4,8.94,1.03,30.9,64260,1.6
North Dakota,Property Appraisers and Assessors,170,21.8,0.395,1.03,25.52,53080,2.9
North Dakota,Budget Analysts,80,6,0.182,0.52,33.25,69150,2.5
North Dakota,Credit Analysts,110,11.9,0.267,0.53,34.25,71240,5.2
North Dakota,Personal Financial Advisors,370,20.4,0.875,0.61,41.19,85670,7.7
North Dakota,Insurance Underwriters,140,31.3,0.32,0.47,37.98,78990,6.3
North Dakota,Financial Examiners,220,13.7,0.512,1.16,37.19,77360,5.3
North Dakota,Credit Counselors,50,16.7,0.117,0.54,21.51,44750,3.5
North Dakota,Loan Officers,1430,6.1,3.382,1.61,38.36,79790,3.8
North Dakota,"Tax Examiners and Collectors, and Revenue Agents",70,8,0.167,0.46,30.7,63850,5.1
North Dakota,Tax Preparers,210,18.6,0.491,1.08,27.16,56490,7.4
North Dakota,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",480,10,1.131,0.36,42.44,88270,6.2
North Dakota,Computer and Mathematical Occupations,7240,6.8,17.136,0.55,32.63,67870,1.6
North Dakota,Computer Systems Analysts,450,21.8,1.074,0.27,32.73,68080,8.4
North Dakota,Information Security Analysts,120,12.4,0.286,0.33,41.87,87090,3.6
North Dakota,Computer Network Support Specialists,690,6.6,1.641,1.3,32.18,66930,1.7
North Dakota,Computer User Support Specialists,1850,11,4.382,0.99,23.01,47870,3
North Dakota,Computer Network Architects,110,17.8,0.251,0.24,43.76,91030,3.3
North Dakota,Network and Computer Systems Administrators,590,9,1.404,0.58,35.94,74750,2.4
North Dakota,Database Administrators and Architects,120,8.3,0.28,0.33,37.55,78110,4.4
North Dakota,Computer Programmers,600,17.6,1.414,1.04,36.93,76820,4.2
North Dakota,Software Developers and Software Quality Assurance Analysts and Testers,1430,12.3,3.393,0.35,39.87,82930,3.6
North Dakota,Web Developers and Digital Interface Designers,200,26.8,0.481,0.48,27.03,56230,3.5
North Dakota,"Computer Occupations, All Other",850,5.6,2.02,0.75,33.21,69080,2.2
North Dakota,Operations Research Analysts,110,8.5,0.263,0.39,36.09,75060,5.1
North Dakota,Statisticians,80,19.7,0.184,0.69,35.41,73640,4
North Dakota,Architecture and Engineering Occupations,6640,6.7,15.72,0.89,38.01,79070,1.7
North Dakota,"Architects, Except Landscape and Naval",200,16.9,0.485,0.67,35.09,72990,3.3
North Dakota,Landscape Architects,60,28.1,0.136,0.98,29.83,62050,8.6
North Dakota,Surveyors,300,21.6,0.708,2.3,36.25,75390,2.1
North Dakota,Chemical Engineers,50,29,0.121,0.59,*,*,*
North Dakota,Civil Engineers,1330,9.2,3.147,1.49,41.58,86480,1.9
North Dakota,Electrical Engineers,510,15.5,1.195,0.95,46.94,97640,3.3
North Dakota,"Electronics Engineers, Except Computer",160,30.7,0.384,0.44,45.73,95130,13.5
North Dakota,Environmental Engineers,150,20.3,0.357,0.99,38.08,79200,5
North Dakota,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",30,26,0.079,0.45,35.72,74300,7.8
North Dakota,Industrial Engineers,310,15.2,0.74,0.37,40.28,83780,3.2
North Dakota,Materials Engineers,**,**,**,**,46.03,95740,3.6
North Dakota,Mechanical Engineers,550,13.2,1.294,0.62,37.64,78280,3.7
North Dakota,Petroleum Engineers,220,22.8,0.514,2.31,60.54,125930,7.6
North Dakota,"Engineers, All Other",320,11.6,0.749,0.72,36.39,75700,4.1
North Dakota,Architectural and Civil Drafters,390,23.3,0.933,1.39,27.15,56460,3.8
North Dakota,Electrical and Electronics Drafters,40,20.4,0.095,0.58,25.74,53530,4.6
North Dakota,Mechanical Drafters,80,21.6,0.18,0.48,29.45,61260,6.5
North Dakota,Civil Engineering Technologists and Technicians,490,12.2,1.159,2.47,27.97,58170,1.6
North Dakota,Electrical and Electronic Engineering Technologists and Technicians,180,16.6,0.431,0.52,31.32,65150,2.3
North Dakota,Environmental Engineering Technologists and Technicians,40,9.2,0.104,0.85,29.17,60660,5.6
North Dakota,Industrial Engineering Technologists and Technicians,100,7.3,0.248,0.54,26.86,55870,2.2
North Dakota,Mechanical Engineering Technologists and Technicians,60,31.5,0.132,0.45,32.48,67560,6.1
North Dakota,Surveying and Mapping Technicians,180,11.2,0.425,1.18,26.34,54780,2.8
North Dakota,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",690,41.2,1.627,2.7,38.08,79210,9.7
North Dakota,"Life, Physical, and Social Science Occupations",4360,6.1,10.311,1.17,33.23,69130,2.3
North Dakota,Soil and Plant Scientists,370,13.9,0.887,9.2,37.54,78080,3.9
North Dakota,Microbiologists,30,3.9,0.076,0.61,29.25,60840,3.6
North Dakota,Zoologists and Wildlife Biologists,110,4.9,0.258,1.96,33.73,70160,2
North Dakota,"Biological Scientists, All Other",130,1.2,0.313,1.15,35.58,74010,1
North Dakota,Conservation Scientists,290,12.1,0.682,4.54,31.64,65820,3.1
North Dakota,Foresters,40,10.4,0.088,1.36,28.82,59940,3.4
North Dakota,"Medical Scientists, Except Epidemiologists",90,25.2,0.208,0.24,36.31,75530,9.1
North Dakota,"Life Scientists, All Other",110,0,0.252,5.74,*,*,*
North Dakota,Atmospheric and Space Scientists,80,7.2,0.179,2.83,35.47,73770,6.4
North Dakota,Chemists,80,7.1,0.2,0.35,38.6,80280,4.2
North Dakota,"Environmental Scientists and Specialists, Including Health",230,13.7,0.534,0.93,31.75,66040,4.9
North Dakota,"Geoscientists, Except Hydrologists and Geographers",100,22.6,0.225,1.13,48.16,100180,9.3
North Dakota,"Physical Scientists, All Other",70,0.9,0.161,1.35,37.17,77320,7.5
North Dakota,"Clinical, Counseling, and School Psychologists",240,10.1,0.562,0.73,44.41,92370,5.1
North Dakota,Urban and Regional Planners,70,16,0.174,0.66,35.27,73370,2.7
North Dakota,Anthropologists and Archeologists,60,22.9,0.149,3.26,30.19,62800,4
North Dakota,"Social Scientists and Related Workers, All Other",**,**,**,**,33.91,70530,2.1
North Dakota,Agricultural and Food Science Technicians,110,15,0.25,1.68,23.03,47890,3.8
North Dakota,Biological Technicians,240,8.3,0.565,1.04,18.56,38600,2.5
North Dakota,Chemical Technicians,50,36.2,0.125,0.28,*,*,*
North Dakota,"Environmental Science and Protection Technicians, Including Health",140,28.5,0.324,1.46,26.31,54720,4.1
North Dakota,Geological and Hydrologic Technicians,**,**,**,**,25.38,52800,18.5
North Dakota,Social Science Research Assistants,50,16.7,0.113,0.47,23.2,48260,4.5
North Dakota,Forest and Conservation Technicians,100,34.2,0.24,1.85,22.12,46010,2.9
North Dakota,"Life, Physical, and Social Science Technicians, All Other",170,13.9,0.402,0.92,25.53,53090,4.1
North Dakota,Occupational Health and Safety Specialists,570,6.6,1.35,2.14,39.27,81690,1.3
North Dakota,Occupational Health and Safety Technicians,180,9.7,0.429,3.06,24.64,51260,3.8
North Dakota,Community and Social Service Occupations,6020,8.3,14.258,0.93,25.41,52860,1.3
North Dakota,"Educational, Guidance, and Career Counselors and Advisors",660,5.8,1.553,0.77,28.72,59740,3
North Dakota,Marriage and Family Therapists,110,26.9,0.252,0.63,22.43,46650,3.9
North Dakota,Rehabilitation Counselors,150,10.4,0.352,0.47,22.62,47060,3.9
North Dakota,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",640,12.3,1.517,0.79,26.86,55860,2.5
North Dakota,"Counselors, All Other",120,13.7,0.277,1.6,27.07,56300,5.3
North Dakota,"Child, Family, and School Social Workers",750,12.1,1.773,0.79,27.69,57590,2.7
North Dakota,Healthcare Social Workers,410,9.7,0.971,0.82,25.51,53070,1.7
North Dakota,Mental Health and Substance Abuse Social Workers,240,13.3,0.572,0.71,24.2,50340,2.6
North Dakota,"Social Workers, All Other",170,11.8,0.414,1.04,28.83,59960,4.6
North Dakota,Health Education Specialists,120,18.5,0.281,0.7,28.66,59600,3
