area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Ohio,All Occupations,5447780,0.5,1000,1,23.76,49430,0.5
Ohio,Management Occupations,245030,0.9,44.978,0.82,54.18,112690,0.5
Ohio,Chief Executives,4650,3.4,0.854,0.61,94.44,196440,2.9
Ohio,General and Operations Managers,62150,1.3,11.408,0.7,56.86,118280,0.8
Ohio,Legislators,2300,5.4,0.422,1.19,*,48280,4.5
Ohio,Advertising and Promotions Managers,320,12.2,0.059,0.34,62.47,129940,7.3
Ohio,Marketing Managers,6830,3.8,1.254,0.7,65.32,135870,1.3
Ohio,Sales Managers,10930,2.8,2.006,0.73,65.19,135590,1
Ohio,Public Relations and Fundraising Managers,2000,4.4,0.368,0.68,54.86,114110,1.6
Ohio,Administrative Services and Facilities Managers,11560,2.1,2.122,1.01,45.82,95300,1.1
Ohio,Computer and Information Systems Managers,12900,2.8,2.367,0.8,65.42,136080,0.9
Ohio,Financial Managers,22110,2.4,4.059,0.91,66.29,137890,1.2
Ohio,Industrial Production Managers,11930,2,2.19,1.73,53.63,111550,0.9
Ohio,Purchasing Managers,2230,3.5,0.41,0.84,58.07,120790,1.3
Ohio,"Transportation, Storage, and Distribution Managers",5350,4.4,0.982,1.09,47.39,98560,1.4
Ohio,Compensation and Benefits Managers,470,9.2,0.086,0.75,62.99,131020,2.9
Ohio,Human Resources Managers,4330,2.4,0.794,0.75,60.74,126330,1
Ohio,Training and Development Managers,890,5,0.164,0.62,54.85,114090,1.7
Ohio,"Farmers, Ranchers, and Other Agricultural Managers",100,17.9,0.018,0.53,34.54,71850,6.6
Ohio,Construction Managers,8110,4.2,1.489,0.75,50.17,104350,1.7
Ohio,"Education and Childcare Administrators, Preschool and Daycare",1920,10.3,0.353,0.99,23.13,48110,3
Ohio,"Education Administrators, Kindergarten through Secondary",9500,3.2,1.744,0.95,*,88630,0.9
Ohio,"Education Administrators, Postsecondary",4610,10.3,0.847,0.86,51.49,107090,2.6
Ohio,"Education Administrators, All Other",950,5,0.174,0.57,43.17,89800,2.6
Ohio,Architectural and Engineering Managers,6100,3.7,1.119,0.85,65.93,137140,0.8
Ohio,Food Service Managers,8150,6.2,1.496,0.93,26.42,54940,2.7
Ohio,Gambling Managers,30,13.8,0.006,0.2,43.86,91220,4.8
Ohio,Lodging Managers,1380,22.7,0.254,0.97,23.98,49880,13.1
Ohio,Medical and Health Services Managers,14490,3,2.66,0.99,49.45,102860,1.3
Ohio,Natural Sciences Managers,960,8.3,0.176,0.38,64.63,134440,2.3
Ohio,Postmasters and Mail Superintendents,490,0,0.091,0.96,38.27,79600,0.5
Ohio,"Property, Real Estate, and Community Association Managers",7370,6.3,1.352,0.9,30.27,62970,4.5
Ohio,Social and Community Service Managers,5060,4.4,0.928,0.87,34.36,71470,1.1
Ohio,Emergency Management Directors,350,15.4,0.064,0.94,38.25,79570,2.8
Ohio,Funeral Home Managers,450,19.1,0.083,1.3,56.08,116640,10.3
Ohio,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",14050,2.5,2.579,0.8,52.24,108650,0.9
Ohio,Business and Financial Operations Occupations,298800,1.4,54.848,0.98,34.92,72640,0.5
Ohio,"Agents and Business Managers of Artists, Performers, and Athletes",80,38.9,0.015,0.13,47.03,97830,18.9
Ohio,Buyers and Purchasing Agents,18020,2.7,3.307,1.15,32.6,67810,1.6
Ohio,"Claims Adjusters, Examiners, and Investigators",12560,11.7,2.306,1.18,31.66,65850,1.6
Ohio,"Insurance Appraisers, Auto Damage",570,32.2,0.104,1.12,28.58,59450,3.4
