area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Oklahoma,All Occupations,1617390,0.5,1000,1,21.93,45620,0.5
Oklahoma,Management Occupations,83760,1.2,51.784,0.94,48.85,101600,0.7
Oklahoma,Chief Executives,3070,4.5,1.899,1.35,75.77,157590,3
Oklahoma,General and Operations Managers,23950,2,14.807,0.91,50.8,105670,1.1
Oklahoma,Legislators,870,13.4,0.537,1.51,*,56530,12.7
Oklahoma,Advertising and Promotions Managers,120,15.3,0.076,0.45,45.16,93920,3.7
Oklahoma,Marketing Managers,1260,4.5,0.779,0.43,59.53,123820,2.2
Oklahoma,Sales Managers,2670,5.8,1.652,0.6,54.28,112890,2.7
Oklahoma,Public Relations and Fundraising Managers,420,5.1,0.258,0.48,51.68,107490,3.6
Oklahoma,Administrative Services and Facilities Managers,6860,4.2,4.243,2.03,45.83,95320,1.5
Oklahoma,Computer and Information Systems Managers,3630,3.2,2.246,0.76,56.49,117490,1.7
Oklahoma,Financial Managers,6130,3.1,3.788,0.85,56.74,118020,1.7
Oklahoma,Industrial Production Managers,1820,4.5,1.126,0.89,53.28,110830,1.5
Oklahoma,Purchasing Managers,530,4.4,0.326,0.67,51.46,107040,2.1
Oklahoma,"Transportation, Storage, and Distribution Managers",1440,17,0.89,0.99,41.71,86750,1.7
Oklahoma,Compensation and Benefits Managers,140,11.1,0.089,0.77,51.95,108050,3.8
Oklahoma,Human Resources Managers,1360,3,0.839,0.8,49.37,102690,1.6
Oklahoma,Training and Development Managers,390,7.5,0.241,0.92,44.27,92080,2.5
Oklahoma,"Farmers, Ranchers, and Other Agricultural Managers",130,10.8,0.08,2.33,28.42,59120,3.3
Oklahoma,Construction Managers,2710,8.7,1.676,0.84,43.11,89670,4.5
Oklahoma,"Education and Childcare Administrators, Preschool and Daycare",730,9.9,0.449,1.26,20.73,43130,3
Oklahoma,"Education Administrators, Kindergarten through Secondary",3290,2.3,2.035,1.1,*,74850,1.3
Oklahoma,"Education Administrators, Postsecondary",1650,6.2,1.02,1.03,50.58,105200,4.6
Oklahoma,"Education Administrators, All Other",310,12.3,0.19,0.63,36.98,76910,4.9
Oklahoma,Architectural and Engineering Managers,2390,4.7,1.475,1.12,70.01,145630,2.4
Oklahoma,Food Service Managers,3430,7.3,2.121,1.32,25.71,53480,2.3
Oklahoma,Gambling Managers,350,12.2,0.218,7.21,32.24,67070,3.1
Oklahoma,Lodging Managers,450,15,0.28,1.07,26.06,54210,5.6
Oklahoma,Medical and Health Services Managers,6540,2.8,4.041,1.5,45.41,94460,2.7
Oklahoma,Natural Sciences Managers,310,9.7,0.189,0.41,62.78,130590,3.7
Oklahoma,Postmasters and Mail Superintendents,240,0,0.15,1.59,38.44,79960,0.6
Oklahoma,"Property, Real Estate, and Community Association Managers",**,**,**,**,42.32,88030,5.4
Oklahoma,Social and Community Service Managers,1120,5.4,0.69,0.65,30.51,63460,2.1
Oklahoma,Emergency Management Directors,230,15.7,0.144,2.1,26.29,54680,2.7
Oklahoma,Funeral Home Managers,160,22.6,0.098,1.54,33.11,68860,7.7
Oklahoma,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2210,5.2,1.368,0.43,49.22,102370,2.6
Oklahoma,Business and Financial Operations Occupations,76500,1.5,47.301,0.85,31.96,66470,0.9
Oklahoma,Buyers and Purchasing Agents,5170,4,3.195,1.11,30.08,62570,1.3
Oklahoma,"Claims Adjusters, Examiners, and Investigators",3710,4.9,2.294,1.17,30.47,63380,2.1
Oklahoma,"Insurance Appraisers, Auto Damage",100,42.9,0.061,0.65,31.36,65230,3.1
Oklahoma,Compliance Officers,4130,4.3,2.552,1.18,28.22,58690,1.9
Oklahoma,Cost Estimators,2270,8.5,1.403,0.98,31.18,64850,4.4
Oklahoma,Human Resources Specialists,7130,2,4.41,1.02,27.2,56570,1.6
Oklahoma,Labor Relations Specialists,320,12.9,0.197,0.38,20.77,43210,13.4
Oklahoma,Logisticians,3290,4.9,2.032,1.64,35.52,73880,2.1
Oklahoma,Management Analysts,4610,4.9,2.852,0.59,38.52,80130,1.9
Oklahoma,"Meeting, Convention, and Event Planners",980,13.3,0.607,0.76,21.31,44330,5.1
Oklahoma,Fundraisers,570,8,0.354,0.64,27.67,57560,2.5
Oklahoma,"Compensation, Benefits, and Job Analysis Specialists",910,4.8,0.563,0.93,26.26,54610,2.6
Oklahoma,Training and Development Specialists,4850,10.4,2.998,1.41,26.17,54430,2
Oklahoma,Market Research Analysts and Marketing Specialists,5250,3.7,3.244,0.7,28.27,58800,1.8
Oklahoma,"Project Management Specialists and Business Operations Specialists, All Other",6270,3.6,3.879,0.45,36.61,76150,1.8
Oklahoma,Accountants and Auditors,14020,3,8.666,0.99,35.64,74130,2.9
Oklahoma,Property Appraisers and Assessors,700,11.3,0.433,1.13,25.08,52160,6.9
Oklahoma,Budget Analysts,760,2.9,0.472,1.35,35.36,73550,1.8
Oklahoma,Credit Analysts,680,14.7,0.42,0.83,28.69,59680,4.3
Oklahoma,Personal Financial Advisors,1270,12.5,0.783,0.55,41.89,87130,12.3
Oklahoma,Insurance Underwriters,740,13.1,0.458,0.67,30.09,62580,4.1
Oklahoma,Financial Examiners,450,10.3,0.28,0.64,36.07,75020,4.4
Oklahoma,Credit Counselors,530,14.1,0.327,1.5,22.61,47030,3.6
Oklahoma,Loan Officers,3940,5,2.437,1.16,35.96,74810,2.8
Oklahoma,"Tax Examiners and Collectors, and Revenue Agents",400,9.2,0.246,0.67,23.93,49770,2.2
Oklahoma,Tax Preparers,980,18.9,0.603,1.33,20.38,42380,6.1
Oklahoma,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",2460,4.3,1.519,0.49,35.12,73050,1.9
Oklahoma,Computer and Mathematical Occupations,31950,2.8,19.754,0.64,34.83,72450,0.9
Oklahoma,Computer Systems Analysts,3190,8.3,1.973,0.49,37.34,77660,2.4
Oklahoma,Information Security Analysts,950,5.8,0.586,0.69,39.37,81900,1.6
Oklahoma,Computer and Information Research Scientists,270,0.2,0.168,0.8,39.78,82740,2.1
Oklahoma,Computer Network Support Specialists,2240,12.1,1.388,1.1,30.32,63060,2.3
Oklahoma,Computer User Support Specialists,6550,3.5,4.049,0.92,22.7,47220,1.1
Oklahoma,Computer Network Architects,950,10,0.59,0.57,42.2,87770,3.1
Oklahoma,Network and Computer Systems Administrators,2720,4.2,1.68,0.7,36.57,76060,1.8
Oklahoma,Database Administrators and Architects,1930,9.4,1.193,1.4,35.31,73450,2.1
Oklahoma,Computer Programmers,1360,9.5,0.843,0.62,39.49,82150,2.3
Oklahoma,Software Developers and Software Quality Assurance Analysts and Testers,7370,5.8,4.558,0.48,42.18,87740,1.7
Oklahoma,Web Developers and Digital Interface Designers,630,10,0.389,0.39,30.21,62840,3.5
Oklahoma,"Computer Occupations, All Other",2500,3.8,1.547,0.58,36.08,75050,3.1
Oklahoma,Operations Research Analysts,660,12.1,0.41,0.6,36.74,76420,2
Oklahoma,Statisticians,260,8.8,0.162,0.61,34.85,72480,3.4
Oklahoma,"Data Scientists and Mathematical Science Occupations, All Other",300,17.5,0.185,0.88,35.19,73190,2.2
Oklahoma,Architecture and Engineering Occupations,30580,4.6,18.91,1.07,40.48,84200,1.2
Oklahoma,"Architects, Except Landscape and Naval",850,18.2,0.523,0.73,35.41,73660,4.6
Oklahoma,Landscape Architects,**,**,**,**,24.45,50860,5.2
Oklahoma,Cartographers and Photogrammetrists,110,19.1,0.065,0.85,28.26,58770,4.9
Oklahoma,Surveyors,750,23.1,0.464,1.51,28.85,60010,4.5
Oklahoma,Aerospace Engineers,1660,17.3,1.026,2.38,47.33,98450,1.6
Oklahoma,Bioengineers and Biomedical Engineers,40,22.7,0.027,0.2,33.92,70560,3.7
Oklahoma,Chemical Engineers,310,7.7,0.194,0.95,55.37,115180,4.9
Oklahoma,Civil Engineers,2250,5.6,1.39,0.66,48.05,99950,3
Oklahoma,Computer Hardware Engineers,300,12.5,0.183,0.4,55.34,115100,9
