area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Oregon,All Occupations,1905860,0.5,1000,1,25.91,53890,0.7
Oregon,Management Occupations,116150,1.2,60.942,1.11,51.1,106290,0.8
Oregon,Chief Executives,1210,6.8,0.634,0.45,101.93,212010,3
Oregon,General and Operations Managers,34050,2,17.865,1.09,52.55,109300,1.2
Oregon,Legislators,180,4.5,0.096,0.27,*,40080,8.5
Oregon,Advertising and Promotions Managers,260,13.2,0.137,0.8,49.96,103930,8.9
Oregon,Marketing Managers,4670,4.9,2.448,1.36,58.48,121630,2.1
Oregon,Sales Managers,5810,4.8,3.049,1.11,61.07,127030,1.7
Oregon,Public Relations and Fundraising Managers,1480,7.9,0.778,1.44,45.74,95140,2.6
Oregon,Administrative Services and Facilities Managers,4510,2.4,2.369,1.13,45.29,94210,0.8
Oregon,Computer and Information Systems Managers,5630,5.1,2.953,1,63.18,131410,1.2
Oregon,Financial Managers,8050,3.3,4.225,0.95,58.84,122380,1.3
Oregon,Industrial Production Managers,2930,5,1.535,1.21,47.66,99120,1.3
Oregon,Purchasing Managers,1340,3.5,0.703,1.43,51.99,108150,2
Oregon,"Transportation, Storage, and Distribution Managers",2090,5.1,1.098,1.22,44.52,92600,2
Oregon,Compensation and Benefits Managers,150,8,0.079,0.69,52.38,108940,2.5
Oregon,Human Resources Managers,2390,2.8,1.257,1.19,50.51,105070,1.1
Oregon,Training and Development Managers,380,7.2,0.198,0.76,48.98,101880,2.5
Oregon,"Farmers, Ranchers, and Other Agricultural Managers",100,22.8,0.054,1.56,33.77,70250,4.8
Oregon,Construction Managers,5020,4.4,2.632,1.32,48.19,100240,2.4
Oregon,"Education and Childcare Administrators, Preschool and Daycare",**,**,**,**,22.39,46580,3.5
Oregon,"Education Administrators, Kindergarten through Secondary",3540,4.1,1.856,1.01,*,106360,1.6
Oregon,"Education Administrators, Postsecondary",1590,5,0.833,0.84,51.92,107990,3.6
Oregon,"Education Administrators, All Other",440,8.6,0.231,0.76,28.73,59770,2.9
Oregon,Architectural and Engineering Managers,3720,8.3,1.953,1.48,65.28,135790,1.1
Oregon,Food Service Managers,3260,6.8,1.711,1.07,25.82,53710,2.1
Oregon,Gambling Managers,40,25.4,0.022,0.74,35.45,73740,4
Oregon,Lodging Managers,1120,14.8,0.586,2.25,25.4,52820,6
Oregon,Medical and Health Services Managers,4670,4,2.449,0.91,58.51,121690,1.9
Oregon,Natural Sciences Managers,1100,5,0.575,1.25,54.46,113270,1.4
Oregon,Postmasters and Mail Superintendents,220,0,0.115,1.22,35.43,73690,0.7
Oregon,"Property, Real Estate, and Community Association Managers",3230,11.5,1.693,1.13,27.73,57680,4.1
Oregon,Social and Community Service Managers,3710,4.5,1.946,1.83,31.44,65390,2.2
Oregon,Emergency Management Directors,110,9.3,0.056,0.82,39.17,81470,2.3
Oregon,Funeral Home Managers,50,17.9,0.027,0.43,39.74,82650,10.9
Oregon,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",7840,3.5,4.115,1.28,46.9,97560,1.9
Oregon,Business and Financial Operations Occupations,99080,1.3,51.987,0.93,35.37,73570,1
Oregon,"Agents and Business Managers of Artists, Performers, and Athletes",110,22.6,0.06,0.52,36.95,76860,17
Oregon,Buyers and Purchasing Agents,5790,3.3,3.039,1.06,30.26,62950,1.7
Oregon,"Claims Adjusters, Examiners, and Investigators",3410,7,1.788,0.91,33.44,69550,1.4
Oregon,"Insurance Appraisers, Auto Damage",250,44.1,0.129,1.38,33.72,70150,2.7
Oregon,Compliance Officers,3480,4.7,1.827,0.84,33.81,70320,2.7
Oregon,Cost Estimators,3160,4.8,1.657,1.16,34.27,71270,1.5
Oregon,Human Resources Specialists,7490,3.3,3.93,0.91,29.99,62380,1.3
Oregon,Labor Relations Specialists,990,5.4,0.521,1.01,40.4,84030,5.4
Oregon,Logisticians,2510,7.9,1.317,1.06,36.44,75800,3.1
Oregon,Management Analysts,7650,4.3,4.014,0.83,43.55,90580,2.7
Oregon,"Meeting, Convention, and Event Planners",1450,6.7,0.763,0.95,25.31,52650,2.1
Oregon,Fundraisers,1080,11.9,0.567,1.02,26.01,54090,4.1
Oregon,"Compensation, Benefits, and Job Analysis Specialists",920,5.2,0.482,0.79,33.82,70340,2.8
Oregon,Training and Development Specialists,4260,5,2.235,1.05,31.34,65190,1.8
Oregon,Market Research Analysts and Marketing Specialists,7650,4.5,4.016,0.87,35.93,74730,4.1
Oregon,"Project Management Specialists and Business Operations Specialists, All Other",20030,2.4,10.511,1.21,35.27,73350,1.3
Oregon,Accountants and Auditors,12420,2.9,6.516,0.75,35.18,73180,1.1
Oregon,Property Appraisers and Assessors,810,17.3,0.423,1.1,35.43,73690,4.1
Oregon,Budget Analysts,740,3.3,0.388,1.11,36.41,75740,1.4
Oregon,Credit Analysts,740,16.2,0.39,0.78,36.18,75240,3.3
Oregon,Personal Financial Advisors,2090,8.3,1.095,0.77,57.13,118840,7.6
Oregon,Insurance Underwriters,750,24,0.395,0.58,36.35,75610,2.1
Oregon,Financial Examiners,850,7.4,0.447,1.02,35.97,74810,5.4
Oregon,Credit Counselors,410,9.1,0.216,0.99,23.94,49800,2.8
Oregon,Loan Officers,4300,4.9,2.258,1.08,36.79,76510,3
Oregon,"Tax Examiners and Collectors, and Revenue Agents",310,0.1,0.163,0.45,28.38,59030,2.1
Oregon,Tax Preparers,1020,14.3,0.533,1.17,24.4,50750,5
Oregon,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",4400,7.5,2.31,0.74,40.55,84340,2.2
Oregon,Computer and Mathematical Occupations,54320,2.5,28.504,0.92,42.54,88490,1.3
Oregon,Computer Systems Analysts,6300,4.9,3.304,0.82,45.52,94690,1.7
Oregon,Information Security Analysts,1020,13.3,0.534,0.62,47.38,98550,1.7
Oregon,Computer and Information Research Scientists,220,26.4,0.113,0.54,64.67,134510,8
Oregon,Computer Network Support Specialists,1680,10.8,0.879,0.7,28.71,59710,2.3
Oregon,Computer User Support Specialists,8410,5.3,4.411,1,27.34,56870,1.6
Oregon,Computer Network Architects,1080,6.2,0.568,0.55,53.9,112110,1.7
Oregon,Network and Computer Systems Administrators,4630,6.6,2.427,1.01,41.04,85370,1.1
Oregon,Database Administrators and Architects,1380,16.1,0.723,0.85,45.1,93810,1.6
Oregon,Computer Programmers,1920,7.6,1.007,0.74,38.83,80760,2.8
Oregon,Software Developers and Software Quality Assurance Analysts and Testers,18200,4.1,9.548,1,50.13,104260,1.2
Oregon,Web Developers and Digital Interface Designers,2410,10.3,1.266,1.25,*,*,*
Oregon,"Computer Occupations, All Other",4760,5.7,2.495,0.93,38.73,80570,1.9
Oregon,Actuaries,210,8.4,0.109,0.72,52.74,109690,6.2
Oregon,Operations Research Analysts,1200,4.3,0.629,0.93,43.43,90340,2.3
Oregon,Statisticians,620,7.6,0.324,1.22,39.09,81310,2.3
Oregon,"Data Scientists and Mathematical Science Occupations, All Other",320,25.9,0.165,0.79,38.82,80750,6.8
Oregon,Architecture and Engineering Occupations,43180,3.6,22.657,1.28,40.02,83250,0.8
Oregon,"Architects, Except Landscape and Naval",2080,10.8,1.092,1.51,40.67,84590,2.4
Oregon,Landscape Architects,270,24.1,0.141,1.02,31.58,65680,2.5
Oregon,Cartographers and Photogrammetrists,360,10.1,0.188,2.44,33.41,69500,2.1
Oregon,Surveyors,780,10.1,0.407,1.32,33.18,69010,1.8
Oregon,Aerospace Engineers,170,14.7,0.09,0.21,56.05,116580,9.7
Oregon,Bioengineers and Biomedical Engineers,290,23.8,0.154,1.14,45.39,94410,2
Oregon,Chemical Engineers,340,17.5,0.178,0.87,48.9,101710,2.9
