area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
South Carolina,All Occupations,2107760,0.4,1000,1,21.34,44380,0.5
South Carolina,Management Occupations,93530,1.1,44.372,0.81,50.5,105040,0.6
South Carolina,Chief Executives,3210,3.3,1.521,1.08,86.31,179530,1.8
South Carolina,General and Operations Managers,33130,1.8,15.718,0.96,49.15,102240,0.9
South Carolina,Legislators,740,6.1,0.351,0.99,*,21440,3.9
South Carolina,Advertising and Promotions Managers,150,12.8,0.073,0.42,49.99,103980,6.1
South Carolina,Marketing Managers,1980,5.5,0.941,0.52,54.64,113660,1.3
South Carolina,Sales Managers,3550,4.8,1.685,0.61,57.28,119130,2.6
South Carolina,Public Relations and Fundraising Managers,600,6.6,0.286,0.53,41.94,87240,3.6
South Carolina,Administrative Services and Facilities Managers,4620,2.9,2.192,1.05,49.11,102140,2.2
South Carolina,Computer and Information Systems Managers,3460,3.3,1.64,0.56,60.15,125110,1.2
South Carolina,Financial Managers,5860,2.8,2.781,0.62,60.12,125060,1.3
South Carolina,Industrial Production Managers,2940,3.5,1.394,1.1,55.55,115550,1.2
South Carolina,Purchasing Managers,830,3.7,0.395,0.81,50.44,104920,1.6
South Carolina,"Transportation, Storage, and Distribution Managers",1250,5.1,0.591,0.66,45.8,95260,1.7
South Carolina,Compensation and Benefits Managers,160,6.3,0.074,0.64,53.1,110440,2.9
South Carolina,Human Resources Managers,1890,2.5,0.899,0.85,53.44,111160,1.4
South Carolina,Training and Development Managers,750,3.2,0.355,1.35,50.97,106030,2.4
South Carolina,Construction Managers,3430,4.7,1.629,0.82,48.57,101030,2.1
South Carolina,"Education and Childcare Administrators, Preschool and Daycare",510,11.9,0.242,0.68,21.53,44780,3.9
South Carolina,"Education Administrators, Kindergarten through Secondary",4150,3,1.967,1.07,*,89620,1.3
South Carolina,"Education Administrators, Postsecondary",2440,8.5,1.16,1.18,51.41,106940,5
South Carolina,"Education Administrators, All Other",210,5,0.097,0.32,38.59,80280,2.3
South Carolina,Architectural and Engineering Managers,2890,3.1,1.371,1.04,63.71,132510,1.3
South Carolina,Food Service Managers,3250,7.3,1.54,0.96,29.49,61340,4.6
South Carolina,Lodging Managers,690,29.7,0.326,1.25,28.6,59480,3.2
South Carolina,Medical and Health Services Managers,5770,2.5,2.736,1.02,49.03,101990,1.5
South Carolina,Natural Sciences Managers,560,10.8,0.265,0.57,48.53,100940,4
South Carolina,Postmasters and Mail Superintendents,210,0,0.1,1.06,39.13,81380,0.7
South Carolina,"Property, Real Estate, and Community Association Managers",1800,10.6,0.856,0.57,32.21,67000,5.9
South Carolina,Social and Community Service Managers,950,8.7,0.451,0.42,32.59,67790,4
South Carolina,Emergency Management Directors,240,10.7,0.115,1.68,32.2,66970,2.2
South Carolina,Funeral Home Managers,190,20,0.092,1.44,33.95,70610,8.3
South Carolina,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1100,7,0.522,0.16,51.86,107860,1.8
South Carolina,Business and Financial Operations Occupations,82210,1.2,39.005,0.7,32.09,66740,0.9
South Carolina,"Agents and Business Managers of Artists, Performers, and Athletes",130,28.8,0.059,0.51,36.15,75180,6.1
South Carolina,Buyers and Purchasing Agents,4300,2.5,2.038,0.71,31.62,65760,1.4
South Carolina,"Claims Adjusters, Examiners, and Investigators",2260,10.7,1.072,0.55,31.13,64740,2
South Carolina,Compliance Officers,3830,3.3,1.818,0.84,30.11,62630,2.1
South Carolina,Cost Estimators,2350,6.6,1.114,0.78,30.04,62490,2.1
South Carolina,Human Resources Specialists,7770,2.3,3.688,0.86,29.5,61350,1.5
South Carolina,Labor Relations Specialists,330,11,0.158,0.31,41.18,85660,4.9
South Carolina,Logisticians,2910,4,1.381,1.11,34.33,71400,2.1
South Carolina,Management Analysts,10170,3.5,4.824,1,37.87,78770,1.9
South Carolina,"Meeting, Convention, and Event Planners",1310,13.8,0.623,0.78,21.24,44180,2.5
South Carolina,Fundraisers,510,9.4,0.243,0.44,27.5,57190,3
South Carolina,"Compensation, Benefits, and Job Analysis Specialists",1000,4.6,0.472,0.78,24.92,51830,3.1
South Carolina,Training and Development Specialists,4740,3.7,2.248,1.06,28.43,59140,1.5
South Carolina,Market Research Analysts and Marketing Specialists,6770,3.2,3.21,0.69,28.55,59390,1.3
South Carolina,"Project Management Specialists and Business Operations Specialists, All Other",3700,2.1,1.753,0.2,35.03,72870,3.3
South Carolina,Accountants and Auditors,15980,2,7.58,0.87,32.57,67740,1.4
South Carolina,Property Appraisers and Assessors,690,17.8,0.325,0.85,25.74,53540,6.5
South Carolina,Budget Analysts,390,11.2,0.183,0.52,34.4,71540,1.8
South Carolina,Credit Analysts,990,5.5,0.468,0.93,32.89,68420,3.2
South Carolina,Personal Financial Advisors,1930,10.8,0.915,0.64,41.91,87170,6.3
South Carolina,Insurance Underwriters,850,13.8,0.403,0.59,26.91,55970,3.4
South Carolina,Financial Examiners,490,23,0.231,0.53,32.29,67160,2.9
South Carolina,Credit Counselors,370,7.3,0.177,0.81,21.47,44650,3
South Carolina,Loan Officers,4190,7.6,1.987,0.95,34.04,70810,2.2
South Carolina,"Tax Examiners and Collectors, and Revenue Agents",280,3.3,0.131,0.36,26.56,55250,1.7
South Carolina,Tax Preparers,1100,15.7,0.524,1.15,20.18,41970,8.6
South Carolina,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",2870,4.5,1.36,0.44,36.57,76070,2.1
South Carolina,Computer and Mathematical Occupations,43570,2.2,20.672,0.67,36.56,76040,1.2
South Carolina,Computer Systems Analysts,7650,4.3,3.629,0.9,39.72,82620,2.1
South Carolina,Information Security Analysts,1630,9.4,0.772,0.9,39.51,82180,2.4
South Carolina,Computer and Information Research Scientists,400,2.4,0.188,0.9,47.09,97940,2.3
South Carolina,Computer Network Support Specialists,2250,4.5,1.068,0.85,28.12,58500,2.1
South Carolina,Computer User Support Specialists,8240,4.9,3.91,0.89,24.04,50000,1.4
South Carolina,Computer Network Architects,1010,6.3,0.479,0.46,43.24,89930,2.2
