area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
South Dakota,All Occupations,425140,0.5,1000,1,20.63,42920,0.7
South Dakota,Management Occupations,12310,1.6,28.953,0.53,51.76,107660,1.2
South Dakota,Chief Executives,500,4.7,1.178,0.84,123.13,256110,2
South Dakota,General and Operations Managers,3620,2.6,8.513,0.52,61.96,128890,1.1
South Dakota,Marketing Managers,70,9.8,0.173,0.1,78.31,162890,6.5
South Dakota,Sales Managers,330,6.9,0.769,0.28,63.28,131620,3.3
South Dakota,Administrative Services and Facilities Managers,370,5.1,0.869,0.42,40.56,84360,1.1
South Dakota,Computer and Information Systems Managers,200,3.5,0.469,0.16,66.94,139230,1.3
South Dakota,Financial Managers,680,3.8,1.593,0.36,67.13,139620,2.9
South Dakota,Industrial Production Managers,460,3.4,1.087,0.86,50.12,104240,2.4
South Dakota,Purchasing Managers,50,7.7,0.107,0.22,62.96,130950,5
South Dakota,"Transportation, Storage, and Distribution Managers",250,11.9,0.585,0.65,46.05,95780,4
South Dakota,Human Resources Managers,270,3.9,0.641,0.61,45.76,95190,1.2
South Dakota,Training and Development Managers,40,4.4,0.084,0.32,45.53,94700,1.9
South Dakota,Construction Managers,330,7.3,0.77,0.39,46.92,97590,1.5
South Dakota,"Education and Childcare Administrators, Preschool and Daycare",100,19.2,0.236,0.66,27.19,56550,3.3
South Dakota,"Education Administrators, Kindergarten through Secondary",620,1.5,1.453,0.79,*,81610,3.1
South Dakota,"Education Administrators, Postsecondary",200,4.9,0.461,0.47,56.94,118430,6.2
South Dakota,"Education Administrators, All Other",70,0,0.172,0.57,35.31,73450,2
South Dakota,Architectural and Engineering Managers,130,2.4,0.299,0.23,65.3,135830,1.9
South Dakota,Food Service Managers,980,5.9,2.306,1.44,25.63,53300,1.2
South Dakota,Lodging Managers,260,10.8,0.611,2.34,26.78,55710,4.9
South Dakota,Medical and Health Services Managers,780,5,1.823,0.68,50.61,105260,2.4
South Dakota,Natural Sciences Managers,90,3.1,0.209,0.45,52.16,108490,1.6
South Dakota,Postmasters and Mail Superintendents,100,0,0.235,2.5,35.16,73130,0.8
South Dakota,"Property, Real Estate, and Community Association Managers",940,11.4,2.211,1.47,20.05,41700,3.5
South Dakota,Social and Community Service Managers,280,8.3,0.647,0.61,34.95,72700,1.9
South Dakota,Emergency Management Directors,100,4.1,0.233,3.41,25.93,53940,1.4
South Dakota,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",390,3.9,0.927,0.29,48.81,101510,1.7
South Dakota,Business and Financial Operations Occupations,20860,1.4,49.072,0.88,31.19,64870,0.7
South Dakota,Buyers and Purchasing Agents,1240,4.7,2.906,1.01,29.76,61910,1
South Dakota,"Claims Adjusters, Examiners, and Investigators",730,5.6,1.716,0.88,31.26,65020,2.4
South Dakota,"Insurance Appraisers, Auto Damage",30,31.3,0.074,0.79,26.51,55140,11.1
South Dakota,Compliance Officers,940,5,2.199,1.02,28.15,58550,1.7
South Dakota,Cost Estimators,870,8.2,2.053,1.44,27.72,57660,1.5
South Dakota,Human Resources Specialists,1080,3.6,2.542,0.59,26.97,56110,1.4
South Dakota,Logisticians,140,1,0.338,0.27,34.35,71440,1.4
South Dakota,Management Analysts,2730,3.7,6.417,1.33,37.47,77930,1.8
South Dakota,"Meeting, Convention, and Event Planners",260,7.5,0.602,0.75,18.72,38930,1.7
South Dakota,Fundraisers,60,25.3,0.141,0.25,26.09,54270,8.1
South Dakota,"Compensation, Benefits, and Job Analysis Specialists",700,3.2,1.658,2.73,25.53,53100,1
South Dakota,Training and Development Specialists,560,3.8,1.314,0.62,24.86,51720,1.3
South Dakota,Market Research Analysts and Marketing Specialists,1100,4.8,2.585,0.56,26.75,55650,1.6
South Dakota,"Project Management Specialists and Business Operations Specialists, All Other",1010,2.9,2.387,0.27,33.37,69400,1.4
South Dakota,Accountants and Auditors,4740,2.5,11.149,1.28,32.44,67470,0.6
South Dakota,Property Appraisers and Assessors,340,10.6,0.803,2.09,22.9,47630,5
South Dakota,Budget Analysts,130,0,0.295,0.84,30.21,62830,0.9
South Dakota,Credit Analysts,410,7,0.974,1.94,30.73,63920,1.7
South Dakota,Personal Financial Advisors,310,16.2,0.724,0.51,*,*,*
South Dakota,Insurance Underwriters,300,19.3,0.716,1.05,37.38,77740,5.4
South Dakota,Financial Examiners,100,2.8,0.234,0.53,42.17,87700,4.4
South Dakota,Credit Counselors,40,31.9,0.093,0.43,18.95,39420,4.8
South Dakota,Loan Officers,1880,5.2,4.431,2.11,32.06,66680,1.8
South Dakota,Tax Preparers,370,18.3,0.88,1.94,20.01,41630,6.2
South Dakota,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",660,6.2,1.543,0.49,33.06,68770,3.2
South Dakota,Computer and Mathematical Occupations,8430,1.9,19.825,0.64,31.75,66040,1.2
South Dakota,Computer Systems Analysts,750,5.5,1.765,0.44,36.38,75680,1.6
South Dakota,Information Security Analysts,320,8,0.764,0.89,43.81,91130,1.1
South Dakota,Computer Network Support Specialists,820,4.5,1.922,1.52,22.97,47770,2
South Dakota,Computer User Support Specialists,1200,2.6,2.824,0.64,19,39530,1.6
