area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Tennessee,All Occupations,3007710,0.5,1000,1,21.95,45650,0.7
Tennessee,Management Occupations,180530,1.1,60.023,1.09,48.79,101490,0.7
Tennessee,Chief Executives,8720,4.1,2.899,2.07,76.09,158280,2.8
Tennessee,General and Operations Managers,46030,2,15.305,0.94,52.78,109770,1
Tennessee,Legislators,350,5.3,0.117,0.33,*,51680,9.2
Tennessee,Advertising and Promotions Managers,530,11.9,0.177,1.04,47.62,99040,5.2
Tennessee,Marketing Managers,4710,5.1,1.567,0.87,57.62,119850,2.9
Tennessee,Sales Managers,7800,4.8,2.593,0.95,59.1,122940,3.5
Tennessee,Public Relations and Fundraising Managers,1000,8.3,0.334,0.62,44.45,92460,2.8
Tennessee,Administrative Services and Facilities Managers,7340,3.3,2.439,1.17,48.61,101120,1.4
Tennessee,Computer and Information Systems Managers,6790,4.3,2.258,0.76,57.82,120260,1.2
Tennessee,Financial Managers,16810,6.1,5.59,1.25,54.66,113700,1.6
Tennessee,Industrial Production Managers,4550,2.9,1.513,1.2,49.49,102950,1.5
Tennessee,Purchasing Managers,1560,5,0.518,1.05,51.72,107580,2.1
Tennessee,"Transportation, Storage, and Distribution Managers",3550,3.7,1.18,1.31,41.33,85970,1.7
Tennessee,Compensation and Benefits Managers,350,46.6,0.117,1.01,48.55,100990,3
Tennessee,Human Resources Managers,4110,19.1,1.367,1.3,45.83,95330,1.3
Tennessee,Training and Development Managers,1100,16.1,0.365,1.39,47.94,99720,1.7
Tennessee,"Farmers, Ranchers, and Other Agricultural Managers",70,16.8,0.024,0.69,33.32,69300,8.8
Tennessee,Construction Managers,6430,6.5,2.139,1.07,38.39,79840,2.1
Tennessee,"Education and Childcare Administrators, Preschool and Daycare",770,11.3,0.255,0.72,24.87,51720,4.8
Tennessee,"Education Administrators, Kindergarten through Secondary",5520,2.8,1.837,1,*,86200,1.4
Tennessee,"Education Administrators, Postsecondary",**,**,**,**,54.73,113840,3.6
Tennessee,"Education Administrators, All Other",710,7.5,0.236,0.78,43.03,89500,2.7
Tennessee,Architectural and Engineering Managers,3080,6.5,1.024,0.77,62.01,128970,2.1
Tennessee,Food Service Managers,10520,7.7,3.498,2.18,23.08,48000,2.3
Tennessee,Lodging Managers,1330,14,0.443,1.7,25.2,52420,5.7
Tennessee,Medical and Health Services Managers,9820,3.2,3.264,1.21,49.07,102070,1.9
Tennessee,Natural Sciences Managers,430,7.2,0.141,0.31,56.86,118260,2.7
Tennessee,Postmasters and Mail Superintendents,270,0,0.089,0.95,40.61,84480,0.6
Tennessee,"Property, Real Estate, and Community Association Managers",4160,8.2,1.382,0.92,29.58,61530,3.7
Tennessee,Social and Community Service Managers,2130,4.9,0.709,0.67,33.24,69140,2.7
Tennessee,Emergency Management Directors,140,11.1,0.047,0.68,39.29,81720,3.6
Tennessee,Funeral Home Managers,440,13.9,0.146,2.29,36.79,76510,8.3
Tennessee,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",16600,2.4,5.52,1.72,38.84,80790,1.1
Tennessee,Business and Financial Operations Occupations,134980,1.8,44.879,0.81,31.1,64690,0.6
Tennessee,"Agents and Business Managers of Artists, Performers, and Athletes",800,12.1,0.267,2.3,39.34,81820,9.4
Tennessee,Buyers and Purchasing Agents,6490,4,2.158,0.75,28.63,59560,1.4
Tennessee,"Claims Adjusters, Examiners, and Investigators",5670,6.5,1.885,0.96,28.28,58810,2.1
Tennessee,"Insurance Appraisers, Auto Damage",180,32.7,0.06,0.64,26.63,55390,4.6
Tennessee,Compliance Officers,6460,3,2.148,0.99,29.54,61440,2
Tennessee,Cost Estimators,2660,6.2,0.885,0.62,32.55,67710,2.6
Tennessee,Human Resources Specialists,12070,7.6,4.012,0.93,27.48,57150,1.1
Tennessee,Labor Relations Specialists,830,15.4,0.275,0.53,25.21,52440,9
Tennessee,Logisticians,3050,5.2,1.013,0.82,30.86,64180,2.8
Tennessee,Management Analysts,8360,7.2,2.779,0.58,39.02,81150,1.5
Tennessee,"Meeting, Convention, and Event Planners",1670,18.6,0.554,0.69,24.57,51100,6.2
Tennessee,Fundraisers,690,7.1,0.228,0.41,26.45,55010,2.7
Tennessee,"Compensation, Benefits, and Job Analysis Specialists",1560,16.6,0.52,0.85,27.28,56740,2.1
Tennessee,Training and Development Specialists,5460,5.6,1.816,0.85,27.94,58110,1.4
Tennessee,Market Research Analysts and Marketing Specialists,8970,4.9,2.983,0.65,29.18,60690,1.5
Tennessee,"Project Management Specialists and Business Operations Specialists, All Other",19930,3,6.627,0.76,30.44,63310,1.4
Tennessee,Accountants and Auditors,22580,12.6,7.507,0.86,34.36,71460,1.6
Tennessee,Property Appraisers and Assessors,1140,20.5,0.378,0.99,26.07,54220,5
Tennessee,Budget Analysts,580,4.4,0.191,0.55,34.31,71360,1.7
Tennessee,Credit Analysts,1420,10.6,0.474,0.94,31.99,66540,4.8
Tennessee,Personal Financial Advisors,2700,12.5,0.897,0.63,40.59,84420,7
Tennessee,Insurance Underwriters,**,**,**,**,33.01,68650,4.1
Tennessee,Financial Examiners,900,18.6,0.299,0.68,41.91,87180,6.7
Tennessee,Credit Counselors,610,12.4,0.203,0.93,21.48,44680,3.6
Tennessee,Loan Officers,5600,6.4,1.861,0.89,30.11,62640,2.8
Tennessee,"Tax Examiners and Collectors, and Revenue Agents",1000,0.4,0.331,0.91,27.05,56270,1.5
Tennessee,Tax Preparers,**,**,**,**,23.37,48600,6
Tennessee,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",8680,7.7,2.886,0.92,32.73,68070,2.3
Tennessee,Computer and Mathematical Occupations,58850,2.3,19.566,0.63,36.17,75240,0.9
Tennessee,Computer Systems Analysts,9450,5.6,3.143,0.78,38.31,79690,1.7
Tennessee,Information Security Analysts,1920,8.9,0.637,0.75,41.44,86190,2.6
Tennessee,Computer and Information Research Scientists,210,10.9,0.07,0.33,49.9,103800,6
Tennessee,Computer Network Support Specialists,3970,8.4,1.32,1.05,27.7,57610,1.3
Tennessee,Computer User Support Specialists,9600,5,3.191,0.72,23.42,48710,1.5
Tennessee,Computer Network Architects,2210,6.9,0.735,0.71,47.38,98550,2.9
Tennessee,Network and Computer Systems Administrators,5000,4.9,1.661,0.69,37.7,78410,1.4
Tennessee,Database Administrators and Architects,1910,5.4,0.636,0.74,38.34,79750,1.8
Tennessee,Computer Programmers,2990,9.6,0.994,0.73,42.43,88260,2.8
Tennessee,Software Developers and Software Quality Assurance Analysts and Testers,12030,4.5,4,0.42,43.59,90670,1.2
Tennessee,Web Developers and Digital Interface Designers,1670,8.6,0.556,0.55,31.36,65230,5.4
Tennessee,"Computer Occupations, All Other",5420,5.1,1.802,0.67,32.5,67610,2.7
Tennessee,Actuaries,**,**,**,**,58.15,120960,9.4
Tennessee,Operations Research Analysts,1270,14.2,0.424,0.62,33.65,69980,2
Tennessee,Statisticians,530,30.1,0.177,0.67,35.5,73830,7.1
Tennessee,"Data Scientists and Mathematical Science Occupations, All Other",260,22.2,0.087,0.42,40.42,84080,4
Tennessee,Architecture and Engineering Occupations,42530,2.3,14.14,0.8,36.17,75230,1.3
Tennessee,"Architects, Except Landscape and Naval",1420,15.3,0.474,0.66,38,79040,3.3
Tennessee,Landscape Architects,170,35.9,0.057,0.41,29.11,60550,3.7
Tennessee,Cartographers and Photogrammetrists,220,9.5,0.075,0.97,28.38,59020,2.2
Tennessee,Surveyors,1010,15,0.335,1.09,23.48,48840,3.1
Tennessee,Aerospace Engineers,390,5.9,0.13,0.3,43.92,91340,5
Tennessee,Bioengineers and Biomedical Engineers,470,31.2,0.156,1.16,36.16,75220,5
Tennessee,Chemical Engineers,770,10.6,0.257,1.25,53.08,110410,2.2
Tennessee,Civil Engineers,3380,6,1.125,0.53,41.95,87260,2.4
Tennessee,Computer Hardware Engineers,330,20.6,0.111,0.24,36.91,76770,3.6
Tennessee,Electrical Engineers,2530,5.6,0.84,0.66,45.97,95610,1.5
Tennessee,"Electronics Engineers, Except Computer",1370,8.5,0.456,0.52,44.3,92130,2.6
Tennessee,Environmental Engineers,1000,11.5,0.331,0.92,43.19,89830,3.7
Tennessee,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",500,12.9,0.165,0.94,50.97,106020,2.6
Tennessee,Industrial Engineers,5470,4.1,1.819,0.92,39.78,82740,1.3
Tennessee,Materials Engineers,640,13.3,0.211,1.16,50.69,105430,3.5
Tennessee,Mechanical Engineers,3650,5.3,1.215,0.58,43.28,90030,2.2
Tennessee,Nuclear Engineers,460,10.2,0.152,1.4,62.77,130570,2.1
Tennessee,"Engineers, All Other",3950,9.4,1.314,1.27,39.59,82340,2.5
Tennessee,Architectural and Civil Drafters,1130,12,0.375,0.56,27.11,56390,3.7
Tennessee,Electrical and Electronics Drafters,270,10.2,0.091,0.55,31.72,65980,5.3
Tennessee,Mechanical Drafters,1140,15.1,0.378,1,30.83,64120,2.7
Tennessee,"Drafters, All Other",450,15,0.151,1.52,21.8,45340,3.6
Tennessee,Aerospace Engineering and Operations Technologists and Technicians,160,2.2,0.052,0.67,33.58,69850,4.2
Tennessee,Civil Engineering Technologists and Technicians,2100,3.3,0.697,1.49,20.56,42770,1.8
Tennessee,Electrical and Electronic Engineering Technologists and Technicians,2810,8.4,0.935,1.12,26.99,56140,1.8
Tennessee,Electro-Mechanical and Mechatronics Technologists and Technicians,440,18.1,0.147,1.51,27,56170,2.6
Tennessee,Environmental Engineering Technologists and Technicians,650,9.4,0.217,1.77,24.92,51840,4.7
Tennessee,Industrial Engineering Technologists and Technicians,1960,13.3,0.651,1.43,24.3,50550,3
Tennessee,Mechanical Engineering Technologists and Technicians,1100,10.6,0.366,1.26,26.06,54210,5.3
Tennessee,Surveying and Mapping Technicians,770,10.4,0.255,0.71,22.78,47390,7.1
Tennessee,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",1500,7.8,0.499,0.83,27.61,57430,2.4
Tennessee,"Life, Physical, and Social Science Occupations",19500,2.6,6.483,0.74,31.33,65160,1.9
Tennessee,Food Scientists and Technologists,120,16.6,0.038,0.42,27.69,57590,5.6
Tennessee,Soil and Plant Scientists,140,10,0.046,0.48,28.74,59790,4.9
Tennessee,Biochemists and Biophysicists,590,11.9,0.196,0.92,44.87,93330,8.7
Tennessee,Microbiologists,160,15.2,0.054,0.43,34.07,70860,5.4
Tennessee,Zoologists and Wildlife Biologists,180,30.3,0.058,0.44,30.93,64330,1.7
Tennessee,"Biological Scientists, All Other",370,5,0.122,0.45,33.99,70710,3.2
Tennessee,Conservation Scientists,210,24.7,0.069,0.46,32.94,68510,7
Tennessee,Foresters,160,8.2,0.053,0.82,27.25,56690,1.3
Tennessee,Epidemiologists,240,1.8,0.079,1.57,40.89,85050,1.8
Tennessee,"Medical Scientists, Except Epidemiologists",1310,11,0.437,0.5,35.6,74060,5.7
Tennessee,Physicists,380,9.2,0.125,1.1,60.12,125050,3.5
Tennessee,Atmospheric and Space Scientists,150,26.1,0.048,0.77,43.5,90470,2.3
Tennessee,Chemists,1240,7.5,0.411,0.72,37.17,77310,6.7
Tennessee,Materials Scientists,120,17.8,0.04,0.87,35.54,73920,6.1
Tennessee,"Environmental Scientists and Specialists, Including Health",1500,7.5,0.499,0.87,34.77,72310,2.5
Tennessee,"Geoscientists, Except Hydrologists and Geographers",190,15.4,0.063,0.32,36.53,75990,3
Tennessee,Hydrologists,60,27.3,0.02,0.46,45.11,93830,1.9
Tennessee,"Physical Scientists, All Other",90,20.5,0.031,0.26,49.4,102740,11
