area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Texas,All Occupations,12431200,0.2,1000,1,24.27,50490,0.4
Texas,Management Occupations,634640,0.7,51.052,0.93,57.33,119250,0.4
Texas,Chief Executives,6170,4.7,0.496,0.35,111.21,231310,1.4
Texas,General and Operations Managers,217080,1.3,17.462,1.07,58.3,121270,0.7
Texas,Legislators,1970,7,0.159,0.45,*,46010,5.3
Texas,Advertising and Promotions Managers,1390,7,0.112,0.65,53.43,111140,2.6
Texas,Marketing Managers,16290,3.7,1.31,0.73,71.84,149420,0.9
Texas,Sales Managers,30420,2.6,2.447,0.89,70.3,146230,1
Texas,Public Relations and Fundraising Managers,5500,3.6,0.443,0.82,59.43,123620,1.2
Texas,Administrative Services and Facilities Managers,29720,2,2.391,1.14,48.64,101170,1.3
Texas,Computer and Information Systems Managers,26980,3.2,2.17,0.73,75.28,156590,0.8
Texas,Financial Managers,46710,3,3.758,0.84,70.05,145700,1
Texas,Industrial Production Managers,13440,2.9,1.081,0.85,58.68,122060,1
Texas,Purchasing Managers,6150,3.8,0.494,1.01,66.19,137670,1.1
Texas,"Transportation, Storage, and Distribution Managers",13030,3.4,1.048,1.17,49.83,103650,1.1
Texas,Compensation and Benefits Managers,1410,7.6,0.113,0.98,54.73,113850,2
Texas,Human Resources Managers,10260,2.7,0.825,0.78,60.8,126470,0.9
Texas,Training and Development Managers,2310,5.4,0.186,0.71,60.94,126750,1.6
Texas,"Farmers, Ranchers, and Other Agricultural Managers",470,19.5,0.038,1.1,34.53,71830,6.8
Texas,Construction Managers,34560,2.9,2.78,1.39,47.1,97970,1.4
Texas,"Education and Childcare Administrators, Preschool and Daycare",3580,6.3,0.288,0.81,23.91,49730,2.5
Texas,"Education Administrators, Kindergarten through Secondary",29960,1.9,2.41,1.31,*,86270,0.5
Texas,"Education Administrators, Postsecondary",10380,3.6,0.835,0.85,54.84,114070,2.7
Texas,"Education Administrators, All Other",2120,7.8,0.171,0.56,39.18,81500,2.6
Texas,Architectural and Engineering Managers,14500,4.1,1.166,0.88,82.27,171120,1.2
Texas,Food Service Managers,15690,5.1,1.262,0.79,28.62,59520,1.3
Texas,Gambling Managers,40,28.4,0.003,0.1,26.21,54520,15.8
Texas,Lodging Managers,3560,10.1,0.286,1.1,26.32,54750,4.4
Texas,Medical and Health Services Managers,33320,2.4,2.681,1,51.87,107880,1.2
Texas,Natural Sciences Managers,2880,6.7,0.232,0.5,62.74,130490,2.4
Texas,Postmasters and Mail Superintendents,810,0,0.065,0.69,38.61,80300,0.4
Texas,"Property, Real Estate, and Community Association Managers",20320,5.6,1.634,1.09,36.21,75310,2.9
