area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Utah,All Occupations,1504070,0.6,1000,1,23.76,49420,0.8
Utah,Management Occupations,108630,1.3,72.223,1.32,46.23,96150,0.8
Utah,Chief Executives,4680,4.4,3.113,2.22,78.2,162660,2.3
Utah,General and Operations Managers,47380,2.2,31.501,1.93,39.96,83130,1
Utah,Legislators,590,7.5,0.391,1.1,*,29770,4.6
Utah,Advertising and Promotions Managers,100,12.8,0.067,0.39,42.39,88170,8.8
Utah,Marketing Managers,3140,5.5,2.09,1.16,59.02,122760,5.7
Utah,Sales Managers,5000,4.2,3.323,1.21,58.73,122160,1.7
Utah,Public Relations and Fundraising Managers,720,11.5,0.48,0.89,46.26,96210,5.6
Utah,Administrative Services and Facilities Managers,2880,3.1,1.918,0.92,41.77,86890,1.8
Utah,Computer and Information Systems Managers,5160,3.9,3.43,1.16,65.29,135800,1.4
Utah,Financial Managers,7940,3.6,5.281,1.18,54.33,113000,1.6
Utah,Industrial Production Managers,1670,4,1.108,0.88,45.05,93710,1.9
Utah,Purchasing Managers,470,5.7,0.315,0.64,49.58,103120,1.7
Utah,"Transportation, Storage, and Distribution Managers",1600,5.3,1.067,1.19,40.91,85080,2.4
Utah,Compensation and Benefits Managers,200,12.8,0.132,1.15,51.2,106500,2
Utah,Human Resources Managers,1610,5.5,1.068,1.01,49.76,103500,1.9
Utah,Training and Development Managers,620,6,0.41,1.56,49.75,103490,1.9
Utah,Construction Managers,2800,8.8,1.864,0.93,41.71,86760,2.5
Utah,"Education and Childcare Administrators, Preschool and Daycare",140,24,0.095,0.27,20.38,42390,5.8
Utah,"Education Administrators, Kindergarten through Secondary",2170,5,1.445,0.78,*,99380,2.4
Utah,"Education Administrators, Postsecondary",1580,16.2,1.053,1.07,46.94,97630,4.7
Utah,"Education Administrators, All Other",410,17.8,0.276,0.91,34.43,71620,4.8
Utah,Architectural and Engineering Managers,2000,3.3,1.33,1.01,61.3,127510,1.7
Utah,Food Service Managers,1840,11,1.226,0.76,25.09,52180,4.2
Utah,Lodging Managers,330,16.8,0.221,0.85,27,56150,3.7
Utah,Medical and Health Services Managers,3800,4.3,2.528,0.94,50.48,105010,3.3
Utah,Natural Sciences Managers,930,8.2,0.616,1.34,50.41,104850,4
Utah,Postmasters and Mail Superintendents,110,0,0.072,0.77,38.08,79200,1
Utah,"Property, Real Estate, and Community Association Managers",2960,9.3,1.966,1.31,24.84,51660,5.4
Utah,Social and Community Service Managers,1110,5.6,0.735,0.69,32.54,67690,2.3
Utah,Emergency Management Directors,110,4.7,0.07,1.02,30.6,63650,2.3
Utah,Funeral Home Managers,90,30.1,0.059,0.93,37.55,78090,21
Utah,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",**,**,**,**,47.92,99670,2.5
Utah,Business and Financial Operations Occupations,87320,1.3,58.056,1.04,31.68,65890,1.2
Utah,Buyers and Purchasing Agents,4240,3.7,2.816,0.98,33.49,69660,6
Utah,"Claims Adjusters, Examiners, and Investigators",1780,13.5,1.187,0.61,26.83,55800,3.8
Utah,"Insurance Appraisers, Auto Damage",**,**,**,**,40.6,84450,4.6
Utah,Compliance Officers,3090,3.7,2.053,0.95,28.78,59870,2.1
Utah,Cost Estimators,2690,5.8,1.79,1.25,33.39,69450,1.6
Utah,Human Resources Specialists,6660,3.2,4.429,1.03,26.97,56100,1.1
Utah,Labor Relations Specialists,270,18,0.178,0.35,23.9,49710,8.5
Utah,Logisticians,2440,2.8,1.619,1.31,35.16,73140,3.2
Utah,Management Analysts,4330,5.9,2.877,0.6,36.81,76560,3.6
Utah,"Meeting, Convention, and Event Planners",1410,6.3,0.94,1.17,21.82,45380,3
Utah,Fundraisers,460,8.2,0.308,0.55,27.14,56450,3.9
Utah,"Compensation, Benefits, and Job Analysis Specialists",720,10.3,0.481,0.79,36.06,75000,18.4
Utah,Training and Development Specialists,5070,4.1,3.369,1.58,26.26,54610,1.9
Utah,Market Research Analysts and Marketing Specialists,8370,3.8,5.563,1.2,27.75,57730,2
Utah,"Project Management Specialists and Business Operations Specialists, All Other",15350,2.3,10.208,1.17,35.3,73410,2.3
Utah,Accountants and Auditors,10250,3.2,6.814,0.78,32.96,68560,1.6
Utah,Property Appraisers and Assessors,740,16.1,0.495,1.29,28.23,58730,7.1
Utah,Budget Analysts,390,10.2,0.26,0.74,36.55,76030,2.2
Utah,Credit Analysts,620,6.4,0.41,0.81,28.3,58870,4.9
Utah,Personal Financial Advisors,2510,20.6,1.667,1.16,47.2,98180,7.7
Utah,Insurance Underwriters,610,15.9,0.405,0.59,30.1,62610,2.4
Utah,Financial Examiners,610,9,0.405,0.92,33.92,70560,8.7
Utah,Credit Counselors,670,12.1,0.443,2.03,20.12,41850,2.8
Utah,Loan Officers,6000,8.9,3.986,1.9,29.38,61110,4.3
Utah,"Tax Examiners and Collectors, and Revenue Agents",1910,0,1.27,3.47,23.34,48550,2.5
Utah,Tax Preparers,840,17.5,0.556,1.22,24.3,50550,8.7
Utah,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",5150,5.5,3.424,1.1,35.22,73250,2.7
Utah,Computer and Mathematical Occupations,57360,1.9,38.138,1.23,39.59,82340,1
Utah,Computer Systems Analysts,3650,6.7,2.428,0.61,37.46,77910,2.2
Utah,Information Security Analysts,930,7.4,0.616,0.72,42.54,88480,2
Utah,Computer and Information Research Scientists,810,3.3,0.539,2.57,48.02,99870,6.8
Utah,Computer Network Support Specialists,1590,7.4,1.059,0.84,28.74,59790,3
Utah,Computer User Support Specialists,10230,3.4,6.799,1.54,25.53,53100,2
Utah,Computer Network Architects,960,9.2,0.635,0.61,53.27,110790,4.8
Utah,Network and Computer Systems Administrators,3740,13.1,2.486,1.03,39.2,81530,2
Utah,Database Administrators and Architects,1800,7.6,1.196,1.4,44.32,92190,1.6
Utah,Computer Programmers,2630,10.4,1.749,1.29,40.44,84120,2.6
Utah,Software Developers and Software Quality Assurance Analysts and Testers,18480,3.6,12.289,1.28,48.74,101380,1.1
Utah,Web Developers and Digital Interface Designers,2700,6.2,1.797,1.78,33.6,69880,2.5
Utah,"Computer Occupations, All Other",7270,3.2,4.833,1.81,38.8,80690,2.7
Utah,Actuaries,150,4.7,0.1,0.66,34.85,72480,5.2
Utah,Operations Research Analysts,1690,13.9,1.123,1.65,35.97,74830,5.3
Utah,Statisticians,550,7.2,0.366,1.38,34.29,71320,2.7
Utah,"Data Scientists and Mathematical Science Occupations, All Other",180,12.5,0.122,0.58,35.64,74120,4.4
Utah,Architecture and Engineering Occupations,29510,2.4,19.622,1.11,37.39,77780,1.8
Utah,"Architects, Except Landscape and Naval",1030,10.7,0.684,0.95,35.69,74240,5.5
Utah,Landscape Architects,110,25.9,0.072,0.52,29.05,60410,7.2
Utah,Cartographers and Photogrammetrists,170,10.7,0.115,1.49,27.96,58160,3.1
Utah,Surveyors,570,12.4,0.378,1.23,32.6,67800,3.7
Utah,Aerospace Engineers,710,9.5,0.47,1.09,49.97,103930,1.8
Utah,Bioengineers and Biomedical Engineers,380,18,0.255,1.89,35.92,74720,3.5
Utah,Chemical Engineers,170,11.5,0.114,0.55,40.27,83750,5.2
Utah,Civil Engineers,3180,5.5,2.116,1,40.1,83410,4.2
Utah,Computer Hardware Engineers,960,1.7,0.641,1.39,52.64,109490,4.3
Utah,Electrical Engineers,1690,8.8,1.124,0.89,44.01,91530,2.7
Utah,"Electronics Engineers, Except Computer",1250,7.1,0.832,0.95,44.76,93090,1.8
Utah,Environmental Engineers,580,10,0.384,1.06,37.51,78020,3.3
Utah,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",680,37.7,0.449,2.55,33.44,69560,11.5
Utah,Industrial Engineers,2250,8.5,1.497,0.75,41.99,87330,1.4
Utah,Materials Engineers,410,11.6,0.274,1.5,40.2,83620,2.4
Utah,Mechanical Engineers,3550,4.8,2.362,1.13,44.13,91790,1.6
Utah,"Mining and Geological Engineers, Including Mining Safety Engineers",230,35.5,0.156,3.65,48.98,101880,13.5
Utah,Nuclear Engineers,30,33.2,0.022,0.21,66.8,138940,25.2
Utah,Petroleum Engineers,180,30.8,0.119,0.53,*,*,*
Utah,"Engineers, All Other",1500,9.3,0.996,0.96,42.98,89390,3.1
Utah,Architectural and Civil Drafters,2070,8.1,1.376,2.05,25.45,52940,1.6
Utah,Electrical and Electronics Drafters,230,26,0.152,0.92,30.4,63220,3.8
Utah,Mechanical Drafters,600,11.3,0.4,1.06,30.53,63510,4
Utah,"Drafters, All Other",170,34.6,0.111,1.11,27.56,57320,5
Utah,Aerospace Engineering and Operations Technologists and Technicians,130,10.5,0.089,1.13,30.77,64000,4.4
Utah,Civil Engineering Technologists and Technicians,590,23.9,0.391,0.83,*,*,*
Utah,Electrical and Electronic Engineering Technologists and Technicians,1500,9.1,0.999,1.2,27.21,56590,3
Utah,Electro-Mechanical and Mechatronics Technologists and Technicians,160,14.7,0.106,1.09,31.64,65810,6
Utah,Environmental Engineering Technologists and Technicians,210,15.4,0.143,1.17,21.74,45220,3.9
Utah,Industrial Engineering Technologists and Technicians,1040,7.5,0.693,1.52,27.06,56270,3.9
Utah,Mechanical Engineering Technologists and Technicians,940,15.7,0.623,2.14,20.35,42330,4.1
Utah,Surveying and Mapping Technicians,490,14.1,0.329,0.91,25.18,52370,3.5
