area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Vermont,All Occupations,306300,1,1000,1,24.58,51120,1
Vermont,Management Occupations,19170,2.3,62.57,1.14,45.19,93990,1.1
Vermont,Chief Executives,730,6.4,2.399,1.71,66.15,137600,2.7
Vermont,General and Operations Managers,4370,4.1,14.253,0.87,43.65,90790,2.3
Vermont,Advertising and Promotions Managers,50,32.3,0.159,0.93,50.85,105760,4.5
Vermont,Marketing Managers,670,7.9,2.183,1.22,55.28,114990,4.3
Vermont,Sales Managers,630,13.4,2.061,0.75,57.37,119330,7.2
Vermont,Public Relations and Fundraising Managers,350,10.6,1.138,2.11,50.14,104290,3.8
Vermont,Administrative Services and Facilities Managers,1010,6.5,3.311,1.58,37.58,78170,2.6
Vermont,Computer and Information Systems Managers,750,6.6,2.45,0.83,57.62,119860,2.4
Vermont,Financial Managers,1380,5.5,4.491,1.01,50.56,105160,2.5
Vermont,Industrial Production Managers,540,6.1,1.76,1.39,51.7,107540,3.7
Vermont,Purchasing Managers,150,9.5,0.502,1.02,50.89,105840,3.3
Vermont,"Transportation, Storage, and Distribution Managers",260,10.2,0.841,0.94,*,*,*
Vermont,Human Resources Managers,300,6.1,0.98,0.93,47.27,98320,2.3
Vermont,Training and Development Managers,50,24.9,0.155,0.59,45.33,94300,10.8
Vermont,Construction Managers,630,11.3,2.063,1.03,42.38,88150,5.1
Vermont,"Education and Childcare Administrators, Preschool and Daycare",270,15.9,0.878,2.46,24.66,51280,3.3
Vermont,"Education Administrators, Kindergarten through Secondary",820,9,2.678,1.45,*,91670,1.8
Vermont,"Education Administrators, All Other",**,**,**,**,35.12,73040,3.1
Vermont,Architectural and Engineering Managers,350,11.2,1.131,0.86,69.58,144730,4.1
Vermont,Food Service Managers,740,17.8,2.422,1.51,27.35,56880,6.5
Vermont,Lodging Managers,160,25.1,0.508,1.94,32.16,66900,9.1
Vermont,Medical and Health Services Managers,1180,5.1,3.839,1.43,50.46,104950,3
Vermont,Natural Sciences Managers,140,9.3,0.467,1.01,43.68,90860,2.8
Vermont,Postmasters and Mail Superintendents,120,0,0.379,4.02,34.44,71630,0.7
Vermont,"Property, Real Estate, and Community Association Managers",530,15.9,1.742,1.16,32.09,66750,6.9
Vermont,Social and Community Service Managers,1040,7,3.387,3.18,30.43,63290,3.9
Vermont,Emergency Management Directors,50,12.7,0.158,2.31,36.24,75390,5.7
Vermont,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",670,6.5,2.19,0.68,49.05,102020,2.1
Vermont,Business and Financial Operations Occupations,15000,2.6,48.962,0.88,33.95,70610,1.2
Vermont,Buyers and Purchasing Agents,840,7.2,2.749,0.96,27.23,56630,2.4
Vermont,"Claims Adjusters, Examiners, and Investigators",400,21.7,1.31,0.67,32.58,67760,2.2
Vermont,Compliance Officers,2090,1.8,6.816,3.15,33.48,69640,2.3
Vermont,Cost Estimators,320,10.2,1.034,0.72,32.56,67730,2.6
Vermont,Human Resources Specialists,1030,6,3.367,0.78,29.65,61670,1.7
Vermont,Labor Relations Specialists,130,16.7,0.434,0.84,34.81,72400,7.3
Vermont,Logisticians,140,15.2,0.457,0.37,34.91,72620,3
Vermont,Management Analysts,970,8.8,3.151,0.65,47.8,99430,5.2
Vermont,"Meeting, Convention, and Event Planners",260,18.3,0.855,1.07,23.72,49330,3.1
Vermont,Fundraisers,450,9.1,1.468,2.64,27.55,57300,4.8
Vermont,"Compensation, Benefits, and Job Analysis Specialists",160,8.7,0.517,0.85,29.83,62050,3.6
Vermont,Training and Development Specialists,590,18.8,1.928,0.91,32.41,67410,3.4
Vermont,Market Research Analysts and Marketing Specialists,1230,7.8,4.023,0.87,28.43,59140,1.8
Vermont,"Project Management Specialists and Business Operations Specialists, All Other",1590,7.2,5.181,0.59,33.72,70140,2
Vermont,Accountants and Auditors,2610,3.6,8.515,0.98,35.88,74640,1.8
Vermont,Property Appraisers and Assessors,170,25.1,0.551,1.44,28.48,59250,8.5
Vermont,Budget Analysts,70,7.8,0.218,0.62,32.7,68020,1.7
Vermont,Credit Analysts,150,12.5,0.482,0.96,33.78,70260,5
Vermont,Personal Financial Advisors,360,23.3,1.168,0.82,59.27,123280,10.8
Vermont,Insurance Underwriters,140,28.2,0.462,0.68,30.84,64150,5.3
Vermont,Financial Examiners,80,9.7,0.268,0.61,38.26,79570,2.2
Vermont,Credit Counselors,80,36.3,0.247,1.13,*,*,*
Vermont,Loan Officers,480,11.3,1.555,0.74,33.55,69790,3.7
Vermont,"Tax Examiners and Collectors, and Revenue Agents",110,2.3,0.362,0.99,28.59,59460,3.3
Vermont,Tax Preparers,160,32.8,0.513,1.13,25.27,52560,11.4
Vermont,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",360,6.8,1.175,0.38,37.35,77680,4
Vermont,Computer and Mathematical Occupations,6760,9.3,22.067,0.71,36.65,76230,1.6
Vermont,Computer Systems Analysts,530,10.1,1.719,0.43,38.57,80220,1.9
Vermont,Information Security Analysts,120,19.4,0.377,0.44,40.14,83490,3
Vermont,Computer Network Support Specialists,360,26.8,1.165,0.92,26.42,54960,3.7
Vermont,Computer User Support Specialists,1210,11.9,3.96,0.9,24.74,51460,1.7
Vermont,Computer Network Architects,100,16.5,0.31,0.3,45.58,94810,4.4
Vermont,Network and Computer Systems Administrators,1020,15.3,3.342,1.39,36.43,75770,2
Vermont,Database Administrators and Architects,150,9.2,0.479,0.56,34.19,71110,3.2
Vermont,Computer Programmers,450,13.4,1.476,1.09,42.28,87950,7.5
Vermont,Software Developers and Software Quality Assurance Analysts and Testers,1670,11.2,5.456,0.57,47.95,99730,3.4
Vermont,Web Developers and Digital Interface Designers,340,21.6,1.11,1.1,26.94,56030,4.8
Vermont,"Computer Occupations, All Other",550,10.3,1.779,0.66,32.57,67750,5.3
Vermont,Operations Research Analysts,100,17.3,0.326,0.48,40.67,84590,2.9
Vermont,Statisticians,80,6.6,0.259,0.97,33.79,70290,2.3
Vermont,Architecture and Engineering Occupations,6020,4.6,19.651,1.11,39.79,82750,3
Vermont,"Architects, Except Landscape and Naval",280,25.2,0.901,1.25,38.76,80620,4.8
Vermont,Landscape Architects,**,**,**,**,36.71,76360,7.6
Vermont,Cartographers and Photogrammetrists,40,39.7,0.137,1.79,30.77,63990,3.6
Vermont,Surveyors,90,19,0.279,0.91,27.72,57670,6.7
Vermont,Bioengineers and Biomedical Engineers,80,24.7,0.257,1.91,42.87,89170,4.1
Vermont,Civil Engineers,680,6.9,2.232,1.05,37.09,77150,2.3
Vermont,Electrical Engineers,650,24.9,2.113,1.67,*,*,*
Vermont,"Electronics Engineers, Except Computer",110,19.7,0.357,0.41,50.91,105880,5
Vermont,Environmental Engineers,130,24.9,0.428,1.18,41.14,85570,3.7
Vermont,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",60,25.9,0.204,1.16,*,*,*
Vermont,Industrial Engineers,650,18.6,2.111,1.06,36.36,75630,3.6
Vermont,Mechanical Engineers,250,14.2,0.832,0.4,45.01,93620,7.9
Vermont,"Engineers, All Other",200,16.2,0.652,0.63,44.84,93260,4.8
Vermont,Architectural and Civil Drafters,220,15.7,0.705,1.05,24.17,50270,3.5
Vermont,Electrical and Electronics Drafters,70,20,0.216,1.31,39.11,81350,4.5
Vermont,Mechanical Drafters,90,24.3,0.283,0.75,25.72,53500,8.2
Vermont,"Drafters, All Other",100,41.2,0.317,3.19,25.19,52390,3.3
Vermont,Civil Engineering Technologists and Technicians,260,15.6,0.852,1.82,27.12,56420,5.3
Vermont,Electrical and Electronic Engineering Technologists and Technicians,270,10.7,0.891,1.07,41.16,85600,6
Vermont,Environmental Engineering Technologists and Technicians,40,41.8,0.135,1.1,24.48,50920,4.6
Vermont,Mechanical Engineering Technologists and Technicians,40,31.4,0.123,0.42,29.21,60760,8.6
Vermont,Surveying and Mapping Technicians,60,25.7,0.188,0.52,23.45,48770,5.9
Vermont,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",70,19.2,0.218,0.36,27.52,57240,7.5
Vermont,"Life, Physical, and Social Science Occupations",2900,5.3,9.474,1.08,32.52,67640,1.9
Vermont,Food Scientists and Technologists,50,23.1,0.156,1.71,39.27,81690,4.6
Vermont,Microbiologists,70,33.2,0.231,1.86,29.52,61390,4.6
Vermont,Zoologists and Wildlife Biologists,90,12.9,0.286,2.18,32.66,67940,2.4
Vermont,"Biological Scientists, All Other",40,13.9,0.142,0.52,37.36,77720,3.1
Vermont,Conservation Scientists,100,21.7,0.336,2.24,31.26,65020,6.7
Vermont,Foresters,80,6.9,0.255,3.94,30.52,63490,2.1
Vermont,"Medical Scientists, Except Epidemiologists",100,24.5,0.314,0.36,45.73,95110,7.6
Vermont,Physicists,40,25.6,0.135,1.19,60.66,126170,25
Vermont,Chemists,140,17.2,0.472,0.83,36.55,76020,3.8
Vermont,"Environmental Scientists and Specialists, Including Health",330,9.4,1.086,1.89,31.32,65140,1.8
Vermont,"Geoscientists, Except Hydrologists and Geographers",**,**,**,**,40.48,84200,8.8
Vermont,Economists,50,22.7,0.176,1.36,53.94,112200,13.1
Vermont,"Clinical, Counseling, and School Psychologists",410,9.7,1.331,1.73,33.71,70120,10.7
Vermont,Urban and Regional Planners,240,21.2,0.769,2.93,28.91,60120,4.9
Vermont,Agricultural and Food Science Technicians,90,20.9,0.285,1.91,22.18,46130,4.3
Vermont,Biological Technicians,120,17.9,0.399,0.74,22.62,47050,4.8
Vermont,Chemical Technicians,60,18.5,0.196,0.44,26.02,54120,3.2
Vermont,"Environmental Science and Protection Technicians, Including Health",50,29.2,0.172,0.77,21.05,43780,9.9
Vermont,Social Science Research Assistants,**,**,**,**,23.18,48220,6.9
Vermont,Forest and Conservation Technicians,40,6.3,0.116,0.89,20.93,43530,2.1
Vermont,Occupational Health and Safety Specialists,160,18.1,0.521,0.82,33.69,70070,2.2
Vermont,Community and Social Service Occupations,10540,4.2,34.398,2.25,21.43,44580,3.5
Vermont,"Educational, Guidance, and Career Counselors and Advisors",1030,8.6,3.365,1.67,25.98,54030,4
Vermont,Rehabilitation Counselors,520,11.2,1.71,2.3,24.29,50530,5.5
Vermont,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1810,8.6,5.912,3.06,21.62,44970,3.5
Vermont,"Counselors, All Other",60,24.8,0.205,1.18,19.6,40770,5
Vermont,"Child, Family, and School Social Workers",1180,10.9,3.85,1.73,24.88,51750,3.1
