area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Washington,All Occupations,3318510,0.5,1000,1,29.82,62020,1.8
Washington,Management Occupations,162850,1.5,49.075,0.89,62.75,130520,0.6
Washington,Chief Executives,2980,5.4,0.897,0.64,108.51,225700,1.7
Washington,General and Operations Managers,46500,1.6,14.012,0.86,61.38,127670,0.8
Washington,Legislators,940,10.9,0.284,0.8,*,89900,4.8
Washington,Advertising and Promotions Managers,410,14.3,0.125,0.73,71.22,148140,3.4
Washington,Marketing Managers,6820,8.6,2.056,1.15,78.88,164070,1.8
Washington,Sales Managers,7640,5.3,2.302,0.84,69.26,144050,1.6
Washington,Public Relations and Fundraising Managers,2240,11,0.676,1.25,65.7,136660,2.1
Washington,Administrative Services and Facilities Managers,4910,3.7,1.48,0.71,58.61,121910,1
Washington,Computer and Information Systems Managers,12650,4.3,3.811,1.29,79.27,164880,1.4
Washington,Financial Managers,12830,3,3.867,0.87,66.41,138140,1.1
Washington,Industrial Production Managers,2930,3.3,0.883,0.7,61.3,127500,2.1
Washington,Purchasing Managers,1540,6.4,0.463,0.94,65.94,137150,2.2
Washington,"Transportation, Storage, and Distribution Managers",2470,8.4,0.743,0.83,56.29,117080,2
Washington,Compensation and Benefits Managers,280,9.5,0.084,0.73,73.33,152520,2.6
Washington,Human Resources Managers,3380,3.1,1.018,0.97,67.6,140600,1.2
Washington,Training and Development Managers,730,5.4,0.219,0.84,67.49,140390,6.2
Washington,"Farmers, Ranchers, and Other Agricultural Managers",130,24.2,0.04,1.15,41.75,86850,3.4
Washington,Construction Managers,8430,4.2,2.539,1.27,49.16,102250,1.4
Washington,"Education and Childcare Administrators, Preschool and Daycare",1460,10.6,0.44,1.23,25.11,52230,2.5
Washington,"Education Administrators, Kindergarten through Secondary",5490,2,1.653,0.9,*,120300,0.9
Washington,"Education Administrators, Postsecondary",2230,19,0.671,0.68,50.46,104960,3.4
Washington,"Education Administrators, All Other",780,15.3,0.234,0.77,42.63,88670,5.5
Washington,Architectural and Engineering Managers,4340,3.8,1.309,0.99,76.26,158620,1.9
Washington,Food Service Managers,2760,11,0.831,0.52,36.91,76770,4.7
Washington,Gambling Managers,110,9.8,0.032,1.05,41.24,85780,7.8
Washington,Lodging Managers,860,8.7,0.259,0.99,31.05,64580,3.1
Washington,Medical and Health Services Managers,7310,6,2.203,0.82,58.49,121650,1.9
Washington,Natural Sciences Managers,1960,8.5,0.591,1.28,75.19,156400,2.5
Washington,Postmasters and Mail Superintendents,270,0,0.083,0.88,37.2,77370,0.7
Washington,"Property, Real Estate, and Community Association Managers",2620,6.9,0.789,0.52,44.46,92480,4.1
Washington,Social and Community Service Managers,3640,7.6,1.097,1.03,34.66,72100,2.3
Washington,Emergency Management Directors,150,12.1,0.045,0.66,54.43,113220,1.9
Washington,Funeral Home Managers,50,32.9,0.014,0.21,40.19,83590,9.6
Washington,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",11050,3.6,3.328,1.04,61.23,127350,1.5
Washington,Business and Financial Operations Occupations,225940,2.1,68.083,1.22,40.09,83400,1.8
Washington,"Agents and Business Managers of Artists, Performers, and Athletes",90,15.8,0.028,0.24,47.96,99760,20.5
Washington,Buyers and Purchasing Agents,14910,8.5,4.494,1.57,35.63,74110,1.7
Washington,"Claims Adjusters, Examiners, and Investigators",5490,5.9,1.654,0.84,35.99,74860,2
Washington,"Insurance Appraisers, Auto Damage",290,19.8,0.088,0.94,33.09,68840,4.3
Washington,Compliance Officers,8820,9.6,2.656,1.23,34.57,71900,3.9
Washington,Cost Estimators,5690,4.3,1.714,1.2,36.95,76860,1.6
Washington,Human Resources Specialists,17310,3.2,5.215,1.21,37.13,77220,1.9
Washington,Labor Relations Specialists,2430,7.2,0.734,1.43,38.82,80740,4.1
Washington,Logisticians,6450,4.5,1.944,1.57,42.94,89300,2.4
Washington,Management Analysts,22160,5.7,6.677,1.38,50.4,104830,2.8
Washington,"Meeting, Convention, and Event Planners",3420,8.1,1.029,1.29,29.89,62170,5.8
Washington,Fundraisers,2510,8.1,0.758,1.36,30.74,63930,2.9
Washington,"Compensation, Benefits, and Job Analysis Specialists",1770,6,0.534,0.88,38.44,79950,2.7
Washington,Training and Development Specialists,7250,5.6,2.185,1.03,37.67,78350,1.7
Washington,Market Research Analysts and Marketing Specialists,22710,8.7,6.844,1.48,42.45,88290,4.4
Washington,"Project Management Specialists and Business Operations Specialists, All Other",43590,1.8,13.135,1.51,40.14,83490,2.2
Washington,Accountants and Auditors,32280,3.1,9.727,1.12,39.41,81970,2
Washington,Property Appraisers and Assessors,1390,30.5,0.418,1.09,38.02,79080,7.7
Washington,Budget Analysts,880,4.8,0.266,0.76,36.87,76690,1.9
Washington,Credit Analysts,1720,10.7,0.52,1.03,38.4,79860,2.3
Washington,Personal Financial Advisors,3820,6.6,1.151,0.8,53.79,111890,5.8
Washington,Insurance Underwriters,1370,15.1,0.411,0.6,40.31,83830,2.2
Washington,Financial Examiners,610,14.2,0.184,0.42,48.88,101660,4.6
Washington,Credit Counselors,500,16.2,0.15,0.69,24.09,50100,3.6
Washington,Loan Officers,7050,6.2,2.124,1.01,34.42,71600,2.5
Washington,"Tax Examiners and Collectors, and Revenue Agents",960,0.4,0.289,0.79,31.25,65010,2.5
Washington,Tax Preparers,970,17.2,0.294,0.65,24.38,50710,9.8
Washington,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",9500,2.8,2.861,0.92,43.55,90570,4.6
Washington,Computer and Mathematical Occupations,173940,2.5,52.414,1.69,55.66,115770,5.7
Washington,Computer Systems Analysts,16840,5.5,5.076,1.27,48.78,101460,1.9
Washington,Information Security Analysts,3120,12.3,0.941,1.1,54.1,112540,2.8
Washington,Computer and Information Research Scientists,1970,4.1,0.593,2.83,65.81,136890,4.9
Washington,Computer Network Support Specialists,3520,6.1,1.06,0.84,41.78,86900,2.6
Washington,Computer User Support Specialists,18260,5,5.501,1.25,30.08,62560,4
Washington,Computer Network Architects,4800,7,1.446,1.39,56.89,118340,4.4
Washington,Network and Computer Systems Administrators,7960,4.3,2.397,0.99,45.16,93930,1.6
Washington,Database Administrators and Architects,2690,6.2,0.809,0.95,53.67,111640,1.3
Washington,Computer Programmers,5680,6.3,1.713,1.26,79.14,164610,16.5
Washington,Software Developers and Software Quality Assurance Analysts and Testers,77650,4.1,23.399,2.44,63.4,131870,4.5
Washington,Web Developers and Digital Interface Designers,13430,3,4.047,4.01,64.57,134310,9
Washington,"Computer Occupations, All Other",12340,5.3,3.72,1.39,45.14,93890,1.9
Washington,Actuaries,420,17.4,0.128,0.84,64.05,133210,3.2
Washington,Mathematicians,100,8,0.031,1.74,63.03,131110,5.5
Washington,Operations Research Analysts,2640,14.5,0.795,1.17,47.05,97870,3.7
Washington,Statisticians,1290,11.5,0.39,1.46,50.81,105680,2
Washington,"Data Scientists and Mathematical Science Occupations, All Other",1220,12.2,0.367,1.75,55.63,115720,3.9
Washington,Architecture and Engineering Occupations,77020,2,23.21,1.31,47.75,99310,2.4
Washington,"Architects, Except Landscape and Naval",4180,7,1.261,1.75,40.14,83480,2.3
Washington,Landscape Architects,770,19.6,0.232,1.68,35.71,74270,2.9
Washington,Cartographers and Photogrammetrists,320,9.5,0.096,1.25,41.02,85310,2.7
Washington,Surveyors,910,14.9,0.273,0.89,41.9,87150,4.6
Washington,Aerospace Engineers,6680,3.6,2.013,4.68,*,*,*
Washington,Bioengineers and Biomedical Engineers,610,24.3,0.183,1.36,46.81,97370,5
Washington,Chemical Engineers,580,10,0.174,0.85,51.61,107340,2.7
Washington,Civil Engineers,11580,8,3.489,1.65,46.05,95780,1.6
Washington,Computer Hardware Engineers,1770,5.6,0.534,1.15,76.5,159130,11.1
Washington,Electrical Engineers,6030,3.9,1.817,1.44,55.76,115990,2.5
Washington,"Electronics Engineers, Except Computer",3660,9.1,1.104,1.26,51.57,107270,4.9
Washington,Environmental Engineers,1900,11.7,0.571,1.58,50.35,104740,2.6
Washington,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",450,16.6,0.134,0.76,47.56,98930,3.9
Washington,Industrial Engineers,7220,3.3,2.175,1.09,52.5,109200,2.5
Washington,Marine Engineers and Naval Architects,530,20.3,0.16,2.07,44.51,92580,3.7
Washington,Materials Engineers,1060,3.9,0.321,1.76,60.15,125110,2.9
Washington,Mechanical Engineers,7560,4.4,2.279,1.09,47.49,98770,2.1
Washington,"Mining and Geological Engineers, Including Mining Safety Engineers",40,17.3,0.012,0.27,42.4,88200,7.3
Washington,Petroleum Engineers,100,36,0.03,0.14,68.83,143170,10.8
Washington,"Engineers, All Other",3070,6.4,0.926,0.89,52.61,109430,2.4
Washington,Architectural and Civil Drafters,2090,10.1,0.631,0.94,29.23,60800,1.8
Washington,Electrical and Electronics Drafters,730,10.9,0.219,1.33,43.12,89690,5.3
Washington,Mechanical Drafters,2190,5,0.66,1.75,38.57,80220,7
Washington,"Drafters, All Other",340,37.7,0.101,1.02,24.63,51240,10.8
Washington,Aerospace Engineering and Operations Technologists and Technicians,430,14.6,0.128,1.63,46.7,97130,12.5
Washington,Civil Engineering Technologists and Technicians,1590,6.2,0.48,1.02,32.11,66780,1.4
Washington,Electrical and Electronic Engineering Technologists and Technicians,2390,9.8,0.722,0.86,34.73,72240,1.8
Washington,Electro-Mechanical and Mechatronics Technologists and Technicians,230,17.7,0.069,0.71,36.96,76880,4.2
Washington,Environmental Engineering Technologists and Technicians,390,9.6,0.116,0.95,35.41,73660,3.3
Washington,Industrial Engineering Technologists and Technicians,1760,3.6,0.531,1.16,*,*,*
Washington,Mechanical Engineering Technologists and Technicians,1090,12.8,0.328,1.12,32.3,67190,2.4
Washington,Surveying and Mapping Technicians,1110,10.2,0.335,0.93,25.49,53020,2.4
Washington,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",2400,6.8,0.723,1.2,36.51,75950,4.2
Washington,"Life, Physical, and Social Science Occupations",39850,3.6,12.009,1.37,38.53,80150,1.7
Washington,Food Scientists and Technologists,110,20.4,0.032,0.35,29.44,61240,6.3
Washington,Soil and Plant Scientists,240,15.2,0.071,0.74,36.56,76050,4.4
Washington,Biochemists and Biophysicists,420,17,0.126,0.59,42.7,88810,9.8
Washington,Microbiologists,380,9.9,0.113,0.91,37.02,76990,3.6
Washington,Zoologists and Wildlife Biologists,2380,8.8,0.718,5.48,37.51,78030,2.9
Washington,"Biological Scientists, All Other",1330,9,0.401,1.47,43.38,90220,4.1
Washington,Conservation Scientists,1020,5.4,0.307,2.04,31.28,65070,1.6
Washington,Foresters,500,13.4,0.15,2.31,32.41,67410,2.1
Washington,Epidemiologists,450,10.2,0.136,2.69,53.44,111160,4.9
Washington,"Medical Scientists, Except Epidemiologists",6300,12.3,1.9,2.19,45.19,94000,6.1
Washington,"Life Scientists, All Other",240,11,0.071,1.62,42.21,87800,2.2
Washington,Physicists,650,14,0.196,1.72,60.97,126820,8.7
Washington,Chemists,1760,8.5,0.531,0.93,42.59,88580,4.6
Washington,Materials Scientists,350,2.1,0.105,2.31,56.15,116780,1.7
Washington,"Environmental Scientists and Specialists, Including Health",3040,5.8,0.916,1.6,41.28,85870,2.3
Washington,"Geoscientists, Except Hydrologists and Geographers",1030,16,0.311,1.56,44.52,92600,4.9
Washington,Hydrologists,310,7.6,0.094,2.14,43.71,90920,2.9
Washington,"Physical Scientists, All Other",270,3.1,0.081,0.68,53.37,111020,2.1
Washington,Economists,400,12.4,0.121,0.94,49.68,103330,3.2
Washington,Survey Researchers,90,35.3,0.027,0.4,30.21,62830,6.1
Washington,"Clinical, Counseling, and School Psychologists",2420,10.2,0.73,0.95,37.36,77700,2.9
Washington,"Psychologists, All Other",470,3.9,0.141,1.46,49.73,103440,4.6
Washington,Sociologists,90,10.6,0.027,1.53,34.9,72590,2.2
Washington,Urban and Regional Planners,2250,4.8,0.677,2.58,40.33,83880,1.3
Washington,Anthropologists and Archeologists,170,18.8,0.051,1.12,37.8,78620,4
Washington,Geographers,50,12.6,0.015,1.55,39.41,81970,3.4
Washington,Political Scientists,120,11.7,0.035,0.85,47.61,99040,4.6
Washington,"Social Scientists and Related Workers, All Other",900,9.3,0.273,1.19,43.05,89540,3
Washington,Agricultural and Food Science Technicians,240,29.9,0.072,0.49,19.98,41560,3
Washington,Biological Technicians,3210,7.6,0.967,1.79,23.26,48380,2.3
Washington,Chemical Technicians,830,12.2,0.251,0.56,24.54,51040,2.9
Washington,"Environmental Science and Protection Technicians, Including Health",1310,24.4,0.395,1.78,33.36,69390,5.7
Washington,Geological and Hydrologic Technicians,110,8.1,0.034,0.3,27.63,57470,2.5
Washington,Social Science Research Assistants,380,13.4,0.116,0.48,23.57,49030,4.6
Washington,Forest and Conservation Technicians,480,6,0.144,1.11,23.73,49360,1.7
Washington,Forensic Science Technicians,400,22.5,0.12,1.07,31.1,64690,2.8
Washington,"Life, Physical, and Social Science Technicians, All Other",1390,11.3,0.42,0.96,27.65,57510,3.3
Washington,Occupational Health and Safety Specialists,2930,13.9,0.882,1.4,38.5,80080,2.2
Washington,Occupational Health and Safety Technicians,510,12.1,0.154,1.1,34.37,71490,6
Washington,Community and Social Service Occupations,52280,2.6,15.754,1.03,25.69,53440,1
Washington,"Educational, Guidance, and Career Counselors and Advisors",5240,7.3,1.579,0.78,31.51,65550,1
Washington,Marriage and Family Therapists,140,16.7,0.041,0.1,23.89,49700,2.6
Washington,Rehabilitation Counselors,3890,5.2,1.172,1.58,23.08,48000,2.7
Washington,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",9540,4.2,2.875,1.49,25.1,52200,1.6
Washington,"Counselors, All Other",340,17.6,0.102,0.59,27.17,56520,2.6
Washington,"Child, Family, and School Social Workers",7870,3.8,2.372,1.06,26.46,55030,2.4
Washington,Healthcare Social Workers,3770,7.2,1.136,0.95,30.28,62990,1.8
Washington,Mental Health and Substance Abuse Social Workers,2260,6.9,0.681,0.85,27.05,56260,2.7
Washington,"Social Workers, All Other",820,10.3,0.247,0.62,35.17,73160,2.4
Washington,Health Education Specialists,1560,5.3,0.469,1.18,29.92,62230,1.6
Washington,Probation Officers and Correctional Treatment Specialists,2060,2.5,0.622,1.04,30.59,63640,1.1
Washington,Social and Human Service Assistants,8620,7.9,2.598,0.94,19.67,40910,1.6
Washington,Community Health Workers,2600,19.7,0.783,1.95,20.21,42030,2.8
Washington,"Community and Social Service Specialists, All Other",1980,11,0.596,0.9,24.67,51310,2.8
Washington,Clergy,730,12.2,0.221,0.61,31.1,64680,2.5
Washington,"Directors, Religious Activities and Education",300,40.3,0.089,0.6,30.44,63320,9.6
Washington,"Religious Workers, All Other",560,22.6,0.168,2.61,20.6,42840,8.4
Washington,Legal Occupations,22500,2.7,6.782,0.87,48.71,101320,3.3
Washington,Lawyers,11910,3.8,3.59,0.8,62.28,129550,4
Washington,Judicial Law Clerks,560,4.4,0.168,1.49,32.06,66680,2
Washington,"Administrative Law Judges, Adjudicators, and Hearing Officers",340,0.7,0.103,1.05,52.89,110020,2.5
Washington,"Judges, Magistrate Judges, and Magistrates",900,4.5,0.271,1.39,60.16,125130,1.6
Washington,Paralegals and Legal Assistants,6880,4.4,2.073,0.92,29.25,60840,1.7
Washington,"Title Examiners, Abstractors, and Searchers",910,15.3,0.273,0.76,24.77,51520,2.8
Washington,"Legal Support Workers, All Other",830,8.1,0.249,0.81,36.57,76060,3.8
Washington,Educational Instruction and Library Occupations,189670,3.1,57.155,0.94,27.94,58120,2.7
Washington,"Business Teachers, Postsecondary",1300,32.4,0.391,0.68,*,95860,9.7
Washington,"Computer Science Teachers, Postsecondary",690,24,0.207,0.96,*,81210,6.1
Washington,"Mathematical Science Teachers, Postsecondary",890,22.4,0.268,0.77,*,76840,8.1
Washington,"Engineering Teachers, Postsecondary",590,12.4,0.178,0.73,*,107690,11.7
Washington,"Agricultural Sciences Teachers, Postsecondary",40,28.7,0.012,0.19,*,89590,6.7
Washington,"Biological Science Teachers, Postsecondary",880,26.9,0.266,0.74,*,87260,9.5
Washington,"Forestry and Conservation Science Teachers, Postsecondary",50,14.1,0.014,1.2,*,97520,3.6
Washington,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",300,31.2,0.089,1.19,*,94140,7.6
Washington,"Chemistry Teachers, Postsecondary",510,31.4,0.155,1.06,*,73810,6.4
Washington,"Environmental Science Teachers, Postsecondary",190,39.3,0.056,1.36,*,98210,8.5
Washington,"Physics Teachers, Postsecondary",360,31.9,0.108,1.15,*,82980,6.2
Washington,"Anthropology and Archeology Teachers, Postsecondary",250,34.5,0.074,1.87,*,78370,3.5
Washington,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",120,19.4,0.037,0.52,*,80420,3
Washington,"Economics Teachers, Postsecondary",250,31.7,0.076,0.84,*,90100,7.7
Washington,"Geography Teachers, Postsecondary",90,20.1,0.028,1.04,*,70100,5.6
Washington,"Political Science Teachers, Postsecondary",340,9.7,0.103,0.96,*,87780,6.8
Washington,"Psychology Teachers, Postsecondary",1020,21.4,0.307,1.2,*,69700,3.2
Washington,"Sociology Teachers, Postsecondary",300,40.5,0.09,0.96,*,70710,4.2
Washington,"Social Sciences Teachers, Postsecondary, All Other",100,14.3,0.029,0.26,*,62950,6.5
Washington,"Health Specialties Teachers, Postsecondary",2540,16.4,0.764,0.56,*,158870,12.5
Washington,"Nursing Instructors and Teachers, Postsecondary",1230,28.1,0.371,0.91,*,81980,6.9
Washington,"Education Teachers, Postsecondary",1100,25.5,0.332,0.79,*,72940,3.4
Washington,"Library Science Teachers, Postsecondary",70,5,0.02,0.67,*,103450,6.2
Washington,"Criminal Justice and Law Enforcement Teachers, Postsecondary",110,11.2,0.034,0.36,*,61010,4.1
Washington,"Law Teachers, Postsecondary",90,18,0.026,0.24,*,120600,5.3
Washington,"Social Work Teachers, Postsecondary",170,35.2,0.053,0.57,*,86510,6.9
Washington,"Art, Drama, and Music Teachers, Postsecondary",1710,43.3,0.515,0.8,*,67850,2.6
Washington,"Communications Teachers, Postsecondary",590,32.9,0.179,0.9,*,63480,3.1
Washington,"English Language and Literature Teachers, Postsecondary",1370,18.4,0.412,0.89,*,63680,3
Washington,"Foreign Language and Literature Teachers, Postsecondary",570,36.4,0.172,1.02,*,69040,2.6
Washington,"History Teachers, Postsecondary",370,41.6,0.111,0.78,*,74240,3.9
Washington,"Philosophy and Religion Teachers, Postsecondary",**,**,**,**,*,74040,3.3
Washington,"Family and Consumer Sciences Teachers, Postsecondary",110,11.5,0.033,2.29,*,60030,1.6
Washington,"Recreation and Fitness Studies Teachers, Postsecondary",450,38.6,0.136,1.25,*,56850,1.6
Washington,"Career/Technical Education Teachers, Postsecondary",4670,5.5,1.406,1.84,34.25,71230,7
Washington,"Postsecondary Teachers, All Other",930,27.4,0.28,0.2,*,64570,2.7
Washington,"Preschool Teachers, Except Special Education",11610,4.9,3.5,1.19,16.54,34410,1.6
Washington,"Kindergarten Teachers, Except Special Education",5360,4.1,1.615,1.91,*,63710,0.9
Washington,"Elementary School Teachers, Except Special Education",30440,2.1,9.171,0.94,*,69390,0.7
Washington,"Middle School Teachers, Except Special and Career/Technical Education",9430,3.8,2.841,0.67,*,70970,0.9
Washington,"Career/Technical Education Teachers, Middle School",460,6.1,0.139,1.73,*,74150,1.4
Washington,"Secondary School Teachers, Except Special and Career/Technical Education",14810,2.3,4.464,0.63,*,71690,0.7
Washington,"Career/Technical Education Teachers, Secondary School",2980,2.7,0.898,1.77,*,71430,0.7
Washington,"Special Education Teachers, Preschool",800,5.5,0.242,1.59,*,65170,1.1
Washington,"Special Education Teachers, Kindergarten and Elementary School",4500,2.7,1.356,1.03,*,68700,0.7
Washington,"Special Education Teachers, Middle School",1330,3.4,0.401,0.69,*,70230,0.8
Washington,"Special Education Teachers, Secondary School",2280,3.4,0.688,0.71,*,71480,0.7
Washington,"Special Education Teachers, All Other",80,38.8,0.024,0.1,*,61930,5.8
Washington,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",2150,8.1,0.649,1.84,26.68,55480,1.5
Washington,Self-Enrichment Teachers,7570,7.4,2.282,1.33,24.74,51470,4.1
Washington,"Substitute Teachers, Short-Term",15620,2.6,4.707,1.18,19.71,41000,2.3
Washington,"Tutors and Teachers and Instructors, All Other",4540,17.2,1.368,0.63,*,49920,3.2
Washington,Archivists,160,14.3,0.047,1.06,29.91,62210,3.4
Washington,Curators,250,11.2,0.074,0.84,31.52,65560,2.7
Washington,Museum Technicians and Conservators,270,14,0.081,0.9,21.84,45440,2.9
Washington,Librarians and Media Collections Specialists,2960,4,0.891,0.96,35.53,73910,1.5
Washington,Library Technicians,1980,6,0.598,0.99,22.44,46680,2.2
Washington,Farm and Home Management Educators,60,29.5,0.019,0.32,24.57,51100,4.4
Washington,Instructional Coordinators,2130,6,0.642,0.53,33.45,69580,1.5
Washington,"Teaching Assistants, Postsecondary",820,6.5,0.248,0.27,*,51370,10.4
Washington,"Teaching Assistants, Except Postsecondary",40040,2.4,12.064,1.32,*,35960,1.8
Washington,"Educational Instruction and Library Workers, All Other",2170,12.8,0.655,0.75,26.06,54200,1.9
Washington,"Arts, Design, Entertainment, Sports, and Media Occupations",49860,3.7,15.024,1.09,29.55,61470,2.1
Washington,Art Directors,620,12.4,0.187,0.64,50.19,104390,2.7
Washington,Craft Artists,50,29.6,0.014,0.43,21.53,44780,8.4
Washington,"Fine Artists, Including Painters, Sculptors, and Illustrators",270,17.5,0.082,0.98,28.91,60120,7
Washington,Special Effects Artists and Animators,1160,19.4,0.351,1.76,43.65,90800,3.8
Washington,"Artists and Related Workers, All Other",60,2.5,0.018,0.35,29.99,62380,4
Washington,Commercial and Industrial Designers,360,16.1,0.108,0.48,39.87,82930,7.1
