area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
West Virginia,All Occupations,702100,0.9,1000,1,20.88,43420,0.7
West Virginia,Management Occupations,32240,1.7,45.913,0.84,43.31,90090,1
West Virginia,Chief Executives,990,6.3,1.414,1.01,77.23,160650,2.7
West Virginia,General and Operations Managers,11510,2.2,16.395,1,41.48,86270,1.2
West Virginia,Legislators,680,12.7,0.972,2.73,*,30810,5.6
West Virginia,Advertising and Promotions Managers,40,39.5,0.054,0.32,58.57,121830,2.6
West Virginia,Marketing Managers,390,12,0.551,0.31,50.34,104710,5
West Virginia,Sales Managers,920,5.1,1.315,0.48,47.98,99800,3.6
West Virginia,Public Relations and Fundraising Managers,140,9.6,0.199,0.37,39,81120,4.2
West Virginia,Administrative Services and Facilities Managers,1530,10,2.181,1.04,38.46,79990,3.3
West Virginia,Computer and Information Systems Managers,850,6.6,1.209,0.41,59.52,123810,2
West Virginia,Financial Managers,1780,5.1,2.535,0.57,47.9,99620,2.1
West Virginia,Industrial Production Managers,860,6.1,1.228,0.97,51.33,106760,1.7
West Virginia,Purchasing Managers,120,8.3,0.174,0.35,61.03,126930,7.7
West Virginia,"Transportation, Storage, and Distribution Managers",390,8.7,0.553,0.62,41.85,87040,2.4
West Virginia,Compensation and Benefits Managers,30,12.2,0.043,0.37,56.04,116570,9.4
West Virginia,Human Resources Managers,400,6,0.563,0.53,50.21,104440,1.9
West Virginia,Training and Development Managers,80,16.9,0.117,0.45,51.29,106680,3.8
West Virginia,Construction Managers,920,9.7,1.307,0.65,48.83,101570,3.4
West Virginia,"Education and Childcare Administrators, Preschool and Daycare",180,12.1,0.263,0.74,18.66,38810,4.8
West Virginia,"Education Administrators, Kindergarten through Secondary",1690,6.9,2.412,1.31,*,71370,1.8
West Virginia,"Education Administrators, Postsecondary",1080,14.5,1.54,1.56,52.87,109970,4.3
West Virginia,"Education Administrators, All Other",120,9.5,0.177,0.58,40.97,85210,3.6
West Virginia,Architectural and Engineering Managers,510,7,0.728,0.55,67.55,140510,2
West Virginia,Food Service Managers,1740,7.5,2.471,1.54,22.5,46800,2.7
West Virginia,Lodging Managers,180,22.3,0.254,0.97,26.26,54610,6.9
West Virginia,Medical and Health Services Managers,1710,4.9,2.436,0.91,52.94,110100,2.5
West Virginia,Postmasters and Mail Superintendents,170,0,0.248,2.63,37.41,77800,0.7
West Virginia,"Property, Real Estate, and Community Association Managers",800,10.2,1.141,0.76,29.79,61960,6.5
West Virginia,Social and Community Service Managers,400,11.2,0.57,0.53,28.47,59220,3.2
West Virginia,Emergency Management Directors,50,9.8,0.067,0.97,33.16,68970,4.1
West Virginia,Funeral Home Managers,150,26.1,0.209,3.26,43.47,90410,18
West Virginia,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1560,6.5,2.224,0.69,46.04,95760,4.1
West Virginia,Business and Financial Operations Occupations,24750,2,35.249,0.63,29.94,62270,0.7
West Virginia,Buyers and Purchasing Agents,1030,5.9,1.474,0.51,31.53,65570,2.7
West Virginia,"Claims Adjusters, Examiners, and Investigators",1110,6.7,1.582,0.81,28.17,58600,3.8
West Virginia,Compliance Officers,**,**,**,**,27.13,56440,3.9
West Virginia,Cost Estimators,850,7,1.211,0.85,32.22,67020,1.9
West Virginia,Human Resources Specialists,2030,4.8,2.889,0.67,29.05,60430,1.2
West Virginia,Labor Relations Specialists,550,18.1,0.789,1.53,22.08,45930,8.4
West Virginia,Logisticians,360,13.8,0.506,0.41,31,64490,2.4
West Virginia,Management Analysts,1980,6.6,2.827,0.59,37.39,77780,1.9
West Virginia,"Meeting, Convention, and Event Planners",160,11.7,0.234,0.29,20.02,41630,3.3
West Virginia,Fundraisers,190,11.7,0.267,0.48,25.73,53520,3.3
West Virginia,"Compensation, Benefits, and Job Analysis Specialists",220,7.4,0.32,0.53,26.87,55890,2.1
West Virginia,Training and Development Specialists,1270,10.4,1.808,0.85,24.85,51680,2.6
West Virginia,Market Research Analysts and Marketing Specialists,1080,7.6,1.544,0.33,22.13,46020,2.4
West Virginia,"Project Management Specialists and Business Operations Specialists, All Other",3670,4.2,5.222,0.6,30.04,62490,1.4
