area_title,occ_title,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
Wisconsin,All Occupations,2870050,0.5,1000,1,23.49,48850,0.5
Wisconsin,Management Occupations,122150,1,42.56,0.78,55.15,114710,0.5
Wisconsin,Chief Executives,4290,6,1.493,1.07,76.68,159500,2.3
Wisconsin,General and Operations Managers,31490,1.6,10.973,0.67,63.09,131220,0.8
Wisconsin,Legislators,2520,7.8,0.879,2.47,*,*,*
Wisconsin,Advertising and Promotions Managers,80,12.9,0.029,0.17,60.47,125780,4.5
Wisconsin,Marketing Managers,2720,4.3,0.947,0.53,60.51,125870,1.2
Wisconsin,Sales Managers,4570,3.6,1.593,0.58,66.94,139230,2.1
Wisconsin,Public Relations and Fundraising Managers,870,6.3,0.304,0.56,52.64,109480,1.7
Wisconsin,Administrative Services and Facilities Managers,6450,2.7,2.249,1.07,53.13,110500,1.3
Wisconsin,Computer and Information Systems Managers,5850,3,2.038,0.69,62.21,129400,1
Wisconsin,Financial Managers,7150,2.6,2.491,0.56,66.55,138420,1.1
Wisconsin,Industrial Production Managers,6310,2.8,2.197,1.74,53.72,111730,0.8
Wisconsin,Purchasing Managers,1200,5.1,0.419,0.85,51.66,107450,1
Wisconsin,"Transportation, Storage, and Distribution Managers",2300,5.3,0.802,0.89,50.17,104350,1.3
Wisconsin,Compensation and Benefits Managers,240,6.6,0.082,0.72,60.59,126020,2.1
Wisconsin,Human Resources Managers,2560,3.1,0.893,0.85,58.84,122390,1
Wisconsin,Training and Development Managers,590,6.9,0.206,0.78,54.3,112940,2.2
Wisconsin,"Farmers, Ranchers, and Other Agricultural Managers",80,20.5,0.027,0.77,35.54,73920,8
Wisconsin,Construction Managers,3570,5.8,1.245,0.62,55.89,116240,1.5
Wisconsin,"Education and Childcare Administrators, Preschool and Daycare",770,9.5,0.269,0.75,22.67,47150,2.7
Wisconsin,"Education Administrators, Kindergarten through Secondary",4380,3.3,1.524,0.83,*,98960,1.1
Wisconsin,"Education Administrators, Postsecondary",2730,5.2,0.951,0.96,52.19,108550,2
Wisconsin,"Education Administrators, All Other",330,10.2,0.115,0.38,37.71,78450,4
Wisconsin,Architectural and Engineering Managers,3780,8.5,1.318,1,61.58,128090,0.9
Wisconsin,Food Service Managers,3900,6.7,1.358,0.85,24.02,49960,1.5
Wisconsin,Gambling Managers,40,8,0.014,0.47,32.4,67390,5.1
Wisconsin,Lodging Managers,400,12.2,0.138,0.53,27.96,58160,4.5
Wisconsin,Medical and Health Services Managers,5800,2.8,2.022,0.75,53.67,111640,1.4
Wisconsin,Natural Sciences Managers,770,8.4,0.27,0.59,52.04,108250,3
Wisconsin,Postmasters and Mail Superintendents,330,0,0.113,1.2,37.34,77660,0.6
Wisconsin,"Property, Real Estate, and Community Association Managers",1080,12.4,0.376,0.25,32.65,67920,6
Wisconsin,Social and Community Service Managers,2750,3.9,0.957,0.9,33.18,69020,1.1
Wisconsin,Emergency Management Directors,160,4.2,0.057,0.83,36.14,75170,1.6
Wisconsin,Funeral Home Managers,140,20.5,0.049,0.77,61.96,128870,8.2
Wisconsin,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",11950,2.5,4.162,1.3,43.43,90340,1.7
Wisconsin,Business and Financial Operations Occupations,151820,1.5,52.898,0.95,32.66,67930,0.5
Wisconsin,Buyers and Purchasing Agents,9540,3,3.325,1.16,28.32,58920,0.7
Wisconsin,"Claims Adjusters, Examiners, and Investigators",6840,6.4,2.383,1.22,31.89,66330,1.5
Wisconsin,"Insurance Appraisers, Auto Damage",**,**,**,**,32.08,66730,4.1
Wisconsin,Compliance Officers,4000,3.2,1.393,0.64,31.33,65160,1
Wisconsin,Cost Estimators,4460,5.1,1.552,1.09,29.03,60380,1.4
Wisconsin,Human Resources Specialists,15250,2.3,5.312,1.23,29.66,61700,0.7
Wisconsin,Labor Relations Specialists,3060,5.9,1.067,2.07,19.73,41030,8.4
Wisconsin,Logisticians,4080,4.8,1.421,1.15,31.07,64620,1.1
Wisconsin,Management Analysts,13160,3.9,4.586,0.95,42.55,88500,1.9
Wisconsin,"Meeting, Convention, and Event Planners",1860,8.1,0.648,0.81,23.21,48290,2.4
Wisconsin,Fundraisers,1660,4.8,0.578,1.04,27.27,56720,1.5
Wisconsin,"Compensation, Benefits, and Job Analysis Specialists",1460,4.9,0.508,0.84,28.39,59050,1.3
Wisconsin,Training and Development Specialists,5650,3.1,1.97,0.93,27.18,56530,1
Wisconsin,Market Research Analysts and Marketing Specialists,13140,6.8,4.577,0.99,28.29,58850,0.9
Wisconsin,"Project Management Specialists and Business Operations Specialists, All Other",18190,3.3,6.337,0.73,30.63,63710,1.4
Wisconsin,Accountants and Auditors,22390,1.7,7.802,0.89,34.26,71260,0.8
Wisconsin,Property Appraisers and Assessors,720,16.2,0.251,0.65,30.78,64020,8
Wisconsin,Budget Analysts,1110,9.1,0.386,1.1,35.62,74090,1.2
Wisconsin,Credit Analysts,1480,6.3,0.515,1.02,33.83,70370,3.3
Wisconsin,Personal Financial Advisors,5320,7.6,1.852,1.29,52.22,108610,3.7
Wisconsin,Insurance Underwriters,2010,8.5,0.701,1.03,34.05,70830,1.7
Wisconsin,Financial Examiners,1520,10.1,0.53,1.21,36.8,76550,1.6
Wisconsin,Credit Counselors,740,9.4,0.259,1.18,20.47,42580,1.6
Wisconsin,Loan Officers,6810,4,2.374,1.13,35.51,73860,2.6
Wisconsin,"Tax Examiners and Collectors, and Revenue Agents",500,0,0.175,0.48,29.9,62190,1.7
Wisconsin,Tax Preparers,900,12,0.315,0.69,23.69,49280,5.5
Wisconsin,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",5860,4.3,2.042,0.65,37.94,78920,2.4
Wisconsin,Computer and Mathematical Occupations,78540,6.9,27.366,0.88,38.29,79650,1.3
Wisconsin,Computer Systems Analysts,13640,4.5,4.752,1.18,40.55,84340,2
Wisconsin,Information Security Analysts,1590,4.2,0.555,0.65,39.88,82950,2.3
Wisconsin,Computer and Information Research Scientists,620,48.3,0.217,1.04,47.47,98730,3.9
Wisconsin,Computer Network Support Specialists,3210,3.8,1.119,0.89,33.34,69350,1.4
Wisconsin,Computer User Support Specialists,9970,3.6,3.474,0.79,25.04,52080,1.4
Wisconsin,Computer Network Architects,2060,7.1,0.719,0.69,46.54,96800,1.7
Wisconsin,Network and Computer Systems Administrators,7080,2.9,2.467,1.02,35.69,74230,1.1
Wisconsin,Database Administrators and Architects,1990,5.6,0.693,0.81,42.64,88690,1.5
Wisconsin,Computer Programmers,4110,5.7,1.432,1.05,39.19,81510,1.2
Wisconsin,Software Developers and Software Quality Assurance Analysts and Testers,23120,16.5,8.056,0.84,44.5,92560,1.3
Wisconsin,Web Developers and Digital Interface Designers,4340,22.3,1.511,1.5,30.26,62950,2.9
Wisconsin,"Computer Occupations, All Other",3560,6.4,1.241,0.46,34.51,71790,1
Wisconsin,Actuaries,630,10.7,0.22,1.45,53.48,111240,3.5
Wisconsin,Operations Research Analysts,1670,9.6,0.582,0.86,34.28,71300,1.3
Wisconsin,Statisticians,480,12.8,0.168,0.63,35.43,73700,2.9
Wisconsin,"Data Scientists and Mathematical Science Occupations, All Other",460,12.4,0.16,0.77,41.2,85690,1.9
Wisconsin,Architecture and Engineering Occupations,54510,3.1,18.993,1.08,36.2,75300,0.5
Wisconsin,"Architects, Except Landscape and Naval",1500,7.1,0.523,0.73,38.01,79070,2.4
Wisconsin,Landscape Architects,430,18.5,0.15,1.08,30.17,62760,3.5
Wisconsin,Cartographers and Photogrammetrists,240,10.3,0.083,1.08,31.61,65740,1.2
Wisconsin,Surveyors,560,9.1,0.196,0.64,30.87,64210,1.6
Wisconsin,Aerospace Engineers,60,31.4,0.019,0.04,41.44,86200,4.6
Wisconsin,Bioengineers and Biomedical Engineers,510,17,0.179,1.33,43.18,89810,4.8
Wisconsin,Chemical Engineers,420,13.4,0.147,0.72,44.71,93010,3.2
Wisconsin,Civil Engineers,6470,3.2,2.253,1.06,39.54,82250,1.2
Wisconsin,Computer Hardware Engineers,610,27.1,0.213,0.46,46.59,96910,6.7
Wisconsin,Electrical Engineers,4370,8.4,1.524,1.21,43,89440,1.2
Wisconsin,"Electronics Engineers, Except Computer",680,18.6,0.238,0.27,38.84,80780,5.3
Wisconsin,Environmental Engineers,820,9.7,0.285,0.79,43.55,90580,5.7
Wisconsin,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",770,7,0.27,1.53,34.19,71110,1.1
Wisconsin,Industrial Engineers,10760,3.5,3.75,1.89,37.58,78170,0.9
